step,wall_ns,manifolds,pairs,top_y,awake
0,11665100,4495,9570,35.998295,
1,11216000,4196,9570,35.993866,
2,11377800,4142,9570,35.986713,
3,10580300,4111,9570,35.976837,
4,9837800,4100,9570,35.964233,
5,9687000,4087,9570,35.948902,
6,9485000,4079,9570,35.93085,
7,9699200,4073,9570,35.910072,
8,9508400,4066,9570,35.88657,
9,9508400,4061,9570,35.86034,
10,9808500,4053,9570,35.831387,
11,10328100,4054,9570,35.79971,
12,10980900,4056,9570,35.765305,
13,10582100,4055,9570,35.728176,
14,10987600,4060,9570,35.688324,
15,10871800,4057,9570,35.64575,
16,10415800,4055,9570,35.600445,
17,11257800,4051,9570,35.552414,
18,10575600,4049,9570,35.501663,
19,9749000,4050,9570,35.448185,
20,10791400,4829,9570,35.391983,
21,11592600,4715,9570,35.333054,
22,11454800,4565,9570,35.2714,
23,10856000,4496,9570,35.207024,
24,10325000,4419,9570,35.13992,
25,10358300,4390,9570,35.07009,
26,10138000,4353,9570,34.997536,
27,10284100,4336,9570,34.92226,
28,11326500,4982,9570,34.844257,
29,11363300,4783,9570,34.763527,
30,11376500,4670,9570,34.680073,
31,11686900,4639,9570,34.593895,
32,11389400,4573,9570,34.504993,
33,10893000,4491,9570,34.413364,
34,11161300,5031,9570,34.31901,
35,11359300,4806,9570,34.221935,
36,10865400,4646,9570,34.12213,
37,10840000,4535,9570,34.019604,
38,11018300,4502,9570,33.91435,
39,11789000,4984,9570,33.806374,
40,11684500,5009,9570,33.69567,
41,12002300,4852,9570,33.58224,
42,12119300,4753,9570,33.466087,
43,11538100,4728,9570,33.34721,
44,12451200,4996,9570,33.22561,
45,13074300,5112,9570,33.10128,
46,13445900,4923,9570,32.974224,
47,12295700,4760,9570,32.844448,
48,12259000,5001,9570,32.711945,
49,12770900,5139,9570,32.576717,
50,12622700,4996,9570,32.438763,
51,13231200,4871,9570,32.298084,
52,14274000,5093,9570,32.154682,
53,13921500,4972,9570,32.008553,
54,13006400,4792,9570,31.8597,
55,11942400,4796,9570,31.70812,
56,11485200,4911,9570,31.553818,
57,11480200,4780,9570,31.39679,
58,11881500,4734,9570,31.237036,
59,11783200,4748,9570,31.074558,
60,11160700,4704,9570,30.909355,
61,11072800,4678,9570,30.741426,
62,11547100,4666,9570,30.570772,
63,11541400,4609,9570,30.397394,
64,13086200,4623,9570,30.22129,
65,11458500,4625,9570,30.042463,
66,11244500,4579,9570,29.860909,
67,11176000,4610,9570,29.67663,
68,12718400,4550,9570,29.489626,
69,12114000,4524,9570,29.299898,
70,12314600,4535,9570,29.107445,
71,15325100,4528,9570,28.912266,
72,12550600,4533,9570,28.714361,
73,12174100,4529,9570,28.745474,
74,10940500,4530,9570,28.77165,
75,11145900,4529,9570,28.79591,
76,10865000,4524,9570,28.816788,
77,10949900,4517,9570,28.83433,
78,11515600,4520,9570,28.848581,
79,11994500,4514,9568,28.862343,
80,11049200,4519,9568,28.873486,
81,11000500,4518,9568,28.88324,
82,11051300,4518,9568,28.892859,
83,10914100,4516,9568,28.90075,
84,10752800,4517,9567,28.907646,
85,11080000,4508,9565,28.914537,
86,10984500,4519,9565,28.920815,
87,11262900,4516,9565,28.92588,
88,10931800,4518,9565,28.930962,
89,10880300,4519,9565,28.935617,
90,11094900,4514,9565,28.939785,
91,11356800,4516,9565,28.943506,
92,11251500,4512,9565,28.946703,
93,10973500,4508,9565,28.949604,
94,10891500,4522,9565,28.952375,
95,11728700,4519,9565,28.954878,
96,13527600,4521,9565,28.957104,
97,12517400,4517,9565,28.9592,
98,11887400,4515,9565,28.960983,
99,11476500,4520,9565,28.96278,
100,11667000,4521,9564,28.964386,
101,11833400,4521,9564,28.965906,
102,10900100,4521,9563,28.967402,
103,11653200,4520,9563,28.968788,
104,11641000,4522,9563,28.969984,
105,11010100,4518,9563,28.971111,
106,10750500,4521,9563,28.97221,
107,11693600,4523,9563,28.97325,
108,11284500,4515,9562,28.974203,
109,11101900,4517,9562,28.975157,
110,10973500,4516,9562,28.976004,
111,10756100,4515,9562,28.976778,
112,10804900,4519,9562,28.977486,
113,10997900,4520,9562,28.978231,
114,10782800,4520,9562,28.97893,
115,11138200,4519,9561,28.979557,
116,11614600,4526,9561,28.980162,
117,11444800,4519,9561,28.980728,
118,10996400,4521,9561,28.981266,
119,10939100,4517,9561,28.981787,
120,10960900,4523,9561,28.982262,
121,11792000,4523,9561,28.98269,
122,11834200,4521,9561,28.983118,
123,12180600,4522,9561,28.98351,
124,13162800,4518,9561,28.98387,
125,12524000,4521,9561,28.984217,
126,11014700,4521,9561,28.984558,
127,11387200,4517,9561,28.98485,
128,11711500,4522,9561,28.98514,
129,11464700,4521,9561,28.98541,
130,11607800,4519,9560,28.98568,
131,11765800,4526,9559,28.98593,
132,11546400,4524,9559,28.986149,
133,11358700,4516,9559,28.98636,
134,11808100,4520,9559,28.98657,
135,10954600,4522,9559,28.986776,
136,11072400,4519,9559,28.986969,
137,10907700,4521,9559,28.987137,
138,10916200,4521,9559,28.9873,
139,11670600,4521,9559,28.987465,
