step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,10192600,8555,9570,28.99835,,0,16,16,192,165873,8306,6753,10026727,16,226,1323,1,93454,1,291,1,1867937,1,1430436,1,264360,1,6356212,1,12715,1,2240500,1,14879,4,1253558,4,83404,4,814062,4,1103232,8,1910541,192,0,0,12274,1,822830,1,3166,1,0,0,0,0,0,0,1046270,1,234792,1,28606,1,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,48,1
1,6348700,5761,9570,28.995926,,0,16,12,144,39721,1513,5100,6308979,16,238,721,1,37384,1,80,1,1932514,1,590773,1,172520,1,3564186,1,10801,1,1029907,1,18827,4,669157,4,94646,4,445587,4,898799,8,1191736,144,147550,48,6453,1,396531,1,2765,1,0,0,0,0,0,0,543921,1,23085,1,19368,1,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,48,1
2,6701000,6723,9570,28.994566,,0,16,14,168,32934,1353,7204,6668066,16,238,40,1,24989,1,40,1,1911813,1,638427,1,211506,1,3869928,1,11322,1,1196024,1,12555,4,824062,4,77222,4,508060,4,974107,8,1390477,168,84486,24,7695,1,266214,1,2635,1,0,0,0,0,0,0,582677,1,25841,1,25170,1,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,48,1
3,6601600,6695,9570,28.994541,,0,16,14,168,33110,1162,6002,6568490,16,238,10,1,25440,1,50,1,1924959,1,635751,1,181207,1,3790031,1,11042,1,1177929,1,12605,4,817870,4,77132,4,500545,4,972705,8,1410917,168,56331,24,7525,1,219823,1,2735,1,0,0,0,0,0,0,586725,1,28256,1,15951,1,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,48,1
4,6715200,6672,9570,28.994545,,0,16,14,168,35211,1353,6022,6679989,16,238,150,1,29939,1,80,1,1945359,1,635190,1,179543,1,3878986,1,10741,1,1193790,1,12755,4,806447,4,76871,4,488381,4,1021160,8,1451898,168,51622,24,11412,1,263128,1,3687,1,0,0,0,0,0,0,591685,1,26402,1,12274,1,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,48,1
5,6636800,6758,9570,28.994184,,0,16,14,168,35526,1503,3778,6601274,16,238,832,1,30540,1,50,1,1908928,1,656172,1,180606,1,3812926,1,11222,1,1199421,1,12825,4,821958,4,77162,4,502259,4,953978,8,1394755,168,57704,24,7715,1,233429,1,2675,1,0,0,0,0,0,0,602235,1,37083,1,10761,1,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,48,1
6,6651300,6793,9570,28.993921,,0,16,14,168,32982,1052,3767,6618318,16,238,60,1,24749,1,30,1,1890000,1,643587,1,181628,1,3867022,1,11242,1,1222587,1,12956,4,834463,4,76841,4,507509,4,967214,8,1404314,168,66641,24,7765,1,234031,1,2605,1,0,0,0,0,0,0,600893,1,26662,1,9108,1,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,48,1
7,6645400,6783,9570,28.993895,,0,16,14,168,34978,1232,4229,6610422,16,238,60,1,24689,1,50,1,1889139,1,652294,1,181648,1,3851251,1,11292,1,1198730,1,13647,4,834853,4,78134,4,484884,4,998696,8,1413843,168,65509,24,7865,1,230424,1,2785,1,0,0,0,0,0,0,610682,1,28095,1,8687,1,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,48,1
8,6683200,6772,9570,28.993822,,0,16,14,168,32879,1353,3998,6650321,16,238,10,1,24819,1,50,1,1902535,1,650300,1,184273,1,3877302,1,11032,1,1218789,1,13066,4,838861,4,77783,4,507609,4,953567,8,1390757,168,66421,24,7815,1,255333,1,3126,1,0,0,0,0,0,0,605883,1,28676,1,8857,1,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,48,1
9,8216400,6790,9570,28.993675,,0,16,14,168,42340,2264,6803,8174060,16,233,150,1,30400,1,70,1,1921232,1,727712,1,247888,1,5234293,1,12314,1,2450714,1,13066,4,845915,4,77613,4,523270,4,975490,8,1425526,168,66431,24,8557,1,334078,1,3327,1,0,0,0,0,0,0,607776,1,99536,1,9388,1,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,48,1
10,6916800,6786,9570,28.993578,,0,16,14,168,33491,1252,4379,6883309,16,238,180,1,31041,1,50,1,1985829,1,653567,1,182820,1,4018620,1,11202,1,1227156,1,12745,4,848761,4,79006,4,518611,4,979157,8,1419965,168,73425,24,8016,1,341152,1,2765,1,0,0,0,0,0,0,604700,1,33115,1,8837,1,22700,1,254,1,9570,1,6786,1,22954,1,9570,1,48,1
11,6729400,6806,9570,28.99352,,0,16,14,168,32728,1403,4158,6696672,16,238,50,1,25330,1,40,1,1902755,1,644108,1,181487,1,3931549,1,11352,1,1207888,1,12685,4,849011,4,77593,4,505555,4,1022172,8,1451687,168,71881,24,7956,1,244622,1,2665,1,0,0,0,0,0,0,599420,1,29458,1,8276,1,22716,1,263,1,9570,1,6806,1,22979,1,9570,1,48,1
