step,wall_ns,manifolds,pairs,top_y,awake
0,8017400,4495,9570,35.998295,
1,6027100,4196,9570,35.993866,
2,6013100,4142,9570,35.986713,
3,5848700,4111,9570,35.976837,
4,6047200,4100,9570,35.964233,
5,5909700,4087,9570,35.948902,
6,5979400,4079,9570,35.93085,
7,6036300,4073,9570,35.910072,
8,5983000,4066,9570,35.88657,
9,5977800,4061,9570,35.86034,
10,5982000,4053,9570,35.831387,
11,5929700,4054,9570,35.79971,
12,5871400,4056,9570,35.765305,
13,5902200,4055,9570,35.728176,
14,5883000,4060,9570,35.688324,
15,6182700,4057,9570,35.64575,
16,5988200,4055,9570,35.600445,
17,5905300,4051,9570,35.552414,
18,5914100,4049,9570,35.501663,
19,5891300,4050,9570,35.448185,
20,7128900,4829,9570,35.391983,
21,6710600,4715,9570,35.333054,
22,6613400,4565,9570,35.2714,
23,6663700,4496,9570,35.207024,
24,6295700,4419,9570,35.13992,
25,6469900,4390,9570,35.07009,
26,6481400,4353,9570,34.997536,
27,6292000,4336,9570,34.92226,
28,7219300,4982,9570,34.844257,
29,6780400,4783,9570,34.763527,
30,6692000,4670,9570,34.680073,
31,6491500,4639,9570,34.593895,
32,6581900,4573,9570,34.504993,
33,6375100,4491,9570,34.413364,
34,7193800,5031,9570,34.31901,
35,6794400,4806,9570,34.221935,
36,6666200,4646,9570,34.12213,
37,6629400,4535,9570,34.019604,
38,6376800,4502,9570,33.91435,
39,7122800,4984,9570,33.806374,
40,7049400,5009,9570,33.69567,
41,6857100,4852,9570,33.58224,
42,6559400,4753,9570,33.466087,
43,6697800,4728,9570,33.34721,
44,7000000,4996,9570,33.22561,
45,7085400,5112,9570,33.10128,
46,6967900,4923,9570,32.974224,
47,6812700,4760,9570,32.844448,
48,6912300,5001,9570,32.711945,
49,7082700,5139,9570,32.576717,
50,6729500,4996,9570,32.438763,
51,6753600,4871,9570,32.298084,
52,7059900,5093,9570,32.154682,
53,7016700,4972,9570,32.008553,
54,6733500,4792,9570,31.8597,
55,6842200,4796,9570,31.70812,
56,6971000,4911,9570,31.553818,
57,6645400,4780,9570,31.39679,
58,6608500,4734,9570,31.237036,
59,6714600,4748,9570,31.074558,
60,6541900,4704,9570,30.909355,
61,6689700,4678,9570,30.741426,
62,6654300,4666,9570,30.570772,
63,6701300,4609,9570,30.397394,
64,6778200,4623,9570,30.22129,
65,6719500,4625,9570,30.042463,
66,6510800,4579,9570,29.860909,
67,6700900,4610,9570,29.67663,
68,6530100,4550,9570,29.489626,
69,6426700,4524,9570,29.299898,
70,6442500,4535,9570,29.107445,
71,6584300,4528,9570,28.912266,
72,6463400,4533,9570,28.714361,
73,6581600,4529,9570,28.745474,
74,6424800,4530,9570,28.77165,
75,6819300,4529,9570,28.79591,
76,6665800,4524,9570,28.816788,
77,6438000,4517,9570,28.83433,
78,6577100,4520,9570,28.848581,
79,6453600,4514,9568,28.862343,
80,6657300,4519,9568,28.873486,
81,6476100,4518,9568,28.88324,
82,6587900,4518,9568,28.892859,
83,6411300,4516,9568,28.90075,
84,6689600,4517,9567,28.907646,
85,6647300,4508,9565,28.914537,
86,6486700,4519,9565,28.920815,
87,6561700,4516,9565,28.92588,
88,6422800,4518,9565,28.930962,
89,6652700,4519,9565,28.935617,
90,6532200,4514,9565,28.939785,
91,6647600,4516,9565,28.943506,
92,6478600,4512,9565,28.946703,
93,6676300,4508,9565,28.949604,
94,6575300,4522,9565,28.952375,
95,6443200,4519,9565,28.954878,
96,6603400,4521,9565,28.957104,
97,6464000,4517,9565,28.9592,
98,6587000,4515,9565,28.960983,
99,6506300,4520,9565,28.96278,
100,6561300,4521,9564,28.964386,
101,6519100,4521,9564,28.965906,
102,6675700,4521,9563,28.967402,
103,6528600,4520,9563,28.968788,
104,6637800,4522,9563,28.969984,
105,6598400,4518,9563,28.971111,
106,6528400,4521,9563,28.97221,
107,6643600,4523,9563,28.97325,
108,6594100,4515,9562,28.974203,
109,6643500,4517,9562,28.975157,
110,6532100,4516,9562,28.976004,
111,6606300,4515,9562,28.976778,
112,6609500,4519,9562,28.977486,
113,6681000,4520,9562,28.978231,
114,6657400,4520,9562,28.97893,
115,6546100,4519,9561,28.979557,
116,6544800,4526,9561,28.980162,
117,6602100,4519,9561,28.980728,
118,6540600,4521,9561,28.981266,
119,6607800,4517,9561,28.981787,
120,6602000,4523,9561,28.982262,
121,6664600,4523,9561,28.98269,
122,6618000,4521,9561,28.983118,
123,6704500,4522,9561,28.98351,
124,6631800,4518,9561,28.98387,
125,6546800,4521,9561,28.984217,
126,6627400,4521,9561,28.984558,
127,6629000,4517,9561,28.98485,
128,6551000,4522,9561,28.98514,
129,6634200,4521,9561,28.98541,
130,6535900,4519,9560,28.98568,
131,6656900,4526,9559,28.98593,
132,6630300,4524,9559,28.986149,
133,6566100,4516,9559,28.98636,
134,6617500,4520,9559,28.98657,
135,6735300,4522,9559,28.986776,
136,6569200,4519,9559,28.986969,
137,6783100,4521,9559,28.987137,
138,6604900,4521,9559,28.9873,
139,6664000,4521,9559,28.987465,
140,6651900,4518,9559,28.987623,
141,6548600,4523,9559,28.987766,
142,6674300,4524,9559,28.987892,
143,6597300,4523,9559,28.98802,
144,6607500,4520,9559,28.988153,
145,6628500,4519,9559,28.98826,
146,6540000,4520,9559,28.988363,
147,6662600,4522,9559,28.988459,
148,6526100,4517,9559,28.988543,
149,6698600,4519,9559,28.988642,
150,6623700,4522,9559,28.98874,
151,6521600,4520,9559,28.98882,
152,6701200,4523,9559,28.988888,
153,6532900,4523,9559,28.988964,
154,6661700,4524,9559,28.989048,
155,6659600,4521,9559,28.989117,
156,6549900,4520,9559,28.989172,
157,6656800,4519,9559,28.989218,
158,6523100,4519,9559,28.98927,
159,6659500,4518,9559,28.98933,
160,6614700,4519,9559,28.989386,
161,6609800,4521,9559,28.989433,
162,6720100,4518,9559,28.989477,
163,6548500,4520,9559,28.989515,
164,6759500,4520,9559,28.989552,
165,6702100,4519,9559,28.989582,
166,6985600,4516,9559,28.989613,
167,6865400,4518,9559,28.989645,
168,6630600,4518,9559,28.989676,
169,6740500,4514,9559,28.9897,
170,6637300,4515,9559,28.989725,
171,6563100,4512,9559,28.989754,
172,6672400,4513,9559,28.98977,
173,6627200,4515,9559,28.989801,
174,6587200,4515,9559,28.989834,
175,6597100,4515,9559,28.989851,
176,6519200,4514,9559,28.989864,
177,6631000,4516,9559,28.989883,
178,6558300,4515,9559,28.989906,
179,6689000,4515,9559,28.989923,
180,6718600,4515,9559,28.98993,
181,6567900,4517,9559,28.98993,
182,6656000,4517,9559,28.98994,
183,6528700,4516,9559,28.989958,
184,6564900,4516,9559,28.98997,
185,6700000,4514,9559,28.989977,
186,6578000,4515,9559,28.98999,
187,6643900,4516,9559,28.990005,
188,6544000,4519,9559,28.990013,
189,6613700,4519,9559,28.990015,
190,6592800,4519,9559,28.990025,
191,6546900,4520,9559,28.99004,
192,6695400,4522,9559,28.990047,
193,6545600,4521,9559,28.990053,
194,6632100,4522,9559,28.990055,
195,6582000,4521,9559,28.99006,
196,6511900,4522,9559,28.99006,
197,6754400,4523,9559,28.990076,
198,6539500,4523,9559,28.990084,
199,6625400,4524,9559,28.990086,
200,6715500,4522,9559,28.990088,
201,6540900,4522,9559,28.990097,
202,6595900,4521,9559,28.99011,
203,6487200,4525,9559,28.990112,
204,6654100,4526,9559,28.990108,
205,6508800,4524,9559,28.990114,
206,6641600,4523,9559,28.99012,
207,6654200,4523,9559,28.990118,
208,6494600,4523,9559,28.990112,
209,6590200,4522,9559,28.990116,
210,6487000,4522,9559,28.990122,
211,6579300,4523,9559,28.990128,
212,6521400,4523,9559,28.990124,
213,6614200,4523,9559,28.99013,
214,6515400,4524,9559,28.990137,
215,6630900,4524,9559,28.990137,
216,6529700,4526,9559,28.990137,
217,6525700,4524,9559,28.990143,
218,6549800,4525,9559,28.990149,
219,6499600,4524,9559,28.990149,
220,6585500,4523,9559,28.990152,
221,6490400,4522,9559,28.99016,
222,6542100,4522,9559,28.990164,
223,6482200,4520,9559,28.990162,
224,6601100,4521,9559,28.99016,
225,6530900,4522,9559,28.990166,
226,6619300,4521,9559,28.990166,
227,6519300,4522,9559,28.990166,
228,6619100,4521,9559,28.990168,
229,6686200,4519,9559,28.990175,
230,6512000,4521,9559,28.990171,
231,6530100,4522,9559,28.990166,
232,6491900,4523,9559,28.990173,
233,6588100,4527,9559,28.990175,
234,6504500,4523,9559,28.990168,
235,6565900,4525,9559,28.99017,
236,6597100,4525,9559,28.990175,
237,6659400,4526,9559,28.990175,
238,6508000,4525,9559,28.990175,
239,6590500,4524,9559,28.990175,
240,6557000,4524,9559,28.990175,
241,6674800,4521,9559,28.990175,
242,6665000,4520,9559,28.990175,
243,6584500,4520,9559,28.990175,
