step,wall_ns,manifolds,pairs,top_y,awake
0,7118900,4495,9570,35.998295,
1,5084000,4196,9570,35.993866,
2,4499500,4142,9570,35.986713,
3,4091400,4111,9570,35.976837,
4,4059400,4100,9570,35.964233,
5,3930500,4087,9570,35.948902,
6,4429800,4079,9570,35.93085,
7,4158100,4073,9570,35.910072,
8,5002800,4066,9570,35.88657,
9,4878500,4061,9570,35.86034,
10,4199700,4053,9570,35.831387,
11,4405700,4054,9570,35.79971,
12,4032500,4056,9570,35.765305,
13,4584300,4055,9570,35.728176,
14,4342100,4060,9570,35.688324,
15,4591600,4057,9570,35.64575,
16,4340300,4055,9570,35.600445,
17,4674400,4051,9570,35.552414,
18,4632200,4049,9570,35.501663,
19,4904900,4050,9570,35.448185,
20,5173800,4829,9570,35.391983,
21,4638500,4715,9570,35.333054,
22,5138200,4565,9570,35.2714,
23,5250400,4496,9570,35.207024,
24,4890300,4419,9570,35.13992,
25,4825700,4390,9570,35.07009,
26,4211900,4353,9570,34.997536,
27,4477700,4336,9570,34.92226,
28,4755100,4982,9570,34.844257,
29,4717500,4783,9570,34.763527,
30,5193100,4670,9570,34.680073,
31,4588200,4639,9570,34.593895,
32,4719200,4573,9570,34.504993,
33,4773600,4491,9570,34.413364,
34,4718200,5031,9570,34.31901,
35,4899800,4806,9570,34.221935,
36,4706900,4646,9570,34.12213,
37,4729700,4535,9570,34.019604,
38,4585400,4502,9570,33.91435,
39,4608500,4984,9570,33.806374,
40,5251500,5009,9570,33.69567,
41,4735600,4852,9570,33.58224,
42,4774400,4753,9570,33.466087,
43,5137100,4728,9570,33.34721,
44,5973100,4996,9570,33.22561,
45,5273300,5112,9570,33.10128,
46,5202000,4923,9570,32.974224,
47,4907400,4760,9570,32.844448,
48,5343600,5001,9570,32.711945,
49,4835900,5139,9570,32.576717,
50,4782000,4996,9570,32.438763,
51,5977200,4871,9570,32.298084,
52,5567000,5093,9570,32.154682,
53,4788900,4972,9570,32.008553,
54,4595600,4792,9570,31.8597,
55,5127100,4796,9570,31.70812,
56,4605000,4911,9570,31.553818,
57,5194600,4780,9570,31.39679,
58,4930800,4734,9570,31.237036,
59,4620300,4748,9570,31.074558,
60,5556500,4704,9570,30.909355,
61,5074300,4678,9570,30.741426,
62,5257900,4666,9570,30.570772,
63,4554800,4609,9570,30.397394,
64,4838400,4623,9570,30.22129,
65,4776800,4625,9570,30.042463,
66,4530100,4579,9570,29.860909,
67,4875900,4610,9570,29.67663,
68,4339400,4550,9570,29.489626,
69,4380300,4524,9570,29.299898,
70,4735000,4535,9570,29.107445,
71,4508200,4528,9570,28.912266,
72,5090900,4533,9570,28.714361,
73,4721700,4529,9570,28.745474,
74,4543200,4530,9570,28.77165,
75,4444000,4529,9570,28.79591,
76,4495500,4524,9570,28.816788,
77,4761000,4517,9570,28.83433,
78,4412000,4520,9570,28.848581,
79,4912100,4514,9568,28.862343,
80,4557500,4519,9568,28.873486,
81,4379900,4518,9568,28.88324,
82,4384000,4518,9568,28.892859,
83,4418100,4516,9568,28.90075,
84,4427900,4517,9567,28.907646,
85,4745500,4508,9565,28.914537,
86,4874500,4519,9565,28.920815,
87,4788100,4516,9565,28.92588,
88,4519600,4518,9565,28.930962,
89,4690300,4519,9565,28.935617,
90,4536100,4514,9565,28.939785,
91,4659500,4516,9565,28.943506,
92,4556300,4512,9565,28.946703,
93,4587500,4508,9565,28.949604,
94,4784200,4522,9565,28.952375,
95,4726100,4519,9565,28.954878,
96,4624900,4521,9565,28.957104,
97,4597000,4517,9565,28.9592,
98,4636400,4515,9565,28.960983,
99,4462000,4520,9565,28.96278,
100,4572900,4521,9564,28.964386,
101,5016600,4521,9564,28.965906,
102,5354500,4521,9563,28.967402,
103,4785300,4520,9563,28.968788,
104,4911000,4522,9563,28.969984,
105,4697800,4518,9563,28.971111,
106,4466700,4521,9563,28.97221,
107,4619000,4523,9563,28.97325,
108,4846300,4515,9562,28.974203,
109,4690200,4517,9562,28.975157,
110,4706800,4516,9562,28.976004,
111,4780900,4515,9562,28.976778,
112,4543400,4519,9562,28.977486,
113,4410100,4520,9562,28.978231,
114,4564800,4520,9562,28.97893,
115,4498900,4519,9561,28.979557,
116,4726500,4526,9561,28.980162,
117,4867800,4519,9561,28.980728,
118,4495900,4521,9561,28.981266,
119,4642100,4517,9561,28.981787,
120,5016400,4523,9561,28.982262,
121,4480200,4523,9561,28.98269,
122,4475800,4521,9561,28.983118,
123,5133300,4522,9561,28.98351,
124,4665900,4518,9561,28.98387,
125,5058400,4521,9561,28.984217,
126,4595900,4521,9561,28.984558,
127,4507900,4517,9561,28.98485,
128,4500100,4522,9561,28.98514,
129,4543600,4521,9561,28.98541,
130,5202500,4519,9560,28.98568,
