step,wall_ns,manifolds,pairs,top_y,awake
0,13952300,4495,9570,35.998295,
1,12177000,4196,9570,35.993866,
2,12083900,4142,9570,35.986713,
3,11840600,4111,9570,35.976837,
4,11531900,4100,9570,35.964233,
5,12194400,4087,9570,35.948902,
6,11639100,4079,9570,35.93085,
7,11731000,4073,9570,35.910072,
8,11453700,4066,9570,35.88657,
9,10995300,4061,9570,35.86034,
10,11217400,4053,9570,35.831387,
11,11397500,4054,9570,35.79971,
12,11189000,4056,9570,35.765305,
13,11872900,4055,9570,35.728176,
14,11836500,4060,9570,35.688324,
15,11719800,4057,9570,35.64575,
16,11360600,4055,9570,35.600445,
17,11360000,4051,9570,35.552414,
18,11408100,4049,9570,35.501663,
19,11335800,4050,9570,35.448185,
20,13274900,4829,9570,35.391983,
21,12688500,4715,9570,35.333054,
22,12595200,4565,9570,35.2714,
23,13068800,4496,9570,35.207024,
24,12450100,4419,9570,35.13992,
25,13120100,4390,9570,35.07009,
26,12598900,4353,9570,34.997536,
27,12916800,4336,9570,34.92226,
28,14923500,4982,9570,34.844257,
29,13934700,4783,9570,34.763527,
30,13843500,4670,9570,34.680073,
31,13572900,4639,9570,34.593895,
32,13398900,4573,9570,34.504993,
33,12542600,4491,9570,34.413364,
34,14378900,5031,9570,34.31901,
35,12881500,4806,9570,34.221935,
36,12826700,4646,9570,34.12213,
37,12850000,4535,9570,34.019604,
38,12877100,4502,9570,33.91435,
39,13990000,4984,9570,33.806374,
40,14484800,5009,9570,33.69567,
41,13629900,4852,9570,33.58224,
42,13390600,4753,9570,33.466087,
43,13384100,4728,9570,33.34721,
44,13656700,4996,9570,33.22561,
45,14569500,5112,9570,33.10128,
46,13767100,4923,9570,32.974224,
47,13033200,4760,9570,32.844448,
48,13757700,5001,9570,32.711945,
49,14236400,5139,9570,32.576717,
50,13586000,4996,9570,32.438763,
51,13615900,4871,9570,32.298084,
52,14542800,5093,9570,32.154682,
53,14566000,4972,9570,32.008553,
54,13798000,4792,9570,31.8597,
55,13258600,4796,9570,31.70812,
56,13581000,4911,9570,31.553818,
57,13475100,4780,9570,31.39679,
58,13345300,4734,9570,31.237036,
59,13208900,4748,9570,31.074558,
60,13936200,4704,9570,30.909355,
61,13484000,4678,9570,30.741426,
62,13165300,4666,9570,30.570772,
63,13249300,4609,9570,30.397394,
64,13399400,4623,9570,30.22129,
65,13508400,4625,9570,30.042463,
66,13396200,4579,9570,29.860909,
67,14178500,4610,9570,29.67663,
68,13392400,4550,9570,29.489626,
69,13668300,4524,9570,29.299898,
70,13585900,4535,9570,29.107445,
71,13347700,4528,9570,28.912266,
72,13254700,4533,9570,28.714361,
73,13490200,4529,9570,28.745474,
74,13586000,4530,9570,28.77165,
75,13908800,4529,9570,28.79591,
76,14275100,4524,9570,28.816788,
77,13558900,4517,9570,28.83433,
78,14142900,4520,9570,28.848581,
79,13760400,4514,9568,28.862343,
80,13413000,4519,9568,28.873486,
81,13973100,4518,9568,28.88324,
82,14342000,4518,9568,28.892859,
83,13984000,4516,9568,28.90075,
84,15119700,4517,9567,28.907646,
85,13868700,4508,9565,28.914537,
86,13522900,4519,9565,28.920815,
87,13885000,4516,9565,28.92588,
88,13173400,4518,9565,28.930962,
89,14071700,4519,9565,28.935617,
90,14258700,4514,9565,28.939785,
91,13552000,4516,9565,28.943506,
92,13303000,4512,9565,28.946703,
93,13616100,4508,9565,28.949604,
94,13413600,4522,9565,28.952375,
95,13698800,4519,9565,28.954878,
96,13783600,4521,9565,28.957104,
97,14177600,4517,9565,28.9592,
98,13466700,4515,9565,28.960983,
99,13972100,4520,9565,28.96278,
100,13453800,4521,9564,28.964386,
101,13762400,4521,9564,28.965906,
102,14526100,4521,9563,28.967402,
103,15161900,4520,9563,28.968788,
104,14335200,4522,9563,28.969984,
105,14775200,4518,9563,28.971111,
106,13792700,4521,9563,28.97221,
107,14113000,4523,9563,28.97325,
108,13731000,4515,9562,28.974203,
109,13924500,4517,9562,28.975157,
110,14319500,4516,9562,28.976004,
111,13807700,4515,9562,28.976778,
112,14007400,4519,9562,28.977486,
113,14203300,4520,9562,28.978231,
114,13628900,4520,9562,28.97893,
115,13514000,4519,9561,28.979557,
116,13770600,4526,9561,28.980162,
117,13995400,4519,9561,28.980728,
118,13718600,4521,9561,28.981266,
119,13989300,4517,9561,28.981787,
120,13559700,4523,9561,28.982262,
121,13732600,4523,9561,28.98269,
122,13879400,4521,9561,28.983118,
123,13572900,4522,9561,28.98351,
124,13406800,4518,9561,28.98387,
125,14720700,4521,9561,28.984217,
126,14422600,4521,9561,28.984558,
127,14148000,4517,9561,28.98485,
128,13859100,4522,9561,28.98514,
129,14103700,4521,9561,28.98541,
130,15203000,4519,9560,28.98568,
131,14258100,4526,9559,28.98593,
132,14051200,4524,9559,28.986149,
133,13999600,4516,9559,28.98636,
134,13695000,4520,9559,28.98657,
135,13835300,4522,9559,28.986776,
136,13629800,4519,9559,28.986969,
137,13534700,4521,9559,28.987137,
138,13748700,4521,9559,28.9873,
139,14087600,4521,9559,28.987465,
140,13857800,4518,9559,28.987623,
141,13761500,4523,9559,28.987766,
142,13723400,4524,9559,28.987892,
143,13544800,4523,9559,28.98802,
144,13430100,4520,9559,28.988153,
145,13662400,4519,9559,28.98826,
146,13602600,4520,9559,28.988363,
147,14303800,4522,9559,28.988459,
148,14129100,4517,9559,28.988543,
149,13677900,4519,9559,28.988642,
150,13868300,4522,9559,28.98874,
151,14059100,4520,9559,28.98882,
152,13534200,4523,9559,28.988888,
153,13893100,4523,9559,28.988964,
154,14468100,4524,9559,28.989048,
155,13817000,4521,9559,28.989117,
156,13880500,4520,9559,28.989172,
157,13544500,4519,9559,28.989218,
158,13282300,4519,9559,28.98927,
159,14032800,4518,9559,28.98933,
160,13944200,4519,9559,28.989386,
161,14053200,4521,9559,28.989433,
162,14059300,4518,9559,28.989477,
163,13642500,4520,9559,28.989515,
164,14065200,4520,9559,28.989552,
165,14175200,4519,9559,28.989582,
166,13754800,4516,9559,28.989613,
167,13813000,4518,9559,28.989645,
168,14101000,4518,9559,28.989676,
169,14028800,4514,9559,28.9897,
170,13485800,4515,9559,28.989725,
171,14769000,4512,9559,28.989754,
172,13523100,4513,9559,28.98977,
173,14136600,4515,9559,28.989801,
174,14137300,4515,9559,28.989834,
175,14097100,4515,9559,28.989851,
176,14134400,4514,9559,28.989864,
177,13842100,4516,9559,28.989883,
178,13481000,4515,9559,28.989906,
179,13354800,4515,9559,28.989923,
180,13532500,4515,9559,28.98993,
181,13413100,4517,9559,28.98993,
182,13572100,4517,9559,28.98994,
183,14366700,4516,9559,28.989958,
184,13923000,4516,9559,28.98997,
185,14115600,4514,9559,28.989977,
186,13470400,4515,9559,28.98999,
187,13306300,4516,9559,28.990005,
188,13499800,4519,9559,28.990013,
189,13058600,4519,9559,28.990015,
190,13726300,4519,9559,28.990025,
191,14640100,4520,9559,28.99004,
192,13490800,4522,9559,28.990047,
193,13308100,4521,9559,28.990053,
194,13506700,4522,9559,28.990055,
195,13220200,4521,9559,28.99006,
196,13083600,4522,9559,28.99006,
197,14023900,4523,9559,28.990076,
198,14263100,4523,9559,28.990084,
199,13219000,4524,9559,28.990086,
200,14160700,4522,9559,28.990088,
201,13332300,4522,9559,28.990097,
202,13263200,4521,9559,28.99011,
203,13423900,4525,9559,28.990112,
204,13401900,4526,9559,28.990108,
205,13354500,4524,9559,28.990114,
206,14016000,4523,9559,28.99012,
207,13583300,4523,9559,28.990118,
208,12990000,4523,9559,28.990112,
209,14291400,4522,9559,28.990116,
210,12931900,4522,9559,28.990122,
211,12733200,4523,9559,28.990128,
212,13391400,4523,9559,28.990124,
213,13652700,4523,9559,28.99013,
214,13079800,4524,9559,28.990137,
215,13082700,4524,9559,28.990137,
216,13053400,4526,9559,28.990137,
217,12895900,4524,9559,28.990143,
218,13059900,4525,9559,28.990149,
219,12676000,4524,9559,28.990149,
220,12776900,4523,9559,28.990152,
221,13681400,4522,9559,28.99016,
222,13120500,4522,9559,28.990164,
223,13713300,4520,9559,28.990162,
224,13441900,4521,9559,28.99016,
225,13150100,4522,9559,28.990166,
226,13644300,4521,9559,28.990166,
227,14387400,4522,9559,28.990166,
228,13641400,4521,9559,28.990168,
229,13272400,4519,9559,28.990175,
230,13203500,4521,9559,28.990171,
231,13288300,4522,9559,28.990166,
232,12695900,4523,9559,28.990173,
233,13082500,4527,9559,28.990175,
234,12703400,4523,9559,28.990168,
235,13393300,4525,9559,28.99017,
236,12970800,4525,9559,28.990175,
237,13639900,4526,9559,28.990175,
238,13026400,4525,9559,28.990175,
239,13065900,4524,9559,28.990175,
240,13330900,4524,9559,28.990175,
241,12790300,4521,9559,28.990175,
242,13227200,4520,9559,28.990175,
243,13203500,4520,9559,28.990175,
244,12829700,4521,9559,28.990171,
245,13408600,4520,9559,28.990164,
246,13071600,4521,9559,28.990164,
247,13079500,4521,9559,28.990164,
248,12802700,4520,9559,28.990164,
249,13242500,4522,9559,28.990164,
250,13156800,4521,9559,28.990164,
251,13378700,4522,9559,28.990164,
252,13010600,4523,9559,28.990164,
253,13013000,4523,9559,28.99017,
254,12695400,4523,9559,28.99017,
255,12937000,4521,9559,28.99017,
256,12755700,4519,9559,28.99017,
257,13461700,4519,9559,28.990171,
258,13696200,4520,9559,28.990177,
259,13558700,4520,9559,28.990177,
260,13208500,4520,9559,28.990177,
261,13679700,4519,9559,28.99018,
262,13617200,4518,9559,28.990187,
263,13044600,4518,9559,28.990187,
264,12903600,4518,9559,28.990187,
265,13410300,4518,9559,28.990187,
266,13461700,4518,9559,28.990187,
267,13627300,4518,9559,28.990187,
268,13254700,4518,9559,28.990187,
269,13409600,4518,9559,28.990187,
270,13081400,4518,9559,28.990187,
271,13184200,4518,9559,28.990187,
272,12955300,4518,9559,28.990187,
273,13470600,4518,9559,28.990187,
274,13671300,4518,9559,28.990187,
275,13815000,4518,9559,28.990187,
276,13371400,4519,9559,28.990183,
277,13193300,4518,9559,28.990183,
278,13102300,4518,9559,28.990183,
279,13511200,4519,9559,28.990183,
280,13171600,4518,9559,28.990183,
281,13763900,4520,9559,28.990183,
282,13882300,4520,9559,28.990185,
283,13297000,4518,9559,28.990185,
284,13112700,4518,9559,28.990185,
285,13158500,4519,9559,28.990185,
286,13074400,4520,9559,28.990185,
287,13045700,4519,9559,28.990185,
288,13688400,4520,9559,28.990185,
289,13414300,4518,9559,28.990185,
290,13268100,4517,9559,28.99019,
291,13992200,4517,9559,28.99019,
292,13284800,4519,9559,28.99019,
293,13195300,4517,9559,28.990187,
294,13419000,4517,9559,28.990185,
295,13311700,4516,9559,28.990192,
296,13513800,4516,9559,28.990198,
297,14385000,4515,9559,28.990198,
298,13564300,4515,9559,28.990196,
299,13111300,4515,9559,28.990194,
300,13751800,4515,9559,28.990194,
301,13381800,4515,9559,28.990194,
302,13040500,4515,9559,28.990194,
303,13473600,4516,9559,28.990194,
304,13919000,4515,9559,28.990194,
305,13556400,4517,9559,28.990194,
306,13688500,4517,9559,28.990194,
307,12786200,4517,9559,28.990194,
308,13203200,4516,9559,28.990194,
309,13671500,4516,9559,28.990194,
310,13676800,4516,9559,28.990194,
311,13300600,4516,9559,28.990194,
312,14208900,4515,9559,28.990194,
313,13894600,4515,9559,28.990194,
314,13313600,4515,9559,28.990194,
315,13241700,4517,9559,28.990194,
316,13092900,4515,9559,28.990194,
317,13571800,4517,9559,28.990194,
318,13917800,4516,9559,28.990192,
319,13531500,4516,9559,28.99019,
320,13615900,4515,9559,28.990196,
321,13425100,4515,9559,28.990198,
322,13289400,4517,9559,28.990198,
323,14287200,4517,9559,28.990198,
324,13788900,4517,9559,28.990198,
325,13192500,4516,9559,28.990194,
326,13388400,4516,9559,28.990189,
327,13576600,4516,9559,28.990189,
328,13820000,4515,9559,28.990189,
329,12954800,4514,9559,28.990189,
330,13419900,4515,9559,28.990189,
331,13161800,4513,9559,28.990189,
332,13249200,4513,9559,28.990189,
333,13526300,4512,9559,28.990185,
334,13564700,4513,9559,28.990185,
335,13384700,4514,9559,28.990185,
336,13537100,4513,9559,28.990185,
337,13074000,4516,9559,28.990185,
338,13119400,4517,9559,28.990185,
339,13425400,4518,9559,28.990185,
340,13489400,4517,9559,28.990185,
341,13584200,4517,9559,28.990185,
342,13347400,4517,9559,28.990185,
343,13485800,4517,9559,28.990185,
344,13055700,4517,9559,28.990185,
345,13297300,4517,9559,28.990189,
346,13357200,4517,9559,28.990189,
347,13342100,4517,9559,28.990189,
348,13663400,4517,9559,28.990189,
349,13746400,4516,9559,28.990189,
350,13176200,4515,9559,28.990189,
351,13705500,4516,9559,28.990189,
352,14054800,4517,9559,28.990189,
353,12926500,4518,9559,28.990189,
354,13327300,4518,9559,28.990189,
355,13052200,4519,9559,28.990189,
356,13084500,4518,9559,28.990189,
357,13087400,4519,9559,28.990189,
358,12998500,4520,9559,28.990189,
359,13065400,4521,9559,28.990189,
360,13159000,4521,9559,28.990189,
361,13156300,4521,9559,28.990189,
362,13158600,4521,9559,28.990189,
363,13743100,4521,9559,28.990189,
364,13794700,4521,9559,28.990189,
365,13812600,4521,9559,28.990189,
366,13614600,4521,9559,28.990189,
367,13245900,4521,9559,28.990189,
368,13029000,4521,9559,28.990187,
369,13304300,4520,9559,28.990185,
370,13077200,4520,9559,28.990189,
371,13351700,4520,9559,28.990189,
