step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,455900,16,31,30.998297,,0,2,0,0,160294,5231,2375,295606,16,67,962,1,37536,1,120,1,5681,1,34449,1,28858,1,186827,1,1172,1,109851,1,2575,4,4489,4,3477,4,21453,4,37005,8,0,0,56083,24,90,1,2515,1,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
1,161700,16,31,30.993937,,0,2,0,0,57079,772,541,104621,16,67,140,1,15561,1,60,1,812,1,17325,1,1373,1,68899,1,451,1,3958,1,311,4,3016,4,1363,4,19409,4,36574,8,0,0,55442,24,70,1,3327,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
2,107600,16,31,30.987455,,0,2,0,0,22709,521,1984,84891,16,67,110,1,691,1,30,1,691,1,16183,1,1022,1,65813,1,351,1,3848,1,351,4,2806,4,1182,4,18878,4,37405,8,0,0,54299,24,60,1,701,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,31,1,16,1,63,1,31,1,0,1
3,102800,16,31,30.97999,,0,2,0,0,20975,541,561,81825,16,67,40,1,631,1,10,1,581,1,15211,1,862,1,64219,1,271,1,3537,1,281,4,2806,4,1243,4,18668,4,36243,8,0,0,54350,24,110,1,711,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
4,107300,16,31,30.972979,,0,2,0,0,25675,551,541,81625,16,67,20,1,661,1,20,1,531,1,14800,1,681,1,64630,1,281,1,3577,1,281,4,2836,4,1253,4,18748,4,36413,8,0,0,54620,24,80,1,822,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
5,103400,16,31,30.966393,,0,2,0,0,20673,471,491,82727,16,67,20,1,601,1,10,1,531,1,16694,1,661,1,63889,1,321,1,3557,1,251,4,2846,4,1243,4,18608,4,35952,8,0,0,54069,24,50,1,872,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
6,101000,16,31,30.961182,,0,2,0,0,20237,561,521,80763,16,67,10,1,591,1,20,1,521,1,14048,1,721,1,64560,1,291,1,3527,1,271,4,2846,4,1172,4,18738,4,36534,8,0,0,54750,24,50,1,802,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
7,103900,16,31,30.955942,,0,2,0,0,21203,1764,531,82697,16,67,80,1,601,1,20,1,521,1,13738,1,661,1,66785,1,291,1,3517,1,220,4,2846,4,1222,4,19319,4,37015,8,0,0,55803,24,50,1,762,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
8,100500,16,31,30.950468,,0,2,0,0,20178,591,581,80322,16,67,40,1,651,1,20,1,521,1,13297,1,681,1,64751,1,361,1,3577,1,301,4,2826,4,1243,4,18888,4,36544,8,0,0,54851,24,50,1,671,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
9,100300,16,31,30.945265,,0,2,0,0,20559,551,591,79741,16,67,20,1,601,1,20,1,521,1,13637,1,681,1,63979,1,281,1,3387,1,251,4,2846,4,1232,4,18628,4,36263,8,0,0,54299,24,50,1,701,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
10,101400,16,31,30.941706,,0,2,0,0,21198,1814,511,80202,16,67,10,1,571,1,20,1,511,1,12966,1,681,1,65151,1,291,1,3427,1,301,4,2966,4,1142,4,18597,4,36103,8,0,0,54189,24,50,1,681,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
11,95400,16,31,30.939552,,0,2,0,0,19808,541,581,75592,16,67,30,1,601,1,20,1,521,1,12535,1,631,1,61033,1,220,1,3186,1,271,4,2695,4,1192,4,17846,4,34720,8,0,0,51985,24,70,1,461,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
12,82000,16,31,30.9381,,0,2,0,0,17369,1875,441,64631,16,67,10,1,481,1,20,1,401,1,9870,1,611,1,52947,1,291,1,2595,1,461,4,2275,4,1012,4,15040,4,29139,8,0,0,43738,24,50,1,441,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
13,76000,16,31,30.937513,,0,2,0,0,13374,491,481,62626,16,67,40,1,401,1,10,1,391,1,9990,1,491,1,51103,1,200,1,2305,1,210,4,2275,4,972,4,14990,4,29329,8,0,0,43838,24,40,1,461,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
14,80600,16,31,30.937351,,0,2,0,0,17172,422,431,63428,16,67,20,1,481,1,20,1,411,1,10150,1,541,1,51564,1,240,1,2575,1,290,4,2275,4,942,4,15160,4,29399,8,0,0,44129,24,40,1,421,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
15,80300,16,31,30.937284,,0,2,0,0,17594,461,412,62706,16,67,20,1,461,1,10,1,421,1,10160,1,531,1,50792,1,311,1,2475,1,160,4,2275,4,932,4,14890,4,29059,8,0,0,43537,24,40,1,451,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
