step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,13227600,8555,9570,28.99835,,0,16,16,192,571490,8307,5381,12656110,16,235,892,1,96123,1,371,1,1937137,1,3439549,1,318320,1,6842224,1,21493,1,1067247,1,8828,4,1015222,4,65812,4,1559617,4,3073804,8,4628040,192,0,0,5922,1,34820,1,2645,1,0,0,0,0,0,0,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1
1,10018800,5761,9570,28.995926,,0,16,12,144,208715,1323,5120,9810085,16,235,160,1,34119,1,80,1,1904391,1,3087200,1,198760,1,4568190,1,17185,1,583323,1,7866,4,628294,4,68859,4,1126767,4,2113882,8,3143684,144,91845,48,3978,1,31363,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,0,1
2,11072000,6723,9570,28.994566,,0,16,14,168,171341,2826,6844,10900659,16,235,190,1,23117,1,70,1,1901225,1,3604311,1,229261,1,5123737,1,18748,1,595748,1,10100,4,737744,4,63768,4,1223622,4,2445059,8,3609220,168,52616,24,4780,1,37455,1,2635,1,0,0,0,0,0,0,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,0,1
3,11076500,6695,9570,28.994541,,0,16,14,168,182234,1353,5912,10894266,16,235,190,1,28738,1,160,1,2050725,1,3469009,1,225053,1,5103126,1,17265,1,600408,1,7615,4,722363,4,64369,4,1224183,4,2439518,8,3622206,168,35582,24,4669,1,36123,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,0,1
4,11161200,6672,9570,28.994545,,0,16,14,168,170430,1343,3879,10990770,16,235,170,1,22966,1,50,1,1903008,1,3756407,1,234001,1,5055861,1,18307,1,576800,1,7675,4,721451,4,63879,4,1222159,4,2417874,8,3605221,168,30932,24,4800,1,37115,1,2766,1,0,0,0,0,0,0,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,0,1
5,10941200,6758,9570,28.994184,,0,16,14,168,71093,1133,3888,10870107,16,235,40,1,32646,1,200,1,2124704,1,3494330,1,178910,1,5019247,1,20030,1,457260,1,7345,4,729097,4,64740,4,1267069,4,2448566,8,3676787,168,34960,24,4810,1,36704,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,0,1
6,11175300,6793,9570,28.993921,,0,16,14,168,455976,1263,3908,10719324,16,235,190,1,37465,1,180,1,1894792,1,3552717,1,185553,1,5033646,1,14780,1,449103,1,7445,4,726522,4,64800,4,1252029,4,2487955,8,3696466,168,39610,24,4860,1,37014,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,0,1
7,11145100,6783,9570,28.993895,,0,16,14,168,105251,1443,3988,11039849,16,235,150,1,23618,1,80,1,1906084,1,3654612,1,232648,1,5202616,1,20040,1,584115,1,7716,4,757865,4,68077,4,1314755,4,2425459,8,3697007,168,39219,24,4770,1,35882,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,0,1
8,11138700,6772,9570,28.993822,,0,16,14,168,96787,1232,3868,11041913,16,235,170,1,33918,1,70,1,2085926,1,3705905,1,179251,1,5023516,1,13156,1,437660,1,7395,4,745800,4,64700,4,1242670,4,2479819,8,3679342,168,39279,24,5551,1,35972,1,2715,1,0,0,0,0,0,0,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,0,1
9,10753100,6790,9570,28.993675,,0,16,14,168,70430,1242,3848,10682670,16,235,150,1,23137,1,80,1,1907457,1,3573549,1,182357,1,4976421,1,19519,1,440586,1,7435,4,721471,4,64239,4,1234263,4,2462674,8,3653960,168,39129,24,4910,1,36984,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,0,1
