step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,544900,16,31,30.998297,,0,2,0,0,145848,14809,1763,399052,16,67,3777,1,74045,1,1262,1,10080,1,63865,1,47203,1,188560,1,10260,1,97381,1,3296,4,4078,4,4990,4,24528,4,36361,8,0,0,59126,24,992,1,1523,1,601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
1,138200,16,31,30.993937,,0,2,0,0,30509,721,441,107691,16,67,160,1,17795,1,40,1,761,1,23787,1,1313,1,63505,1,331,1,12054,1,331,4,2785,4,1283,4,15871,4,30159,8,0,0,45589,24,70,1,150,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
2,102500,16,31,30.987455,,0,2,0,0,27643,642,2084,74857,16,67,90,1,872,1,60,1,701,1,17043,1,1222,1,54527,1,341,1,2254,1,471,4,2725,4,1252,4,15710,4,31171,8,0,0,44798,24,70,1,150,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,31,1,16,1,63,1,31,1,0,1
3,103700,16,31,30.97999,,0,2,0,0,29354,681,411,74346,16,67,120,1,882,1,50,1,721,1,18176,1,1192,1,52894,1,311,1,2355,1,220,4,2806,4,1152,4,15581,4,29818,8,0,0,44988,24,70,1,130,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
4,99400,16,31,30.972979,,0,2,0,0,26758,671,491,72642,16,67,120,1,892,1,70,1,641,1,17274,1,1172,1,52162,1,311,1,2124,1,281,4,2224,4,1142,4,15540,4,29939,8,0,0,44988,24,60,1,120,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
5,95300,16,31,30.966393,,0,2,0,0,24301,511,461,70999,16,67,50,1,631,1,60,1,621,1,16673,1,912,1,51792,1,261,1,2124,1,150,4,2705,4,1042,4,15370,4,29628,8,0,0,44537,24,50,1,150,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
6,97400,16,31,30.961182,,0,2,0,0,24417,731,461,72983,16,67,150,1,882,1,50,1,701,1,16112,1,1283,1,53505,1,301,1,2415,1,271,4,2846,4,1202,4,15561,4,30179,8,0,0,45278,24,60,1,160,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
7,90700,16,31,30.955942,,0,2,0,0,19590,3757,391,71110,16,67,20,1,691,1,40,1,632,1,12565,1,952,1,55950,1,261,1,1804,1,321,4,2585,4,1032,4,15921,4,30299,8,0,0,45830,24,60,1,120,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
8,83300,16,31,30.950468,,0,2,0,0,17331,491,401,65969,16,67,20,1,661,1,80,1,511,1,11823,1,711,1,51942,1,220,1,1814,1,250,4,2555,4,1042,4,15540,4,30039,8,0,0,45178,24,50,1,90,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
9,81800,16,31,30.945265,,0,2,0,0,17163,421,421,64637,16,67,30,1,551,1,20,1,431,1,11613,1,641,1,51140,1,210,1,1603,1,180,4,2645,4,1052,4,15290,4,29798,8,0,0,44667,24,30,1,70,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
