step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,329800,16,31,30.998297,,0,2,0,0,135745,6102,652,194055,16,67,832,1,28276,1,220,1,4329,1,27986,1,24008,1,106331,1,2074,1,46212,1,1563,4,2124,4,3036,4,16894,4,29919,8,0,0,46161,24,130,1,281,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
1,215700,16,31,30.993937,,0,2,0,0,96964,852,531,118736,16,67,200,1,12936,1,200,1,862,1,18487,1,1393,1,84097,1,561,1,21282,1,301,4,2585,4,1483,4,19769,4,37494,8,0,0,56733,24,80,1,150,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
2,148100,16,31,30.987455,,0,2,0,0,58071,972,3707,90029,16,67,90,1,902,1,70,1,741,1,19208,1,1453,1,67243,1,321,1,2204,1,381,4,2565,4,1473,4,19449,4,39889,8,0,0,55630,24,80,1,160,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,31,1,16,1,63,1,31,1,0,1
3,107800,16,31,30.97999,,0,2,0,0,25497,631,451,82303,16,67,30,1,671,1,20,1,711,1,16352,1,1082,1,63155,1,281,1,1904,1,271,4,2445,4,1252,4,19208,4,37144,8,0,0,55901,24,130,1,130,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
4,101400,16,31,30.972979,,0,2,0,0,21171,551,511,80229,16,67,100,1,601,1,50,1,531,1,15340,1,812,1,62504,1,291,1,1814,1,291,4,2385,4,1252,4,19028,4,36933,8,0,0,55450,24,80,1,110,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
5,101700,16,31,30.966393,,0,2,0,0,20449,561,521,81251,16,67,100,1,591,1,10,1,511,1,17314,1,641,1,61823,1,261,1,1663,1,170,4,2385,4,1263,4,18928,4,36693,8,0,0,55099,24,40,1,80,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
6,97800,16,31,30.961182,,0,2,0,0,18944,481,481,78856,16,67,40,1,561,1,10,1,571,1,14489,1,671,1,62223,1,291,1,1623,1,180,4,2395,4,1202,4,19008,4,37144,8,0,0,55670,24,40,1,110,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
7,105700,16,31,30.955942,,0,2,0,0,23317,2735,541,82383,16,67,40,1,591,1,40,1,541,1,14208,1,661,1,66021,1,281,1,1613,1,321,4,2385,4,1242,4,19689,4,37865,8,0,0,57013,24,50,1,80,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
8,96300,16,31,30.950468,,0,2,0,0,17724,471,531,78576,16,67,20,1,641,1,20,1,521,1,13727,1,691,1,62664,1,291,1,1663,1,261,4,2405,4,1273,4,19248,4,37194,8,0,0,55911,24,40,1,70,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
9,96100,16,31,30.945265,,0,2,0,0,17755,491,491,78345,16,67,20,1,671,1,30,1,541,1,13938,1,621,1,62254,1,271,1,1583,1,250,4,2375,4,1293,4,19018,4,37074,8,0,0,55600,24,40,1,80,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
10,97400,16,31,30.941706,,0,2,0,0,19085,1814,491,78315,16,67,40,1,601,1,20,1,541,1,13176,1,611,1,63065,1,261,1,1493,1,220,4,2435,4,1222,4,18867,4,36863,8,0,0,55240,24,40,1,70,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
11,96500,16,31,30.939552,,0,2,0,0,19106,511,521,77394,16,67,20,1,601,1,20,1,481,1,12946,1,671,1,62394,1,261,1,1533,1,261,4,2455,4,1252,4,19058,4,37144,8,0,0,55680,24,60,1,80,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
12,96900,16,31,30.9381,,0,2,0,0,18414,2064,511,78486,16,67,30,1,651,1,30,1,491,1,12525,1,661,1,63847,1,250,1,1423,1,551,4,2405,4,1283,4,18988,4,36973,8,0,0,55450,24,40,1,90,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
13,93800,16,31,30.937513,,0,2,0,0,16988,501,451,76812,16,67,60,1,601,1,20,1,501,1,12725,1,691,1,61893,1,321,1,1453,1,220,4,2385,4,1293,4,18908,4,36973,8,0,0,55430,24,40,1,80,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
14,95200,16,31,30.937351,,0,2,0,0,17796,451,461,77404,16,67,60,1,601,1,20,1,541,1,13066,1,651,1,62193,1,271,1,1443,1,240,4,2415,4,1202,4,19058,4,37194,8,0,0,55791,24,40,1,110,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
15,80600,16,31,30.937284,,0,2,0,0,18497,391,392,62103,16,67,30,1,531,1,20,1,401,1,10601,1,501,1,49769,1,250,1,1162,1,230,4,1944,4,1012,4,15200,4,29709,8,0,0,44518,24,30,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
16,79100,16,31,30.937271,,0,2,0,0,17197,480,372,61903,16,67,90,1,511,1,10,1,381,1,10451,1,551,1,49709,1,200,1,1062,1,250,4,1904,4,1032,4,15160,4,29699,8,0,0,44487,24,30,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
17,78800,16,31,30.93684,,0,2,0,0,17208,451,401,61592,16,67,30,1,491,1,10,1,401,1,10210,1,591,1,49649,1,210,1,1152,1,180,4,1914,4,1032,4,15160,4,29639,8,0,0,44398,24,30,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
18,79000,16,31,30.93567,,0,2,0,0,17107,441,351,61893,16,67,40,1,481,1,20,1,391,1,10060,1,541,1,50150,1,210,1,1142,1,210,4,1934,4,972,4,15360,4,29959,8,0,0,44969,24,40,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
19,79800,16,31,30.934578,,0,2,0,0,17066,451,391,62734,16,67,40,1,481,1,20,1,391,1,10250,1,521,1,50831,1,200,1,1172,1,200,4,1914,4,1072,4,15300,4,30571,8,0,0,45480,24,60,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
20,78200,16,31,30.933569,,0,2,0,0,16928,451,342,61272,16,67,30,1,481,1,20,1,391,1,10230,1,531,1,49398,1,190,1,1102,1,150,4,1924,4,1002,4,15020,4,29619,8,0,0,44297,24,40,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
21,79600,16,31,30.93225,,0,2,0,0,18248,461,372,61352,16,67,50,1,491,1,10,1,401,1,10281,1,511,1,49408,1,200,1,1172,1,180,4,1934,4,1002,4,15070,4,29458,8,0,0,44156,24,40,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
22,78200,16,31,30.930666,,0,2,0,0,16958,472,532,61242,16,67,40,1,521,1,30,1,391,1,10270,1,511,1,49268,1,210,1,1082,1,140,4,1894,4,971,4,15030,4,29549,8,0,0,44046,24,40,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
23,78700,16,31,30.929638,,0,2,0,0,17499,461,401,61201,16,67,40,1,461,1,10,1,401,1,10180,1,531,1,49368,1,210,1,1032,1,200,4,1964,4,1022,4,15090,4,29479,8,0,0,44167,24,30,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
24,78100,16,31,30.929274,,0,2,0,0,16949,451,412,61151,16,67,10,1,481,1,10,1,391,1,10130,1,471,1,49458,1,200,1,1042,1,250,4,1914,4,1032,4,15040,4,29599,8,0,0,44227,24,40,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
25,78200,16,31,30.929083,,0,2,0,0,17129,441,342,61071,16,67,30,1,471,1,20,1,391,1,10230,1,491,1,49238,1,200,1,1072,1,170,4,1934,4,1002,4,15080,4,29418,8,0,0,44157,24,30,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
26,78200,16,31,30.928932,,0,2,0,0,16738,471,391,61462,16,67,30,1,491,1,10,1,391,1,10170,1,521,1,49649,1,200,1,1222,1,180,4,1924,4,972,4,15130,4,29589,8,0,0,44328,24,60,1,60,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
27,78300,16,31,30.929287,,0,2,0,0,16908,491,401,61392,16,67,40,1,471,1,30,1,401,1,10070,1,551,1,49618,1,210,1,1062,1,220,4,1924,4,1022,4,15110,4,29639,8,0,0,44348,24,60,1,50,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
28,78000,16,31,30.929544,,0,2,0,0,17008,471,362,60992,16,67,10,1,481,1,20,1,401,1,10191,1,501,1,49188,1,200,1,1082,1,220,4,1944,4,942,4,15020,4,29389,8,0,0,44047,24,30,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
29,78300,16,31,30.929623,,0,2,0,0,17058,461,362,61242,16,67,30,1,521,1,20,1,391,1,10160,1,551,1,49358,1,210,1,1042,1,190,4,1954,4,1012,4,14990,4,29549,8,0,0,44176,24,30,1,100,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
30,77800,16,31,30.929613,,0,2,0,0,17100,411,411,60700,16,67,40,1,481,1,20,1,411,1,9930,1,511,1,49107,1,200,1,1012,1,180,4,1934,4,972,4,15010,4,29458,8,0,0,44057,24,40,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
31,78400,16,31,30.929571,,0,2,0,0,17549,421,431,60851,16,67,40,1,501,1,10,1,401,1,9779,1,491,1,49418,1,210,1,1032,1,250,4,1914,4,1042,4,15030,4,29609,8,0,0,44208,24,30,1,60,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
32,77800,16,31,30.929502,,0,2,0,0,17300,451,411,60500,16,67,40,1,501,1,20,1,391,1,9549,1,491,1,49318,1,190,1,1002,1,261,4,1914,4,1032,4,15040,4,29489,8,0,0,44118,24,30,1,70,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
