step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,17027600,8555,9570,28.99835,1240,0,16,16,192,202449,20801,8527,16825151,16,239,872,1,96610,1,301,1,1900846,1,3432788,1,313817,1,11062354,1,17565,1,2338406,1,9649,4,1241570,4,64898,4,2154465,4,4295734,8,6441672,192,0,0,12104,1,899348,1,4018,1,13256,1,2104,2,6002,1,0,0,0,0,0,0,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,0,1
1,12663700,5761,9570,28.995926,1240,0,16,12,144,226654,2175,7775,12437046,16,239,140,1,46111,1,90,1,2124055,1,3032971,1,200524,1,7017243,1,15911,1,1169048,1,7374,4,657112,4,63154,4,1543985,4,2982202,8,4378045,144,140366,48,6924,1,571784,1,2845,1,4729,1,1413,2,4499,1,0,0,0,0,0,0,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,0,1
2,14080400,6723,9570,28.994566,1240,0,16,14,168,221660,4840,7234,13858740,16,239,160,1,29338,1,140,1,2036413,1,3569015,1,218289,1,7989494,1,15891,1,1453637,1,7264,4,811305,4,63485,4,1798846,4,3500791,8,5218688,168,73715,24,7875,1,325430,1,3607,1,6042,1,1824,2,4549,1,0,0,0,0,0,0,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,0,1
3,14053900,6695,9570,28.994541,1240,0,16,14,168,268774,2936,7976,13785126,16,239,150,1,30009,1,140,1,2146178,1,3684813,1,221275,1,7687109,1,15450,1,1252742,1,7354,4,794902,4,63104,4,1797172,4,3517875,8,5257564,168,49507,24,7294,1,229180,1,2635,1,6352,1,1373,2,4188,1,0,0,0,0,0,0,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,0,1
4,14274300,6672,9570,28.994545,1240,0,16,14,168,576516,1373,5020,13697784,16,239,130,1,23687,1,40,1,1891538,1,3715583,1,239922,1,7811223,1,15661,1,1338000,1,7274,4,791546,4,63835,4,1799317,4,3516151,8,5266081,168,44367,24,7545,1,272506,1,3226,1,4619,1,1403,2,4429,1,0,0,0,0,0,0,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,0,1
5,13927200,6758,9570,28.994184,1240,0,16,14,168,179067,1423,4920,13748133,16,239,140,1,24468,1,80,1,1908501,1,3730202,1,229611,1,7839619,1,15510,1,1338411,1,7274,4,805724,4,63425,4,1829356,4,3546481,8,5320508,168,50409,24,7595,1,226525,1,2846,1,4579,1,1393,2,4589,1,0,0,0,0,0,0,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,0,1
6,14638300,6793,9570,28.993921,1240,0,16,14,168,721025,1433,5040,13917275,16,239,150,1,31502,1,130,1,2133764,1,3644734,1,229090,1,7862234,1,15671,1,1377788,1,7234,4,818549,4,62713,4,1811671,4,3524287,8,5275549,168,55369,24,7465,1,234621,1,3517,1,6994,1,1453,2,4509,1,0,0,0,0,0,0,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,0,1
7,14325200,6783,9570,28.993895,1240,0,16,14,168,399258,1543,5140,13925942,16,239,701,1,38255,1,90,1,2157791,1,3771764,1,219231,1,7723251,1,14859,1,1264165,1,7635,4,817377,4,63765,4,1813404,4,3500631,8,5254288,168,54607,24,7475,1,234791,1,2635,1,3687,1,1423,2,4719,1,0,0,0,0,0,0,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,0,1
8,14101000,6772,9570,28.993822,1240,0,16,14,168,210297,1794,5080,13890703,16,239,140,1,23947,1,60,1,1932759,1,3790490,1,226966,1,7901311,1,15030,1,1359592,1,7184,4,820603,4,63695,4,1830217,4,3541210,8,5311380,168,54968,24,7445,1,255332,1,3757,1,4599,1,1363,2,4519,1,0,0,0,0,0,0,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,0,1
9,13895100,6790,9570,28.993675,1240,0,16,14,168,234820,1403,5310,13660280,16,239,150,1,23777,1,80,1,1906808,1,3722296,1,214983,1,7776676,1,15510,1,1347459,1,7194,4,825803,4,63595,4,1808164,4,3488286,8,5235461,168,55679,24,7525,1,213860,1,2695,1,4639,1,1403,2,4649,1,0,0,0,0,0,0,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,0,1
