step,wall_ns,manifolds,pairs,top_y,awake
0,10946400,4495,9570,35.998295,
1,9198100,4196,9570,35.993866,
2,9171500,4142,9570,35.986713,
3,9297000,4111,9570,35.976837,
4,9274500,4100,9570,35.964233,
5,9112700,4087,9570,35.948902,
6,9031900,4079,9570,35.93085,
7,9025800,4073,9570,35.910072,
8,8976100,4066,9570,35.88657,
9,8756500,4061,9570,35.86034,
10,8872900,4053,9570,35.831387,
11,8757900,4054,9570,35.79971,
12,9629000,4056,9570,35.765305,
13,9062600,4055,9570,35.728176,
14,10236400,4060,9570,35.688324,
15,10591600,4057,9570,35.64575,
16,9685600,4055,9570,35.600445,
17,10175400,4051,9570,35.552414,
18,9483500,4049,9570,35.501663,
19,9254900,4050,9570,35.448185,
20,10525800,4829,9570,35.391983,
21,10411700,4715,9570,35.333054,
22,10300200,4565,9570,35.2714,
23,10974000,4496,9570,35.207024,
24,9699000,4419,9570,35.13992,
25,9653800,4390,9570,35.07009,
26,10044700,4353,9570,34.997536,
27,10175100,4336,9570,34.92226,
28,11225800,4982,9570,34.844257,
29,10165300,4783,9570,34.763527,
30,10984200,4670,9570,34.680073,
31,10029900,4639,9570,34.593895,
32,9810600,4573,9570,34.504993,
33,9926900,4491,9570,34.413364,
34,10510000,5031,9570,34.31901,
35,10762900,4806,9570,34.221935,
36,10779000,4646,9570,34.12213,
37,9942800,4535,9570,34.019604,
38,9912800,4502,9570,33.91435,
39,11069400,4984,9570,33.806374,
40,10734300,5009,9570,33.69567,
41,10330800,4852,9570,33.58224,
42,10365000,4753,9570,33.466087,
43,10086700,4728,9570,33.34721,
44,10603200,4996,9570,33.22561,
45,13046700,5112,9570,33.10128,
46,11028500,4923,9570,32.974224,
47,11247500,4760,9570,32.844448,
48,10906400,5001,9570,32.711945,
49,11349600,5139,9570,32.576717,
50,10668800,4996,9570,32.438763,
51,10535600,4871,9570,32.298084,
52,10889000,5093,9570,32.154682,
53,10619700,4972,9570,32.008553,
54,11428700,4792,9570,31.8597,
55,10837300,4796,9570,31.70812,
56,10620800,4911,9570,31.553818,
57,10493800,4780,9570,31.39679,
58,10473700,4734,9570,31.237036,
59,10401200,4748,9570,31.074558,
60,10968300,4704,9570,30.909355,
61,10455500,4678,9570,30.741426,
62,10317000,4666,9570,30.570772,
63,10339800,4609,9570,30.397394,
64,10219900,4623,9570,30.22129,
65,11089500,4625,9570,30.042463,
66,11746200,4579,9570,29.860909,
67,11738700,4610,9570,29.67663,
68,11126300,4550,9570,29.489626,
69,11012400,4524,9570,29.299898,
70,10992300,4535,9570,29.107445,
71,10831800,4528,9570,28.912266,
72,10937300,4533,9570,28.714361,
73,10529700,4529,9570,28.745474,
74,11556800,4530,9570,28.77165,
75,11172700,4529,9570,28.79591,
76,10858500,4524,9570,28.816788,
77,10624900,4517,9570,28.83433,
78,10316800,4520,9570,28.848581,
79,10462300,4514,9568,28.862343,
80,10370100,4519,9568,28.873486,
81,11492200,4518,9568,28.88324,
82,10872000,4518,9568,28.892859,
