step,wall_ns,manifolds,pairs,top_y,awake
0,5121400,4495,9570,35.998295,
1,4120100,4196,9570,35.993866,
2,4054600,4142,9570,35.986713,
3,4197200,4111,9570,35.976837,
4,4291600,4100,9570,35.964233,
5,4301000,4087,9570,35.948902,
6,4017900,4079,9570,35.93085,
7,4076200,4073,9570,35.910072,
8,4028700,4066,9570,35.88657,
9,4031300,4061,9570,35.86034,
10,4065000,4053,9570,35.831387,
11,4300200,4054,9570,35.79971,
12,4311400,4056,9570,35.765305,
13,4215600,4055,9570,35.728176,
14,4239700,4060,9570,35.688324,
15,4075500,4057,9570,35.64575,
16,4081100,4055,9570,35.600445,
17,4120700,4051,9570,35.552414,
18,4077400,4049,9570,35.501663,
19,4159300,4050,9570,35.448185,
20,4623600,4829,9570,35.391983,
21,4376800,4715,9570,35.333054,
22,4337900,4565,9570,35.2714,
23,4261100,4496,9570,35.207024,
24,4369500,4419,9570,35.13992,
25,4477400,4390,9570,35.07009,
26,4199400,4353,9570,34.997536,
27,4219800,4336,9570,34.92226,
28,4576500,4982,9570,34.844257,
29,4429000,4783,9570,34.763527,
30,4457200,4670,9570,34.680073,
31,4389200,4639,9570,34.593895,
32,4335700,4573,9570,34.504993,
33,4285800,4491,9570,34.413364,
34,4711900,5031,9570,34.31901,
35,4709300,4806,9570,34.221935,
36,4599400,4646,9570,34.12213,
37,4374000,4535,9570,34.019604,
38,4344300,4502,9570,33.91435,
39,4535600,4984,9570,33.806374,
40,4576200,5009,9570,33.69567,
41,4563400,4852,9570,33.58224,
42,4637300,4753,9570,33.466087,
43,4499600,4728,9570,33.34721,
44,4737000,4996,9570,33.22561,
45,4584800,5112,9570,33.10128,
46,4565600,4923,9570,32.974224,
47,4561700,4760,9570,32.844448,
48,4618800,5001,9570,32.711945,
49,4649400,5139,9570,32.576717,
50,4549300,4996,9570,32.438763,
51,4525600,4871,9570,32.298084,
52,4588400,5093,9570,32.154682,
53,4604600,4972,9570,32.008553,
54,4412800,4792,9570,31.8597,
55,4544600,4796,9570,31.70812,
56,4544600,4911,9570,31.553818,
57,4456400,4780,9570,31.39679,
58,4459200,4734,9570,31.237036,
59,4501000,4748,9570,31.074558,
60,4388700,4704,9570,30.909355,
61,4554200,4678,9570,30.741426,
62,4548200,4666,9570,30.570772,
63,4366500,4609,9570,30.397394,
64,4403800,4623,9570,30.22129,
65,4457400,4625,9570,30.042463,
66,4372700,4579,9570,29.860909,
67,4330500,4610,9570,29.67663,
68,4502300,4550,9570,29.489626,
69,4350800,4524,9570,29.299898,
70,4639600,4535,9570,29.107445,
71,4352600,4528,9570,28.912266,
72,4356400,4533,9570,28.714361,
73,4287000,4529,9570,28.745474,
74,4323000,4530,9570,28.77165,
75,4336500,4529,9570,28.79591,
76,4303300,4524,9570,28.816788,
77,4378200,4517,9570,28.83433,
78,4445700,4520,9570,28.848581,
79,4333300,4514,9568,28.862343,
80,4241600,4519,9568,28.873486,
81,4276500,4518,9568,28.88324,
82,4270300,4518,9568,28.892859,
83,4363600,4516,9568,28.90075,
84,4405800,4517,9567,28.907646,
85,4417000,4508,9565,28.914537,
