step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
0,7671900,8555,9570,28.99835,1240,0,16,16,192,120390,17325,4610,7551510,16,237,421,1,95952,1,341,1,2079459,1,1478053,1,262837,1,3620709,1,13738,1,1207010,1,13597,4,1042911,4,86674,4,410844,4,764593,8,1170827,192,0,0,9208,1,47816,1,5120,1,8297,1,1473,2,5842,1,1113803,1,212917,1,28748,1,34220,1,0,1,9570,1,8555,1,34220,1,9570,1,48,1
1,5078600,5761,9570,28.995926,1240,0,16,12,144,37573,1253,4419,5041027,16,242,220,1,41173,1,80,1,2087145,1,587508,1,169510,1,2142485,1,12906,1,501646,1,11673,4,596947,4,78146,4,303699,4,596436,8,795144,144,100572,48,4228,1,34690,1,2816,1,4729,1,1383,2,4840,1,541295,1,21333,1,19299,1,17876,1,440,1,9570,1,5761,1,18316,1,9570,1,48,1
2,5232200,6723,9570,28.994566,1240,0,16,14,168,32866,1142,4700,5199334,16,242,40,1,25411,1,50,1,1930571,1,655675,1,180853,1,2393799,1,12936,1,518600,1,11944,4,729913,4,78407,4,335102,4,659733,8,930655,168,59479,24,4709,1,41132,1,2816,1,3748,1,1323,2,5230,1,596205,1,26844,1,25661,1,22061,1,313,1,9570,1,6723,1,22374,1,9570,1,48,1
3,5314900,6695,9570,28.994541,1240,0,16,14,168,35846,1133,5652,5279054,16,242,20,1,25361,1,40,1,1924048,1,666777,1,203268,1,2446605,1,12936,1,540784,1,12355,4,719092,4,78948,4,361515,4,674873,8,988912,168,41824,24,4689,1,40231,1,2825,1,3727,1,1493,2,4940,1,620664,1,25040,1,16233,1,21966,1,201,1,9570,1,6695,1,22167,1,9570,1,48,1
4,5158100,6672,9570,28.994545,1240,0,16,14,168,34528,3146,2807,5123572,16,242,170,1,25221,1,70,1,1897695,1,651266,1,205602,1,2330553,1,12996,1,519882,1,12074,4,717909,4,78698,4,325082,4,617197,8,904583,168,34890,24,5441,1,38287,1,2816,1,3527,1,1513,2,4980,1,606255,1,25441,1,12806,1,21835,1,169,1,9570,1,6672,1,22004,1,9570,1,48,1
5,5211600,6758,9570,28.994184,1240,0,16,14,168,32657,1232,5111,5178943,16,242,150,1,30291,1,70,1,1987725,1,634873,1,180392,1,2332426,1,13016,1,501536,1,12064,4,728040,4,78337,4,327096,4,625364,8,907379,168,39970,24,4780,1,40611,1,2846,1,3928,1,1343,2,5251,1,590654,1,25802,1,11333,1,22238,1,191,1,9570,1,6758,1,22429,1,9570,1,48,1
6,5281200,6793,9570,28.993921,1240,0,16,14,168,31815,1223,3036,5249385,16,242,110,1,30050,1,80,1,2021062,1,654673,1,181183,1,2349180,1,13046,1,493840,1,11994,4,741467,4,78818,4,326815,4,636346,8,914894,168,45231,24,5521,1,40110,1,2795,1,3607,1,1332,2,5311,1,612418,1,25702,1,9770,1,22479,1,239,1,9570,1,6793,1,22718,1,9570,1,48,1
7,5500400,6783,9570,28.993895,1240,0,16,14,168,36460,1233,5973,5463940,16,242,140,1,29629,1,80,1,1986062,1,645008,1,225913,1,2566355,1,10752,1,588229,1,13196,4,785004,4,77906,4,354481,4,686246,8,988642,168,46112,24,4950,1,40652,1,2815,1,4770,1,1854,2,5020,1,597002,1,30641,1,11513,1,22445,1,232,1,9570,1,6783,1,22677,1,9570,1,48,1
8,5743600,6772,9570,28.993822,1240,0,16,14,168,36328,1152,2997,5707272,16,242,160,1,29690,1,80,1,2143247,1,636997,1,243689,1,2640494,1,12916,1,620975,1,13437,4,821297,4,78437,4,361545,4,685204,8,999203,168,44549,24,4910,1,39469,1,2776,1,4499,1,1764,2,5030,1,591175,1,28848,1,11062,1,22460,1,241,1,9570,1,6772,1,22701,1,9570,1,48,1
9,5302100,6790,9570,28.993675,1240,0,16,14,168,44950,1092,2946,5257150,16,237,100,1,44369,1,70,1,2040531,1,638861,1,190241,1,2329981,1,12996,1,490263,1,12275,4,738360,4,78177,4,327627,4,623610,8,904073,168,44219,24,4820,1,40090,1,2815,1,4309,1,1373,2,5170,1,596646,1,28207,1,8988,1,22652,1,243,1,9570,1,6790,1,22895,1,9570,1,48,1
10,5153300,6786,9570,28.993578,1240,0,16,14,168,35700,1153,2967,5117600,16,242,60,1,25551,1,10,1,1896703,1,639322,1,190041,1,2352857,1,13056,1,486034,1,12094,4,745525,4,78908,4,334841,4,636727,8,918952,168,49650,24,4750,1,39790,1,2815,1,3557,1,1313,2,5351,1,597979,1,25201,1,9239,1,22700,1,254,1,9570,1,6786,1,22954,1,9570,1,48,1
11,5133400,6806,9570,28.99352,1240,0,16,14,168,34237,1212,2867,5099163,16,242,10,1,25732,1,70,1,1899098,1,606145,1,192125,1,2362937,1,13046,1,482888,1,12054,4,747569,4,78948,4,332757,4,648550,8,928751,168,49690,24,4669,1,41383,1,2796,1,3487,1,1313,2,5311,1,565574,1,26894,1,8848,1,22716,1,263,1,9570,1,6806,1,22979,1,9570,1,48,1
12,5269900,6806,9570,28.993486,1240,0,16,14,168,64424,1123,5952,5205476,16,242,50,1,25611,1,20,1,1900470,1,638340,1,188869,1,2439040,1,13076,1,491155,1,12204,4,746928,4,79139,4,367507,4,682599,8,995025,168,49128,24,4860,1,40140,1,2865,1,4088,1,1353,2,5080,1,592067,1,30631,1,8707,1,22744,1,264,1,9570,1,6806,1,23008,1,9570,1,48,1
13,5128400,6780,9570,28.993422,1240,0,16,14,168,35209,1042,6033,5093191,16,242,50,1,26313,1,50,1,1897785,1,642528,1,188418,1,2325011,1,13036,1,478359,1,12345,4,747469,4,79429,4,327406,4,620073,8,892449,168,48998,24,5681,1,39850,1,2826,1,3998,1,1303,2,5230,1,601346,1,26323,1,8096,1,22736,1,253,1,9570,1,6780,1,22989,1,9570,1,48,1
14,5120900,6784,9570,28.99337,1240,0,16,14,168,30604,1062,5662,5090296,16,242,70,1,26082,1,30,1,1896472,1,629171,1,189440,1,2335993,1,13036,1,474702,1,12034,4,758170,4,78958,4,326575,4,627238,8,899072,168,49078,24,4820,1,39579,1,2816,1,3577,1,1363,2,5100,1,591045,1,25170,1,8066,1,22775,1,271,1,9570,1,6784,1,23046,1,9570,1,48,1
15,5317500,6765,9570,28.993326,1240,0,16,14,168,34162,1242,5762,5283338,16,242,70,1,26273,1,50,1,1897554,1,720620,1,226604,1,2399050,1,13116,1,557718,1,12084,4,741667,4,81403,4,323609,4,621987,8,895966,168,43868,24,5671,1,39990,1,2846,1,4609,1,1343,2,4880,1,674067,1,32455,1,8677,1,22775,1,254,1,9570,1,6765,1,23029,1,9570,1,48,1
16,5182500,6760,9570,28.993288,1240,0,16,14,168,33376,1273,5982,5149124,16,242,90,1,30431,1,80,1,1935490,1,613771,1,188668,1,2367517,1,13076,1,475423,1,12064,4,747088,4,79028,4,337747,4,659582,8,947499,168,43848,24,4880,1,37625,1,2806,1,3667,1,1343,2,4990,1,575163,1,25822,1,7846,1,22734,1,256,1,9570,1,6760,1,22990,1,9570,1,48,1
17,5174800,6761,9570,28.993235,1240,0,16,14,168,32650,1052,6163,5142150,16,242,10,1,26112,1,90,1,1898096,1,632318,1,187947,1,2384511,1,13066,1,467547,1,12264,4,741637,4,78808,4,360072,4,664392,8,974333,168,43968,24,4810,1,41243,1,2806,1,3527,1,1323,2,5030,1,594392,1,25511,1,7415,1,22757,1,248,1,9570,1,6761,1,23005,1,9570,1,48,1
18,5141000,6734,9570,28.99321,1240,0,16,14,168,30444,1132,6073,5110556,16,242,60,1,25611,1,100,1,1897374,1,682709,1,187456,1,2304039,1,13206,1,461255,1,11924,4,746226,4,78988,4,326234,4,621106,8,897609,168,43658,24,4960,1,39359,1,2836,1,3717,1,1312,2,4990,1,644332,1,25772,1,7054,1,22736,1,249,1,9570,1,6734,1,22985,1,9570,1,48,1
19,5087700,6754,9570,28.99318,1240,0,16,14,168,32665,1082,5933,5055035,16,242,100,1,26072,1,50,1,1901102,1,636857,1,187576,1,2290252,1,13026,1,467618,1,11924,4,740835,4,78487,4,328589,4,607488,8,886637,168,43507,24,4719,1,36684,1,2746,1,3487,1,1313,2,5281,1,597668,1,25381,1,7275,1,22779,1,242,1,9570,1,6754,1,23021,1,9570,1,48,1
20,5079300,6753,9570,28.99314,1240,0,16,14,168,30518,1113,6203,5048782,16,242,100,1,25832,1,40,1,1893797,1,626997,1,187346,1,2301584,1,13086,1,469201,1,12004,4,744793,4,78838,4,322196,4,616747,8,889352,168,43387,24,4780,1,39008,1,2845,1,3507,1,1343,2,5210,1,588961,1,24880,1,6603,1,22809,1,233,1,9570,1,6753,1,23042,1,9570,1,48,1
21,5088600,6741,9570,28.993107,1240,0,16,14,168,36942,1103,5933,5051658,16,242,100,1,25922,1,40,1,1896823,1,634442,1,186063,1,2295232,1,13036,1,461054,1,11944,4,744563,4,79008,4,327416,4,612558,8,890695,168,43347,24,5321,1,39068,1,2845,1,3507,1,1303,2,5541,1,593620,1,27435,1,6653,1,22787,1,225,1,9570,1,6741,1,23012,1,9570,1,48,1
22,5059900,6739,9570,28.993093,1240,0,16,14,168,31178,1062,6003,5028722,16,242,10,1,25932,1,60,1,1897204,1,608931,1,187867,1,2295582,1,13136,1,461936,1,11854,4,746286,4,79018,4,325022,4,616025,8,891477,168,43567,24,4770,1,36744,1,2796,1,3547,1,1353,2,5170,1,573049,1,24509,1,6804,1,22813,1,227,1,9570,1,6739,1,23040,1,9570,1,48,1
23,5058200,6730,9570,28.993065,1240,0,16,14,168,35019,1072,5732,5023181,16,242,70,1,26273,1,40,1,1899268,1,583309,1,187416,1,2313518,1,13287,1,463139,1,12084,4,745946,4,79129,4,329891,4,626065,8,910936,168,39289,24,4699,1,38758,1,2805,1,3547,1,1323,2,5060,1,544311,1,26473,1,6643,1,22796,1,232,1,9570,1,6730,1,23028,1,9570,1,48,1
24,5061800,6730,9570,28.993042,1240,0,16,14,168,31745,1182,5712,5030055,16,242,120,1,26373,1,30,1,1898917,1,601766,1,187556,1,2302266,1,13026,1,466535,1,12325,4,744503,4,79069,4,323388,4,619091,8,892839,168,43928,24,4679,1,38808,1,2766,1,3537,1,1313,2,5070,1,561766,1,26663,1,6553,1,22785,1,251,1,9570,1,6730,1,23036,1,9570,1,48,1
25,5168500,6722,9570,28.99303,1240,0,16,14,168,31150,1152,5922,5137350,16,242,60,1,26022,1,40,1,1898075,1,628029,1,187516,1,2384551,1,13056,1,474992,1,12024,4,740064,4,79199,4,352617,4,668330,8,971257,168,43768,24,4689,1,38768,1,2836,1,3567,1,1303,2,5010,1,590704,1,26213,1,6533,1,22767,1,236,1,9570,1,6722,1,23003,1,9570,1,48,1
26,5120300,6733,9570,28.993017,1240,0,16,14,168,31477,1072,5832,5088823,16,242,70,1,25702,1,30,1,1897775,1,629783,1,187776,1,2334611,1,13076,1,461155,1,12014,4,744573,4,79529,4,341775,4,640695,8,933091,168,43547,24,4639,1,36393,1,2806,1,3677,1,1313,2,4970,1,593029,1,25441,1,6012,1,22803,1,237,1,9570,1,6733,1,23040,1,9570,1,48,1
27,5095100,6733,9570,28.992998,1240,0,16,14,168,33652,1142,6213,5061448,16,242,40,1,26032,1,20,1,1898997,1,629272,1,186163,1,2307887,1,13036,1,458449,1,12345,4,746006,4,78888,4,322527,4,630745,8,903531,168,43527,24,5381,1,39409,1,2806,1,3517,1,1383,2,5291,1,590674,1,25812,1,6132,1,22820,1,245,1,9570,1,6733,1,23065,1,9570,1,48,1
28,5094800,6715,9570,28.992983,1240,0,16,14,168,32591,1112,5742,5062209,16,242,80,1,25892,1,90,1,1899198,1,621847,1,187526,1,2314350,1,13227,1,460062,1,12044,4,746767,4,79038,4,331775,4,627278,8,909573,168,43738,24,4740,1,38748,1,2856,1,3557,1,1323,2,5050,1,584251,1,27174,1,5822,1,22813,1,227,1,9570,1,6715,1,23040,1,9570,1,48,1
29,5076700,6720,9570,28.992973,1240,0,16,14,168,30653,1102,6113,5046047,16,242,120,1,26102,1,40,1,1900540,1,629652,1,187446,1,2289089,1,13056,1,461956,1,12104,4,743841,4,79129,4,321014,4,615554,8,887399,168,43056,24,4669,1,36573,1,2806,1,3497,1,1343,2,5501,1,592799,1,26333,1,5952,1,22798,1,240,1,9570,1,6720,1,23038,1,9570,1,48,1
30,5108400,6719,9570,28.99296,1240,0,16,14,168,30389,1122,5702,5078011,16,242,70,1,26012,1,80,1,1904558,1,619753,1,186023,1,2328428,1,13086,1,458700,1,13497,4,757879,4,79239,4,326054,4,633310,8,912990,168,40672,24,4890,1,40702,1,2816,1,3507,1,1383,2,5331,1,583049,1,26373,1,5812,1,22827,1,230,1,9570,1,6719,1,23057,1,9570,1,48,1
31,5082000,6717,9570,28.992933,1240,0,16,14,168,34560,1162,6003,5047440,16,242,70,1,26092,1,20,1,1909619,1,597318,1,189209,1,2311935,1,13176,1,479692,1,11794,4,748811,4,79369,4,322006,4,611927,8,884403,168,43527,24,4750,1,39459,1,2856,1,3677,1,1323,2,5110,1,554682,1,29760,1,6082,1,22811,1,239,1,9570,1,6717,1,23050,1,9570,1,48,1
32,5080900,6716,9570,28.992924,1240,0,16,14,168,32178,1122,5702,5048722,16,242,90,1,25982,1,40,1,1909108,1,611957,1,186724,1,2301715,1,13106,1,463389,1,12054,4,747829,4,79069,4,322837,4,618360,8,891747,168,43748,24,4780,1,39159,1,2806,1,3627,1,1313,2,5371,1,572989,1,25912,1,6192,1,22807,1,236,1,9570,1,6716,1,23043,1,9570,1,48,1
33,5225500,6704,9570,28.992918,1240,0,16,14,168,32258,1222,5892,5193242,16,242,50,1,26213,1,50,1,1909288,1,632618,1,186143,1,2425723,1,13156,1,459642,1,12695,4,747469,4,79780,4,358599,4,705735,8,1017480,168,40962,24,7695,1,40181,1,2876,1,3487,1,1363,2,4980,1,596486,1,25391,1,6052,1,22806,1,226,1,9570,1,6704,1,23032,1,9570,1,48,1
34,5097800,6697,9570,28.992907,1240,0,16,14,168,31092,1132,5913,5066708,16,242,50,1,26283,1,30,1,1912504,1,628470,1,188879,1,2297326,1,13166,1,467477,1,11994,4,746467,4,79690,4,321765,4,611536,8,883220,168,44168,24,4760,1,38938,1,2846,1,4038,1,1383,2,5301,1,590053,1,26423,1,6192,1,22764,1,250,1,9570,1,6697,1,23014,1,9570,1,48,1
35,5096600,6701,9570,28.992893,1240,0,16,14,168,32357,1032,6012,5064243,16,242,60,1,26263,1,30,1,1909829,1,629903,1,189290,1,2295753,1,13116,1,460092,1,12365,4,747268,4,79209,4,320853,4,618049,8,888551,168,44339,24,5531,1,38557,1,2846,1,3637,1,1333,2,4980,1,592107,1,25030,1,6112,1,22793,1,239,1,9570,1,6701,1,23032,1,9570,1,48,1
36,5113200,6705,9570,28.992886,1240,0,16,14,168,31592,1202,5872,5081608,16,242,40,1,26353,1,40,1,1907043,1,618881,1,189279,1,2326885,1,13086,1,462317,1,12014,4,745835,4,79469,4,335883,4,628410,8,917359,168,41062,24,7856,1,40842,1,3056,1,3737,1,1313,2,4950,1,583560,1,24710,1,6072,1,22795,1,233,1,9570,1,6705,1,23028,1,9570,1,48,1
37,5073200,6721,9570,28.992884,1240,0,16,14,168,31332,1102,6103,5041868,16,242,130,1,26283,1,20,1,1910180,1,620424,1,187436,1,2284260,1,13136,1,455543,1,11974,4,748340,4,79129,4,321935,4,610945,8,882239,168,44539,24,5641,1,36924,1,2776,1,3707,1,1323,2,4920,1,583149,1,26513,1,6042,1,22812,1,247,1,9570,1,6721,1,23059,1,9570,1,48,1
38,5087900,6725,9570,28.99288,1240,0,16,14,168,30080,1172,5993,5057820,16,242,100,1,26092,1,50,1,1909528,1,631326,1,186494,1,2291113,1,13116,1,459231,1,11994,4,749062,4,79459,4,323879,4,609732,8,883110,168,44509,24,4679,1,39068,1,2856,1,3627,1,1333,2,5020,1,593550,1,25611,1,5471,1,22834,1,250,1,9570,1,6725,1,23084,1,9570,1,48,1
39,5046500,6710,9570,28.992878,1240,0,16,14,168,33550,1072,5962,5012950,16,242,50,1,26062,1,50,1,1908456,1,579021,1,189861,1,2296284,1,13166,1,461325,1,12094,4,747869,4,79459,4,327126,4,612388,8,889313,168,44239,24,4830,1,37405,1,2806,1,3597,1,1353,2,4960,1,543490,1,25461,1,5411,1,22803,1,236,1,9570,1,6710,1,23039,1,9570,1,48,1
40,5047100,6708,9570,28.992876,1240,0,16,14,168,30943,1192,5992,5016157,16,242,40,1,26072,1,40,1,1911933,1,582829,1,187797,1,2294310,1,13136,1,451786,1,12144,4,747419,4,79720,4,325663,4,619372,8,894463,168,44579,24,5661,1,38617,1,2856,1,3557,1,1343,2,4980,1,547077,1,24389,1,5210,1,22778,1,247,1,9570,1,6708,1,23025,1,9570,1,48,1
41,5391100,6708,9570,28.992876,1240,0,16,14,168,32562,1303,11754,5358538,16,242,160,1,30090,1,70,1,1943166,1,622844,1,223909,1,2527678,1,10621,1,540684,1,13307,4,807790,4,79128,4,356595,4,672308,8,971087,168,46062,24,4950,1,37425,1,2826,1,4740,1,1703,2,4920,1,581982,1,28667,1,6663,1,22781,1,252,1,9570,1,6708,1,23033,1,9570,1,48,1
42,5347500,6700,9570,28.99287,1240,0,16,14,168,35651,1182,5782,5311849,16,242,160,1,29900,1,70,1,2000661,1,628740,1,229520,1,2409711,1,13086,1,551395,1,12515,4,773581,4,78778,4,321124,4,613520,8,885205,168,43658,24,5481,1,38257,1,2846,1,4599,1,1653,2,4780,1,588109,1,28647,1,6493,1,22776,1,246,1,9570,1,6700,1,23022,1,9570,1,48,1
43,5065900,6693,9570,28.99286,1240,0,16,14,168,32048,1192,5943,5033852,16,242,60,1,26493,1,30,1,1905410,1,587798,1,185372,1,2315532,1,13156,1,450944,1,12375,4,746256,4,79289,4,333378,4,637268,8,920194,168,44509,24,5200,1,36714,1,2816,1,3918,1,1303,2,4880,1,553029,1,24780,1,5331,1,22767,1,240,1,9570,1,6693,1,23007,1,9570,1,48,1
44,5064300,6701,9570,28.992851,1240,0,16,14,168,33925,1012,6343,5030375,16,242,130,1,26754,1,80,1,1910921,1,592688,1,187245,1,2299390,1,13166,1,469822,1,12114,4,746887,4,79059,4,324320,4,609241,8,883491,168,43728,24,4810,1,39359,1,2855,1,3687,1,1323,2,4900,1,556255,1,26072,1,5711,1,22796,1,246,1,9570,1,6701,1,23042,1,9570,1,48,1
45,5083200,6708,9570,28.99285,1240,0,16,14,168,33516,1072,5882,5049684,16,242,50,1,26052,1,30,1,1904298,1,610284,1,187817,1,2307887,1,13267,1,463359,1,12034,4,748380,4,79630,4,325783,4,620604,8,896567,168,43938,24,4760,1,38828,1,2826,1,3888,1,1372,2,5351,1,573109,1,24970,1,5451,1,22820,1,245,1,9570,1,6708,1,23065,1,9570,1,48,1
46,5141800,6706,9570,28.992847,1240,0,16,14,168,31925,1172,5792,5109875,16,242,110,1,26233,1,30,1,1911563,1,569261,1,189640,1,2399892,1,13146,1,472598,1,13076,4,749413,4,79800,4,348328,4,672699,8,970966,168,44269,24,5812,1,43136,1,3307,1,4018,1,1493,2,5040,1,528940,1,28126,1,5321,1,22835,1,238,1,9570,1,6706,1,23073,1,9570,1,48,1
47,5158200,6703,9570,28.99284,1240,0,16,14,168,36572,1202,5531,5121628,16,242,40,1,26193,1,70,1,1911372,1,626937,1,188237,1,2355663,1,13116,1,473780,1,12064,4,747990,4,79519,4,334571,4,648270,8,933371,168,43938,24,4709,1,40261,1,2856,1,4238,1,1333,2,4870,1,589752,1,25040,1,5401,1,22794,1,239,1,9570,1,6703,1,23033,1,9570,1,48,1
