step,wall_ns,manifolds,pairs,top_y,awake
0,18813900,4495,9570,35.998295,
1,17091100,4196,9570,35.993866,
2,16876600,4142,9570,35.986713,
3,16699500,4111,9570,35.976837,
4,16701600,4100,9570,35.964233,
5,16060500,4087,9570,35.948902,
6,15826400,4079,9570,35.93085,
7,16071200,4073,9570,35.910072,
8,16792000,4066,9570,35.88657,
9,16674900,4061,9570,35.86034,
10,16435200,4053,9570,35.831387,
11,16601400,4054,9570,35.79971,
12,16879300,4056,9570,35.765305,
13,16208800,4055,9570,35.728176,
14,16196800,4060,9570,35.688324,
15,16148800,4057,9570,35.64575,
16,15817100,4055,9570,35.600445,
17,15901100,4051,9570,35.552414,
18,16157000,4049,9570,35.501663,
19,16219700,4050,9570,35.448185,
20,19220800,4829,9570,35.391983,
21,18427900,4715,9570,35.333054,
22,18409400,4565,9570,35.2714,
23,18254100,4496,9570,35.207024,
24,17847900,4419,9570,35.13992,
25,17048700,4390,9570,35.07009,
26,16998600,4353,9570,34.997536,
27,17082300,4336,9570,34.92226,
28,19521400,4982,9570,34.844257,
29,18354100,4783,9570,34.763527,
30,18872500,4670,9570,34.680073,
31,18518700,4639,9570,34.593895,
32,17633200,4573,9570,34.504993,
33,17948900,4491,9570,34.413364,
34,20405300,5031,9570,34.31901,
35,19086800,4806,9570,34.221935,
36,18409300,4646,9570,34.12213,
37,18127500,4535,9570,34.019604,
38,17220100,4502,9570,33.91435,
39,20168800,4984,9570,33.806374,
40,19635300,5009,9570,33.69567,
41,18418100,4852,9570,33.58224,
42,18774200,4753,9570,33.466087,
43,18717300,4728,9570,33.34721,
44,19098800,4996,9570,33.22561,
45,19250500,5112,9570,33.10128,
46,18925000,4923,9570,32.974224,
47,17833400,4760,9570,32.844448,
48,19550100,5001,9570,32.711945,
49,19673200,5139,9570,32.576717,
50,19495300,4996,9570,32.438763,
51,19191100,4871,9570,32.298084,
52,20385200,5093,9570,32.154682,
53,19588200,4972,9570,32.008553,
54,19139800,4792,9570,31.8597,
55,18976800,4796,9570,31.70812,
56,20036800,4911,9570,31.553818,
57,18815300,4780,9570,31.39679,
58,18237900,4734,9570,31.237036,
59,19162100,4748,9570,31.074558,
60,19384400,4704,9570,30.909355,
61,19060900,4678,9570,30.741426,
62,19475400,4666,9570,30.570772,
63,18941000,4609,9570,30.397394,
64,19131500,4623,9570,30.22129,
65,19457600,4625,9570,30.042463,
66,19185600,4579,9570,29.860909,
67,19359400,4610,9570,29.67663,
68,19243300,4550,9570,29.489626,
69,19138400,4524,9570,29.299898,
70,19482200,4535,9570,29.107445,
71,19572900,4528,9570,28.912266,
72,18549500,4533,9570,28.714361,
73,19269600,4529,9570,28.745474,
74,19391900,4530,9570,28.77165,
75,19155600,4529,9570,28.79591,
76,19238100,4524,9570,28.816788,
77,18942000,4517,9570,28.83433,
78,19137600,4520,9570,28.848581,
79,19378300,4514,9568,28.862343,
80,19440500,4519,9568,28.873486,
81,19198300,4518,9568,28.88324,
82,18809400,4518,9568,28.892859,
83,19257400,4516,9568,28.90075,
84,19109500,4517,9567,28.907646,
85,18492800,4508,9565,28.914537,
86,18619400,4519,9565,28.920815,
87,19575400,4516,9565,28.92588,
88,19199800,4518,9565,28.930962,
89,19341800,4519,9565,28.935617,
90,19129100,4514,9565,28.939785,
91,19225800,4516,9565,28.943506,
92,19074100,4512,9565,28.946703,
93,18770600,4508,9565,28.949604,
94,19269000,4522,9565,28.952375,
95,18890700,4519,9565,28.954878,
96,19194900,4521,9565,28.957104,
97,19404100,4517,9565,28.9592,
98,18849400,4515,9565,28.960983,
99,19451000,4520,9565,28.96278,
100,19640000,4521,9564,28.964386,
101,18952200,4521,9564,28.965906,
102,20125900,4521,9563,28.967402,
103,19391200,4520,9563,28.968788,
104,19249100,4522,9563,28.969984,
105,19251800,4518,9563,28.971111,
106,20448600,4521,9563,28.97221,
107,19627600,4523,9563,28.97325,
108,19409500,4515,9562,28.974203,
109,18649300,4517,9562,28.975157,
110,19244600,4516,9562,28.976004,
111,18939300,4515,9562,28.976778,
112,18708800,4519,9562,28.977486,
113,18989400,4520,9562,28.978231,
114,19462800,4520,9562,28.97893,
115,19270400,4519,9561,28.979557,
116,19404500,4526,9561,28.980162,
117,19810900,4519,9561,28.980728,
118,18718000,4521,9561,28.981266,
119,18687100,4517,9561,28.981787,
120,18866000,4523,9561,28.982262,
121,18647800,4523,9561,28.98269,
122,18694600,4521,9561,28.983118,
123,19302700,4522,9561,28.98351,
124,19434300,4518,9561,28.98387,
125,19199000,4521,9561,28.984217,
126,19066000,4521,9561,28.984558,
127,19406100,4517,9561,28.98485,
128,18807600,4522,9561,28.98514,
129,18922300,4521,9561,28.98541,
130,19037600,4519,9560,28.98568,
131,18733400,4526,9559,28.98593,
132,19319800,4524,9559,28.986149,
133,19178900,4516,9559,28.98636,
134,19782400,4520,9559,28.98657,
135,18914100,4522,9559,28.986776,
136,18682400,4519,9559,28.986969,
137,18778300,4521,9559,28.987137,
138,18718100,4521,9559,28.9873,
139,19162300,4521,9559,28.987465,
140,19246100,4518,9559,28.987623,
141,18779500,4523,9559,28.987766,
142,19086600,4524,9559,28.987892,
143,19417600,4523,9559,28.98802,
144,19248500,4520,9559,28.988153,
145,19529700,4519,9559,28.98826,
146,19005400,4520,9559,28.988363,
147,19006300,4522,9559,28.988459,
148,18680100,4517,9559,28.988543,
149,19250900,4519,9559,28.988642,
150,18977900,4522,9559,28.98874,
151,18811100,4520,9559,28.98882,
152,20360700,4523,9559,28.988888,
153,19297500,4523,9559,28.988964,
154,19070700,4524,9559,28.989048,
155,18720100,4521,9559,28.989117,
156,18522500,4520,9559,28.989172,
157,18580500,4519,9559,28.989218,
158,19457300,4519,9559,28.98927,
159,19076100,4518,9559,28.98933,
160,19166200,4519,9559,28.989386,
161,18790900,4521,9559,28.989433,
162,18812100,4518,9559,28.989477,
163,20538200,4520,9559,28.989515,
164,19632600,4520,9559,28.989552,
165,20202800,4519,9559,28.989582,
166,19629900,4516,9559,28.989613,
167,18666600,4518,9559,28.989645,
168,19106600,4518,9559,28.989676,
169,19305700,4514,9559,28.9897,
170,19066100,4515,9559,28.989725,
171,19095600,4512,9559,28.989754,
172,18940600,4513,9559,28.98977,
173,18758400,4515,9559,28.989801,
174,19177200,4515,9559,28.989834,
175,18549300,4515,9559,28.989851,
176,18392600,4514,9559,28.989864,
177,18552300,4516,9559,28.989883,
178,18425300,4515,9559,28.989906,
179,18728600,4515,9559,28.989923,
180,18381300,4515,9559,28.98993,
181,18400200,4517,9559,28.98993,
182,19242600,4517,9559,28.98994,
183,19046800,4516,9559,28.989958,
