step,wall_ns,manifolds,pairs,top_y,awake
0,8605800,4495,9570,35.998295,
1,7611300,4196,9570,35.993866,
2,7289100,4142,9570,35.986713,
3,7217900,4111,9570,35.976837,
4,7249600,4100,9570,35.964233,
5,7240000,4087,9570,35.948902,
6,7223900,4079,9570,35.93085,
7,7282600,4073,9570,35.910072,
8,7392600,4066,9570,35.88657,
9,7244400,4061,9570,35.86034,
10,7347400,4053,9570,35.831387,
11,7260100,4054,9570,35.79971,
12,7344300,4056,9570,35.765305,
13,7270400,4055,9570,35.728176,
14,7250800,4060,9570,35.688324,
15,7230200,4057,9570,35.64575,
16,7172000,4055,9570,35.600445,
17,7203600,4051,9570,35.552414,
18,7189800,4049,9570,35.501663,
19,7367000,4050,9570,35.448185,
20,7981800,4829,9570,35.391983,
21,8106700,4715,9570,35.333054,
22,7930400,4565,9570,35.2714,
23,7886200,4496,9570,35.207024,
24,7743700,4419,9570,35.13992,
25,7748900,4390,9570,35.07009,
26,7675400,4353,9570,34.997536,
27,7667400,4336,9570,34.92226,
28,8290700,4982,9570,34.844257,
29,8598300,4783,9570,34.763527,
30,8370100,4670,9570,34.680073,
31,8210300,4639,9570,34.593895,
32,8069600,4573,9570,34.504993,
33,7936200,4491,9570,34.413364,
34,8526600,5031,9570,34.31901,
35,8473000,4806,9570,34.221935,
36,8665800,4646,9570,34.12213,
37,8321600,4535,9570,34.019604,
38,8207000,4502,9570,33.91435,
39,8752100,4984,9570,33.806374,
40,8906600,5009,9570,33.69567,
41,8614800,4852,9570,33.58224,
42,8485600,4753,9570,33.466087,
43,8491600,4728,9570,33.34721,
44,8774600,4996,9570,33.22561,
45,8871900,5112,9570,33.10128,
46,8671400,4923,9570,32.974224,
47,8793200,4760,9570,32.844448,
48,8854000,5001,9570,32.711945,
49,9082000,5139,9570,32.576717,
50,8903000,4996,9570,32.438763,
51,8720800,4871,9570,32.298084,
52,8978100,5093,9570,32.154682,
53,8804600,4972,9570,32.008553,
54,8688200,4792,9570,31.8597,
55,8656700,4796,9570,31.70812,
56,8781900,4911,9570,31.553818,
57,8888500,4780,9570,31.39679,
58,8789200,4734,9570,31.237036,
59,8587900,4748,9570,31.074558,
60,8573300,4704,9570,30.909355,
61,8878600,4678,9570,30.741426,
62,8849000,4666,9570,30.570772,
63,8573700,4609,9570,30.397394,
64,8419300,4623,9570,30.22129,
65,8660100,4625,9570,30.042463,
66,8427300,4579,9570,29.860909,
67,8418000,4610,9570,29.67663,
68,8329100,4550,9570,29.489626,
69,8309300,4524,9570,29.299898,
70,8297700,4535,9570,29.107445,
