step,wall_ns,manifolds,pairs,top_y,awake
0,5756200,4495,9570,35.998295,
1,4121800,4196,9570,35.993866,
2,4023200,4142,9570,35.986713,
3,3964100,4111,9570,35.976837,
4,4017500,4100,9570,35.964233,
5,4003700,4087,9570,35.948902,
6,3969700,4079,9570,35.93085,
7,3967200,4073,9570,35.910072,
8,3924400,4066,9570,35.88657,
9,3923500,4061,9570,35.86034,
10,3929500,4053,9570,35.831387,
11,3927500,4054,9570,35.79971,
12,3996500,4056,9570,35.765305,
13,3948800,4055,9570,35.728176,
14,3958600,4060,9570,35.688324,
15,3932900,4057,9570,35.64575,
16,3978400,4055,9570,35.600445,
17,3935500,4051,9570,35.552414,
18,3903900,4049,9570,35.501663,
19,3981800,4050,9570,35.448185,
20,4398200,4829,9570,35.391983,
21,4290200,4715,9570,35.333054,
22,4241400,4565,9570,35.2714,
23,4265000,4496,9570,35.207024,
24,4172300,4419,9570,35.13992,
25,4155100,4390,9570,35.07009,
26,4145900,4353,9570,34.997536,
27,4133900,4336,9570,34.92226,
28,4462200,4982,9570,34.844257,
29,4334000,4783,9570,34.763527,
30,4297400,4670,9570,34.680073,
31,4421700,4639,9570,34.593895,
32,4266500,4573,9570,34.504993,
33,4245200,4491,9570,34.413364,
34,4587200,5031,9570,34.31901,
35,4381500,4806,9570,34.221935,
36,4304200,4646,9570,34.12213,
37,4347000,4535,9570,34.019604,
38,4244000,4502,9570,33.91435,
39,4470200,4984,9570,33.806374,
40,4594200,5009,9570,33.69567,
41,4415000,4852,9570,33.58224,
42,4456500,4753,9570,33.466087,
43,4366800,4728,9570,33.34721,
44,4494500,4996,9570,33.22561,
45,4566900,5112,9570,33.10128,
46,4513000,4923,9570,32.974224,
47,4511200,4760,9570,32.844448,
48,4562600,5001,9570,32.711945,
49,4652800,5139,9570,32.576717,
50,4525600,4996,9570,32.438763,
51,4431400,4871,9570,32.298084,
52,4549700,5093,9570,32.154682,
53,4506200,4972,9570,32.008553,
54,4441900,4792,9570,31.8597,
55,4433800,4796,9570,31.70812,
56,4458200,4911,9570,31.553818,
57,4425500,4780,9570,31.39679,
