step,wall_ns,manifolds,pairs,top_y,awake
0,8134800,4495,9570,35.998295,
1,7271600,4196,9570,35.993866,
2,7039300,4142,9570,35.986713,
3,7122900,4111,9570,35.976837,
4,6820600,4100,9570,35.964233,
5,6534200,4087,9570,35.948902,
6,6401600,4079,9570,35.93085,
7,6539000,4073,9570,35.910072,
8,6479500,4066,9570,35.88657,
9,6274000,4061,9570,35.86034,
10,6234300,4053,9570,35.831387,
11,6188900,4054,9570,35.79971,
12,6182800,4056,9570,35.765305,
13,6376900,4055,9570,35.728176,
14,6652600,4060,9570,35.688324,
15,6728600,4057,9570,35.64575,
16,6472500,4055,9570,35.600445,
17,6539000,4051,9570,35.552414,
18,6604300,4049,9570,35.501663,
19,6511300,4050,9570,35.448185,
20,7637800,4829,9570,35.391983,
21,7640900,4715,9570,35.333054,
22,7420100,4565,9570,35.2714,
23,7226000,4496,9570,35.207024,
24,6972900,4419,9570,35.13992,
25,7404400,4390,9570,35.07009,
26,7041800,4353,9570,34.997536,
27,7203100,4336,9570,34.92226,
28,8338300,4982,9570,34.844257,
29,8465600,4783,9570,34.763527,
30,8090600,4670,9570,34.680073,
31,7902400,4639,9570,34.593895,
32,7540400,4573,9570,34.504993,
33,7582900,4491,9570,34.413364,
34,8468500,5031,9570,34.31901,
35,7932900,4806,9570,34.221935,
36,7465700,4646,9570,34.12213,
37,7119000,4535,9570,34.019604,
38,7167100,4502,9570,33.91435,
39,7455100,4984,9570,33.806374,
40,7687200,5009,9570,33.69567,
41,7434600,4852,9570,33.58224,
42,7204000,4753,9570,33.466087,
43,7129400,4728,9570,33.34721,
44,7469600,4996,9570,33.22561,
45,7606400,5112,9570,33.10128,
46,7492100,4923,9570,32.974224,
47,7274400,4760,9570,32.844448,
48,7535600,5001,9570,32.711945,
49,7883600,5139,9570,32.576717,
50,7643900,4996,9570,32.438763,
51,7435200,4871,9570,32.298084,
52,7775900,5093,9570,32.154682,
53,7868900,4972,9570,32.008553,
54,7481300,4792,9570,31.8597,
55,7366500,4796,9570,31.70812,
56,7530600,4911,9570,31.553818,
57,7455500,4780,9570,31.39679,
58,7340900,4734,9570,31.237036,
59,7546000,4748,9570,31.074558,
60,7288000,4704,9570,30.909355,
61,7239600,4678,9570,30.741426,
62,7226400,4666,9570,30.570772,
63,7234800,4609,9570,30.397394,
64,7179900,4623,9570,30.22129,
65,7567400,4625,9570,30.042463,
66,7357400,4579,9570,29.860909,
67,7274000,4610,9570,29.67663,
68,7139800,4550,9570,29.489626,
69,7109600,4524,9570,29.299898,
70,7361900,4535,9570,29.107445,
71,7154800,4528,9570,28.912266,
72,7265700,4533,9570,28.714361,
73,7067800,4529,9570,28.745474,
74,7102400,4530,9570,28.77165,
75,7052500,4529,9570,28.79591,
76,7038100,4524,9570,28.816788,
77,7241600,4517,9570,28.83433,
78,7340000,4520,9570,28.848581,
79,7038000,4514,9568,28.862343,
80,7094800,4519,9568,28.873486,
81,7026000,4518,9568,28.88324,
82,7032500,4518,9568,28.892859,
83,7014500,4516,9568,28.90075,
84,7045600,4517,9567,28.907646,
85,7052600,4508,9565,28.914537,
86,7031700,4519,9565,28.920815,
87,7030100,4516,9565,28.92588,
88,7016100,4518,9565,28.930962,
89,7654200,4519,9565,28.935617,
90,8382300,4514,9565,28.939785,
91,7943300,4516,9565,28.943506,
92,7666800,4512,9565,28.946703,
93,7405800,4508,9565,28.949604,
94,7331900,4522,9565,28.952375,
95,7260000,4519,9565,28.954878,
96,7210600,4521,9565,28.957104,
97,7289300,4517,9565,28.9592,
