step,wall_ns,manifolds,pairs,top_y,awake
0,7553600,4495,9570,35.998295,
1,6277200,4196,9570,35.993866,
2,6253400,4142,9570,35.986713,
3,6061500,4111,9570,35.976837,
4,6042700,4100,9570,35.964233,
5,5982900,4087,9570,35.948902,
6,6004200,4079,9570,35.93085,
7,6036300,4073,9570,35.910072,
8,6094000,4066,9570,35.88657,
9,6046600,4061,9570,35.86034,
10,6009400,4053,9570,35.831387,
11,5937800,4054,9570,35.79971,
12,5978400,4056,9570,35.765305,
13,6272300,4055,9570,35.728176,
14,6013900,4060,9570,35.688324,
15,6077500,4057,9570,35.64575,
16,6008900,4055,9570,35.600445,
17,6001200,4051,9570,35.552414,
18,5990100,4049,9570,35.501663,
19,5983000,4050,9570,35.448185,
20,6829000,4829,9570,35.391983,
21,6929300,4715,9570,35.333054,
22,6762300,4565,9570,35.2714,
23,6751200,4496,9570,35.207024,
24,6545000,4419,9570,35.13992,
25,6541900,4390,9570,35.07009,
26,6479900,4353,9570,34.997536,
27,6483600,4336,9570,34.92226,
28,7408700,4982,9570,34.844257,
29,7020500,4783,9570,34.763527,
30,6961600,4670,9570,34.680073,
31,6895000,4639,9570,34.593895,
32,6885000,4573,9570,34.504993,
33,6733800,4491,9570,34.413364,
34,7230300,5031,9570,34.31901,
35,7343900,4806,9570,34.221935,
36,7123600,4646,9570,34.12213,
37,6923700,4535,9570,34.019604,
38,6880800,4502,9570,33.91435,
39,7387200,4984,9570,33.806374,
40,7855100,5009,9570,33.69567,
41,7365000,4852,9570,33.58224,
42,7216700,4753,9570,33.466087,
43,7162200,4728,9570,33.34721,
44,7517200,4996,9570,33.22561,
45,7676100,5112,9570,33.10128,
46,7484400,4923,9570,32.974224,
47,7479100,4760,9570,32.844448,
48,7436300,5001,9570,32.711945,
49,7773700,5139,9570,32.576717,
50,7559700,4996,9570,32.438763,
51,7592400,4871,9570,32.298084,
52,7722900,5093,9570,32.154682,
53,7678400,4972,9570,32.008553,
54,7389400,4792,9570,31.8597,
55,7369900,4796,9570,31.70812,
56,7511000,4911,9570,31.553818,
57,7366000,4780,9570,31.39679,
58,7331200,4734,9570,31.237036,
59,7347000,4748,9570,31.074558,
60,7284600,4704,9570,30.909355,
61,7225200,4678,9570,30.741426,
62,7253600,4666,9570,30.570772,
63,7188900,4609,9570,30.397394,
64,7190600,4623,9570,30.22129,
65,7218100,4625,9570,30.042463,
66,7320200,4579,9570,29.860909,
67,7255200,4610,9570,29.67663,
68,7168900,4550,9570,29.489626,
69,7095700,4524,9570,29.299898,
70,7218600,4535,9570,29.107445,
71,7138100,4528,9570,28.912266,
72,7142000,4533,9570,28.714361,
73,7170700,4529,9570,28.745474,
74,7583600,4530,9570,28.77165,
75,7661700,4529,9570,28.79591,
76,7098200,4524,9570,28.816788,
77,7110800,4517,9570,28.83433,
78,7148300,4520,9570,28.848581,
79,7174800,4514,9568,28.862343,
80,7113100,4519,9568,28.873486,
81,7323800,4518,9568,28.88324,
82,7333800,4518,9568,28.892859,
83,7229300,4516,9568,28.90075,
84,7093100,4517,9567,28.907646,
85,7233800,4508,9565,28.914537,
86,7298800,4519,9565,28.920815,
87,7066600,4516,9565,28.92588,
88,7070700,4518,9565,28.930962,
89,7051400,4519,9565,28.935617,
90,7068800,4514,9565,28.939785,
91,7081100,4516,9565,28.943506,
92,7117900,4512,9565,28.946703,
93,7067900,4508,9565,28.949604,
94,7108800,4522,9565,28.952375,
95,7068600,4519,9565,28.954878,
96,7266800,4521,9565,28.957104,
97,7184300,4517,9565,28.9592,
98,7189000,4515,9565,28.960983,
99,7077300,4520,9565,28.96278,
100,7130900,4521,9564,28.964386,
101,7100000,4521,9564,28.965906,
102,7172200,4521,9563,28.967402,
103,7069300,4520,9563,28.968788,
104,7087800,4522,9563,28.969984,
105,7113100,4518,9563,28.971111,
106,7072100,4521,9563,28.97221,
107,7101900,4523,9563,28.97325,
108,7074000,4515,9562,28.974203,
109,7386200,4517,9562,28.975157,
110,7205500,4516,9562,28.976004,
111,7131300,4515,9562,28.976778,
112,7066900,4519,9562,28.977486,
113,7128100,4520,9562,28.978231,
114,7080400,4520,9562,28.97893,
