step,wall_ns,manifolds,pairs,top_y,awake
0,7493500,4495,9570,35.998295,
1,6308400,4196,9570,35.993866,
2,5997000,4142,9570,35.986713,
3,5829400,4111,9570,35.976837,
4,5800400,4100,9570,35.964233,
5,5755100,4087,9570,35.948902,
6,5733500,4079,9570,35.93085,
7,5807400,4073,9570,35.910072,
8,5790100,4066,9570,35.88657,
9,5790800,4061,9570,35.86034,
10,5807700,4053,9570,35.831387,
11,5751300,4054,9570,35.79971,
12,5727100,4056,9570,35.765305,
13,5730300,4055,9570,35.728176,
14,5713300,4060,9570,35.688324,
15,5715000,4057,9570,35.64575,
16,5707300,4055,9570,35.600445,
17,5976500,4051,9570,35.552414,
18,6061300,4049,9570,35.501663,
19,5778400,4050,9570,35.448185,
20,6563200,4829,9570,35.391983,
21,6705400,4715,9570,35.333054,
22,6499200,4565,9570,35.2714,
23,6382500,4496,9570,35.207024,
24,6269800,4419,9570,35.13992,
25,6416400,4390,9570,35.07009,
26,6309600,4353,9570,34.997536,
27,6485700,4336,9570,34.92226,
28,7080200,4982,9570,34.844257,
29,6977300,4783,9570,34.763527,
30,6687500,4670,9570,34.680073,
31,6647500,4639,9570,34.593895,
32,6899400,4573,9570,34.504993,
33,6539200,4491,9570,34.413364,
34,7111600,5031,9570,34.31901,
35,6992400,4806,9570,34.221935,
36,6820200,4646,9570,34.12213,
37,6687600,4535,9570,34.019604,
38,6636800,4502,9570,33.91435,
39,7475100,4984,9570,33.806374,
40,7313900,5009,9570,33.69567,
41,7176600,4852,9570,33.58224,
42,7025100,4753,9570,33.466087,
43,6907900,4728,9570,33.34721,
44,7361200,4996,9570,33.22561,
45,7420100,5112,9570,33.10128,
46,7244900,4923,9570,32.974224,
47,7208000,4760,9570,32.844448,
48,7431200,5001,9570,32.711945,
49,7527000,5139,9570,32.576717,
50,7612600,4996,9570,32.438763,
51,7366400,4871,9570,32.298084,
52,7818400,5093,9570,32.154682,
53,7371400,4972,9570,32.008553,
54,7179300,4792,9570,31.8597,
55,7132400,4796,9570,31.70812,
56,7404400,4911,9570,31.553818,
57,7160200,4780,9570,31.39679,
58,7241100,4734,9570,31.237036,
59,7191800,4748,9570,31.074558,
60,7086800,4704,9570,30.909355,
61,7032000,4678,9570,30.741426,
62,7217900,4666,9570,30.570772,
63,7171200,4609,9570,30.397394,
64,7033200,4623,9570,30.22129,
65,6998700,4625,9570,30.042463,
66,7049000,4579,9570,29.860909,
67,7054600,4610,9570,29.67663,
68,6890600,4550,9570,29.489626,
69,6845600,4524,9570,29.299898,
70,6854200,4535,9570,29.107445,
71,6883400,4528,9570,28.912266,
72,6859300,4533,9570,28.714361,
73,6993000,4529,9570,28.745474,
74,6876600,4530,9570,28.77165,
75,6862200,4529,9570,28.79591,
76,7642000,4524,9570,28.816788,
77,7089200,4517,9570,28.83433,
78,7068500,4520,9570,28.848581,
79,7061200,4514,9568,28.862343,
80,7072200,4519,9568,28.873486,
81,6967000,4518,9568,28.88324,
82,6963200,4518,9568,28.892859,
83,6952900,4516,9568,28.90075,
84,7051100,4517,9567,28.907646,
85,6796100,4508,9565,28.914537,
86,7090100,4519,9565,28.920815,
87,7067800,4516,9565,28.92588,
88,6875200,4518,9565,28.930962,
89,6883200,4519,9565,28.935617,
90,6839200,4514,9565,28.939785,
91,6854900,4516,9565,28.943506,
92,6818800,4512,9565,28.946703,
93,6979700,4508,9565,28.949604,
94,6910000,4522,9565,28.952375,
95,6880600,4519,9565,28.954878,
96,6819100,4521,9565,28.957104,
97,6830000,4517,9565,28.9592,
98,6819200,4515,9565,28.960983,
99,6813200,4520,9565,28.96278,
100,6867800,4521,9564,28.964386,
101,6810200,4521,9564,28.965906,
102,6851000,4521,9563,28.967402,
103,6789300,4520,9563,28.968788,
104,6814400,4522,9563,28.969984,
105,6824800,4518,9563,28.971111,
106,6865700,4521,9563,28.97221,
107,7023200,4523,9563,28.97325,
