step,wall_ns,manifolds,pairs,top_y,awake
0,3999200,4495,9570,35.998295,
1,2490900,4196,9570,35.993866,
2,2309100,4142,9570,35.986713,
3,2195800,4111,9570,35.976837,
4,2162400,4100,9570,35.964233,
5,2440500,4087,9570,35.948902,
6,2334900,4079,9570,35.93085,
7,2339300,4073,9570,35.910072,
8,2551500,4066,9570,35.88657,
9,2391400,4061,9570,35.86034,
10,2164400,4053,9570,35.831387,
11,2220400,4054,9570,35.79971,
12,2173800,4056,9570,35.765305,
13,2160200,4055,9570,35.728176,
14,2259200,4060,9570,35.688324,
15,2153700,4057,9570,35.64575,
16,2163100,4055,9570,35.600445,
17,2154200,4051,9570,35.552414,
18,2162700,4049,9570,35.501663,
19,2174900,4050,9570,35.448185,
20,2561000,4829,9570,35.391983,
21,2615800,4715,9570,35.333054,
22,2478600,4565,9570,35.2714,
23,2478100,4496,9570,35.207024,
24,2370000,4419,9570,35.13992,
25,2378200,4390,9570,35.07009,
26,2365600,4353,9570,34.997536,
27,2391800,4336,9570,34.92226,
28,2635700,4982,9570,34.844257,
29,2525300,4783,9570,34.763527,
30,2508500,4670,9570,34.680073,
31,2507800,4639,9570,34.593895,
32,2467800,4573,9570,34.504993,
33,2409100,4491,9570,34.413364,
34,2638600,5031,9570,34.31901,
35,2589000,4806,9570,34.221935,
36,2536400,4646,9570,34.12213,
37,2568100,4535,9570,34.019604,
38,2472800,4502,9570,33.91435,
39,2648200,4984,9570,33.806374,
40,2783500,5009,9570,33.69567,
41,2661700,4852,9570,33.58224,
42,2591900,4753,9570,33.466087,
43,2575700,4728,9570,33.34721,
44,2666300,4996,9570,33.22561,
45,2823000,5112,9570,33.10128,
46,2730600,4923,9570,32.974224,
47,2609700,4760,9570,32.844448,
48,2750300,5001,9570,32.711945,
49,2769100,5139,9570,32.576717,
50,2745000,4996,9570,32.438763,
51,2681800,4871,9570,32.298084,
52,2759300,5093,9570,32.154682,
53,2734100,4972,9570,32.008553,
54,2632600,4792,9570,31.8597,
55,2773800,4796,9570,31.70812,
56,2733800,4911,9570,31.553818,
57,2653200,4780,9570,31.39679,
58,2629000,4734,9570,31.237036,
59,2589500,4748,9570,31.074558,
60,2556700,4704,9570,30.909355,
61,2577800,4678,9570,30.741426,
62,2626300,4666,9570,30.570772,
