step,wall_ns,manifolds,pairs,top_y,awake
0,8059800,8555,9570,28.99835,
1,5144300,5761,9570,28.995926,
2,5437600,6723,9570,28.994566,
3,5309700,6695,9570,28.994541,
4,5264100,6672,9570,28.994545,
5,5329800,6758,9570,28.994184,
6,5208200,6793,9570,28.993921,
7,5310700,6783,9570,28.993895,
8,5526500,6772,9570,28.993822,
9,5268300,6790,9570,28.993675,
10,5296500,6786,9570,28.993578,
11,5274100,6806,9570,28.99352,
12,5567600,6806,9570,28.993486,
13,5198400,6780,9570,28.993422,
14,5385400,6784,9570,28.99337,
15,5348600,6765,9570,28.993326,
16,5403800,6760,9570,28.993288,
17,6195200,6761,9570,28.993235,
18,5847800,6734,9570,28.99321,
19,5488400,6754,9570,28.99318,
20,5319800,6753,9570,28.99314,
21,5291300,6741,9570,28.993107,
22,5257900,6739,9570,28.993093,
23,5193800,6730,9570,28.993065,
24,5127100,6730,9570,28.993042,
25,5332700,6722,9570,28.99303,
26,5288300,6733,9570,28.993017,
27,5205700,6733,9570,28.992998,
28,5201200,6715,9570,28.992983,
29,5396900,6720,9570,28.992973,
30,5267800,6719,9570,28.99296,
31,5293800,6717,9570,28.992933,
32,5295600,6716,9570,28.992924,
33,5142400,6704,9570,28.992918,
34,5389000,6697,9570,28.992907,
35,5164200,6701,9570,28.992893,
36,5114400,6705,9570,28.992886,
37,5261300,6721,9570,28.992884,
38,5358500,6725,9570,28.99288,
39,5195700,6710,9570,28.992878,
40,5149900,6708,9570,28.992876,
41,5255300,6708,9570,28.992876,
42,5216200,6700,9570,28.99287,
43,5383300,6693,9570,28.99286,
44,5296900,6701,9570,28.992851,
45,5247000,6708,9570,28.99285,
46,5246500,6706,9570,28.992847,
47,5143500,6703,9570,28.99284,
48,5187200,6704,9570,28.99284,
49,5440200,6704,9570,28.992838,
50,5202000,6707,9570,28.99283,
51,5141800,6705,9570,28.992828,
52,5228600,6714,9570,28.992826,
53,5166900,6704,9570,28.992823,
54,5186700,6700,9570,28.992823,
55,5187800,6707,9570,28.992817,
56,5174700,6699,9570,28.992815,
57,5142000,6699,9570,28.99282,
58,5273800,6707,9570,28.99282,
59,5261500,6702,9570,28.992815,
60,5693100,6706,9570,28.99281,
61,5421100,6701,9570,28.992811,
62,5216900,6695,9570,28.992815,
63,5183100,6694,9570,28.992807,
64,5156500,6691,9570,28.992807,
65,5141800,6698,9570,28.992807,
66,5117400,6700,9570,28.992807,
67,5313800,6693,9570,28.992805,
68,5200600,6701,9570,28.992804,
69,5196100,6699,9570,28.992804,
70,5186200,6702,9570,28.992807,
71,5120100,6703,9570,28.992807,
72,5218200,6700,9570,28.992807,
73,5232800,6694,9570,28.992807,
74,5131300,6690,9570,28.992807,
75,5150400,6685,9570,28.992804,
76,5317000,6687,9570,28.992804,
77,5295000,6684,9570,28.99281,
78,5127300,6684,9570,28.99281,
79,5239700,6685,9570,28.99281,
80,5196500,6680,9570,28.99281,
81,5149800,6679,9570,28.99281,
82,5108900,6674,9570,28.99281,
83,5344200,6676,9570,28.992811,
84,5165100,6676,9570,28.992811,
85,5227200,6667,9570,28.992811,
86,5203700,6676,9570,28.992817,
87,5097100,6672,9570,28.992817,
88,5229400,6678,9570,28.992817,
89,5204300,6678,9570,28.992817,
90,5097100,6680,9570,28.992817,
91,5166500,6683,9570,28.992815,
92,5133800,6678,9570,28.992807,
93,5095100,6674,9570,28.992805,
94,5114300,6680,9570,28.9928,
95,5154100,6674,9570,28.992796,
96,5230900,6668,9570,28.992794,
97,5166600,6672,9570,28.992796,
98,5156900,6675,9570,28.992798,
99,5180600,6676,9570,28.992798,
100,5152200,6677,9570,28.992798,
101,5283700,6675,9570,28.992796,
102,5161600,6673,9570,28.992798,
103,5182100,6669,9570,28.992802,
104,5913400,6665,9570,28.992802,
105,5356300,6665,9570,28.992802,
106,5207700,6661,9570,28.992785,
107,5232800,6657,9570,28.992767,
108,5375500,6664,9570,28.992775,
109,5297000,6665,9570,28.992783,
110,5233300,6667,9570,28.992783,
111,5232700,6669,9570,28.992788,
112,5164300,6665,9570,28.992788,
113,5154500,6672,9570,28.992786,
114,5168200,6676,9570,28.992786,
115,5176500,6674,9570,28.99279,
116,5183100,6671,9570,28.99279,
117,5228700,6675,9570,28.992794,
118,5258300,6671,9570,28.992794,
119,5166300,6674,9570,28.992794,
120,5175800,6674,9570,28.992794,
121,5215800,6677,9570,28.992794,
122,5217800,6679,9570,28.992794,
123,5243900,6679,9570,28.992794,
124,5501900,6685,9570,28.992796,
125,5297100,6684,9570,28.992796,
126,5166500,6676,9570,28.992796,
127,5297500,6678,9570,28.992796,
128,5183800,6675,9570,28.992798,
129,5228800,6679,9570,28.992798,
130,5248200,6676,9570,28.992798,
131,5336900,6680,9570,28.992798,
132,5305800,6677,9570,28.992796,
133,5447700,6674,9570,28.992796,
134,5161200,6675,9570,28.992796,
135,5215900,6676,9570,28.992796,
136,5140300,6676,9570,28.992796,
137,5279900,6673,9570,28.992796,
138,5187300,6675,9570,28.992796,
139,5205500,6677,9570,28.992796,
140,5167100,6677,9570,28.992796,
141,5488000,6679,9570,28.992796,
142,5517900,6680,9570,28.992796,
143,5330600,6681,9570,28.992796,
144,5351400,6687,9570,28.992796,
145,5188000,6682,9570,28.992796,
146,5131300,6680,9570,28.992796,
147,5182000,6681,9570,28.992796,
148,5136700,6680,9570,28.992796,
149,5220400,6676,9570,28.992796,
150,5167200,6675,9570,28.992796,
151,5160600,6673,9570,28.992796,
152,5118000,6677,9570,28.992796,
153,5233700,6678,9570,28.992796,
154,5151300,6676,9570,28.992796,
155,5215700,6675,9570,28.992796,
156,5138100,6673,9570,28.992796,
157,5174800,6676,9570,28.992796,
158,5267300,6672,9570,28.992796,
159,5515800,6672,9570,28.992796,
160,5318900,6672,9570,28.992796,
161,5228900,6672,9570,28.992796,
162,6035100,6674,9570,28.992796,
163,6213000,6674,9570,28.992796,
164,5811100,6674,9570,28.992796,
165,5670400,6677,9570,28.992796,
166,5263200,6674,9570,28.992796,
167,5298800,6672,9570,28.992796,
168,5284500,6674,9570,28.992796,
169,5214000,6675,9570,28.992796,
170,5171900,6674,9570,28.992796,
171,5166500,6674,9570,28.992796,
172,5161900,6672,9570,28.992796,
173,5350500,6673,9570,28.992796,
174,5275700,6671,9570,28.992796,
175,5172700,6671,9570,28.992796,
176,5583600,6675,9570,28.992796,
177,5331300,6671,9570,28.992796,
178,5369600,6671,9570,28.992796,
179,5472400,6674,9570,28.992796,
180,5276100,6675,9570,28.992796,
181,5141900,6672,9570,28.992796,
182,5150700,6673,9570,28.992796,
183,5264800,6671,9570,28.992796,
184,5170300,6672,9570,28.992794,
185,5601600,6671,9570,28.99279,
186,5638000,6672,9570,28.992775,
187,5289500,6668,9570,28.992775,
188,5570200,6673,9570,28.99278,
189,5257700,6670,9570,28.99278,
190,5105400,6672,9570,28.992777,
191,5172300,6672,9570,28.992777,
192,5252000,6672,9570,28.992777,
193,5110900,6673,9570,28.992779,
194,5382100,6676,9570,28.99278,
195,5251200,6674,9570,28.99278,
196,5228600,6675,9570,28.992779,
197,5209900,6675,9570,28.992773,
198,5098700,6674,9570,28.992773,
199,5138000,6673,9570,28.992773,
200,5270800,6672,9570,28.99278,
201,5089000,6673,9570,28.99278,
202,5059700,6672,9570,28.99278,
203,5767800,6674,9570,28.99278,
204,5414200,6674,9570,28.99278,
205,5301400,6677,9570,28.99278,
206,5199300,6675,9570,28.99278,
207,5140100,6678,9570,28.99278,
208,5125700,6675,9570,28.992786,
209,5129000,6676,9570,28.992786,
210,5218000,6675,9570,28.992786,
