step,wall_ns,manifolds,pairs,top_y,awake
0,7359200,8555,9570,28.99835,
1,6816900,5761,9570,28.995926,
2,6710800,6723,9570,28.994566,
3,7571200,6695,9570,28.994541,
4,6225600,6672,9570,28.994545,
5,5937600,6758,9570,28.994184,
6,5890700,6793,9570,28.993921,
7,5804800,6783,9570,28.993895,
8,5992400,6772,9570,28.993822,
9,6522300,6790,9570,28.993675,
10,6114100,6786,9570,28.993578,
11,6209600,6806,9570,28.99352,
12,5660400,6806,9570,28.993486,
13,5901200,6780,9570,28.993422,
14,6130300,6784,9570,28.99337,
15,5957200,6765,9570,28.993326,
16,6167200,6760,9570,28.993288,
17,6089000,6761,9570,28.993235,
18,5650200,6734,9570,28.99321,
19,6279600,6754,9570,28.99318,
20,6050600,6753,9570,28.99314,
21,6083700,6741,9570,28.993107,
22,5587000,6739,9570,28.993093,
23,5932400,6730,9570,28.993065,
24,6266300,6730,9570,28.993042,
25,5870000,6722,9570,28.99303,
26,5822500,6733,9570,28.993017,
27,5603400,6733,9570,28.992998,
28,5296500,6715,9570,28.992983,
29,5500800,6720,9570,28.992973,
30,5699500,6719,9570,28.99296,
31,5821800,6717,9570,28.992933,
32,5813800,6716,9570,28.992924,
33,5156600,6704,9570,28.992918,
34,5216100,6697,9570,28.992907,
35,5767500,6701,9570,28.992893,
36,5937700,6705,9570,28.992886,
37,5910300,6721,9570,28.992884,
38,6136400,6725,9570,28.99288,
39,5961600,6710,9570,28.992878,
40,6195600,6708,9570,28.992876,
41,6211800,6708,9570,28.992876,
42,7165900,6700,9570,28.99287,
43,6431900,6693,9570,28.99286,
44,6008300,6701,9570,28.992851,
45,6166100,6708,9570,28.99285,
46,5120900,6706,9570,28.992847,
47,4922200,6703,9570,28.99284,
48,5479200,6704,9570,28.99284,
49,5645200,6704,9570,28.992838,
50,5928400,6707,9570,28.99283,
51,6009500,6705,9570,28.992828,
52,6103400,6714,9570,28.992826,
53,5972200,6704,9570,28.992823,
54,5154300,6700,9570,28.992823,
55,4968100,6707,9570,28.992817,
56,4922800,6699,9570,28.992815,
57,4886100,6699,9570,28.99282,
58,4889900,6707,9570,28.99282,
59,4995300,6702,9570,28.992815,
60,4921200,6706,9570,28.99281,
61,4902800,6701,9570,28.992811,
62,5038000,6695,9570,28.992815,
63,5077000,6694,9570,28.992807,
64,4925000,6691,9570,28.992807,
65,4981800,6698,9570,28.992807,
66,4922500,6700,9570,28.992807,
67,4958300,6693,9570,28.992805,
68,4855200,6701,9570,28.992804,
69,5292300,6699,9570,28.992804,
70,5124900,6702,9570,28.992807,
71,4948500,6703,9570,28.992807,
72,5097900,6700,9570,28.992807,
73,4936600,6694,9570,28.992807,
74,5053200,6690,9570,28.992807,
75,5352200,6685,9570,28.992804,
76,4913800,6687,9570,28.992804,
77,4887900,6684,9570,28.99281,
78,4847400,6684,9570,28.99281,
79,4901800,6685,9570,28.99281,
80,4971500,6680,9570,28.99281,
81,5131000,6679,9570,28.99281,
82,5036500,6674,9570,28.99281,
83,4873300,6676,9570,28.992811,
84,4880900,6676,9570,28.992811,
85,4884000,6667,9570,28.992811,
86,4828900,6676,9570,28.992817,
87,4842800,6672,9570,28.992817,
88,5068300,6678,9570,28.992817,
89,4900500,6678,9570,28.992817,
90,4892500,6680,9570,28.992817,
91,5112000,6683,9570,28.992815,
92,4853100,6678,9570,28.992807,
93,4769000,6674,9570,28.992805,
94,5134500,6680,9570,28.9928,
95,4900100,6674,9570,28.992796,
96,4820400,6668,9570,28.992794,
97,4888600,6672,9570,28.992796,
98,4862900,6675,9570,28.992798,
99,4996600,6676,9570,28.992798,
100,5046100,6677,9570,28.992798,
101,4842500,6675,9570,28.992796,
102,4837900,6673,9570,28.992798,
103,4934400,6669,9570,28.992802,
104,4998300,6665,9570,28.992802,
105,4886500,6665,9570,28.992802,
106,4845600,6661,9570,28.992785,
107,4870000,6657,9570,28.992767,
108,4844400,6664,9570,28.992775,
109,4833600,6665,9570,28.992783,
110,5263100,6667,9570,28.992783,
111,5122500,6669,9570,28.992788,
112,4879400,6665,9570,28.992788,
113,4846200,6672,9570,28.992786,
114,4867000,6676,9570,28.992786,
115,4876500,6674,9570,28.99279,
116,5284800,6671,9570,28.99279,
117,4909000,6675,9570,28.992794,
118,4936000,6671,9570,28.992794,
