step,wall_ns,manifolds,pairs,top_y,awake
0,11666400,8555,9570,28.99835,
1,8176700,5761,9570,28.995926,
2,9475000,6723,9570,28.994566,
3,9676300,6695,9570,28.994541,
4,9531400,6672,9570,28.994545,
5,9694400,6758,9570,28.994184,
6,9694100,6793,9570,28.993921,
7,9682100,6783,9570,28.993895,
8,9636600,6772,9570,28.993822,
9,9647200,6790,9570,28.993675,
10,9719700,6786,9570,28.993578,
11,9718900,6806,9570,28.99352,
12,9990900,6806,9570,28.993486,
13,9858000,6780,9570,28.993422,
14,9707600,6784,9570,28.99337,
15,9733500,6765,9570,28.993326,
16,9626000,6760,9570,28.993288,
17,9583600,6761,9570,28.993235,
18,9587600,6734,9570,28.99321,
19,9971700,6754,9570,28.99318,
20,9846400,6753,9570,28.99314,
21,9607100,6741,9570,28.993107,
22,9582200,6739,9570,28.993093,
23,9630900,6730,9570,28.993065,
24,9681700,6730,9570,28.993042,
25,9537400,6722,9570,28.99303,
26,9612500,6733,9570,28.993017,
27,9584200,6733,9570,28.992998,
28,9498000,6715,9570,28.992983,
29,9517600,6720,9570,28.992973,
30,9457100,6719,9570,28.99296,
31,9533500,6717,9570,28.992933,
32,9536300,6716,9570,28.992924,
33,9493300,6704,9570,28.992918,
34,9919900,6697,9570,28.992907,
35,10296600,6701,9570,28.992893,
36,9826400,6705,9570,28.992886,
37,9680300,6721,9570,28.992884,
38,9692600,6725,9570,28.99288,
39,9565200,6710,9570,28.992878,
40,9516600,6708,9570,28.992876,
41,9491500,6708,9570,28.992876,
42,9508500,6700,9570,28.99287,
43,9527700,6693,9570,28.99286,
44,9540700,6701,9570,28.992851,
45,9704500,6708,9570,28.99285,
46,9621700,6706,9570,28.992847,
47,9644500,6703,9570,28.99284,
48,9592900,6704,9570,28.99284,
49,9518800,6704,9570,28.992838,
50,9561700,6707,9570,28.99283,
51,9530200,6705,9570,28.992828,
52,9514700,6714,9570,28.992826,
53,9495600,6704,9570,28.992823,
54,9495400,6700,9570,28.992823,
55,9534700,6707,9570,28.992817,
