step,wall_ns,manifolds,pairs,top_y,awake
0,10993300,8555,9570,28.99835,
1,8147300,5761,9570,28.995926,
2,9141900,6723,9570,28.994566,
3,9150500,6695,9570,28.994541,
4,9166600,6672,9570,28.994545,
5,9150100,6758,9570,28.994184,
6,9237700,6793,9570,28.993921,
7,9613400,6783,9570,28.993895,
8,9314000,6772,9570,28.993822,
9,9336900,6790,9570,28.993675,
10,9388200,6786,9570,28.993578,
11,9134900,6806,9570,28.99352,
12,9160300,6806,9570,28.993486,
13,9244700,6780,9570,28.993422,
14,9669000,6784,9570,28.99337,
15,9243300,6765,9570,28.993326,
16,9354700,6760,9570,28.993288,
17,9093800,6761,9570,28.993235,
18,9162800,6734,9570,28.99321,
19,9263200,6754,9570,28.99318,
20,9185400,6753,9570,28.99314,
21,9075200,6741,9570,28.993107,
22,9019600,6739,9570,28.993093,
23,9197100,6730,9570,28.993065,
24,9020700,6730,9570,28.993042,
25,9043100,6722,9570,28.99303,
26,9250100,6733,9570,28.993017,
27,9028800,6733,9570,28.992998,
28,9040600,6715,9570,28.992983,
29,8994700,6720,9570,28.992973,
30,8950600,6719,9570,28.99296,
31,9177100,6717,9570,28.992933,
32,8981800,6716,9570,28.992924,
33,8995300,6704,9570,28.992918,
34,8919900,6697,9570,28.992907,
35,8974200,6701,9570,28.992893,
36,9255600,6705,9570,28.992886,
37,9035400,6721,9570,28.992884,
38,8966400,6725,9570,28.99288,
39,8983800,6710,9570,28.992878,
40,9009900,6708,9570,28.992876,
41,9211900,6708,9570,28.992876,
42,8954000,6700,9570,28.99287,
43,9023600,6693,9570,28.99286,
44,8957200,6701,9570,28.992851,
45,8997000,6708,9570,28.99285,
46,8964600,6706,9570,28.992847,
47,9038500,6703,9570,28.99284,
48,8976600,6704,9570,28.99284,
49,8967500,6704,9570,28.992838,
50,9085800,6707,9570,28.99283,
51,9025300,6705,9570,28.992828,
52,9000900,6714,9570,28.992826,
53,8990800,6704,9570,28.992823,
54,8936200,6700,9570,28.992823,
55,9045500,6707,9570,28.992817,
56,8975400,6699,9570,28.992815,
57,8943800,6699,9570,28.99282,
58,9010700,6707,9570,28.99282,
59,9033100,6702,9570,28.992815,
60,9021700,6706,9570,28.99281,
61,9026900,6701,9570,28.992811,
62,8964600,6695,9570,28.992815,
63,9004200,6694,9570,28.992807,
64,9087300,6691,9570,28.992807,
65,8989300,6698,9570,28.992807,
66,8960400,6700,9570,28.992807,
67,9153400,6693,9570,28.992805,
68,9321500,6701,9570,28.992804,
69,9153900,6699,9570,28.992804,
70,9029900,6702,9570,28.992807,
71,9238700,6703,9570,28.992807,
72,9397900,6700,9570,28.992807,
73,9403200,6694,9570,28.992807,
74,9130600,6690,9570,28.992807,
75,9008600,6685,9570,28.992804,
76,9024900,6687,9570,28.992804,
77,9082300,6684,9570,28.99281,
78,9172300,6684,9570,28.99281,
79,9055200,6685,9570,28.99281,
80,9016900,6680,9570,28.99281,
81,9074000,6679,9570,28.99281,
82,8988400,6674,9570,28.99281,
83,9015300,6676,9570,28.992811,
84,9070400,6676,9570,28.992811,
85,8946900,6667,9570,28.992811,
86,8928000,6676,9570,28.992817,
87,9010200,6672,9570,28.992817,
88,8947000,6678,9570,28.992817,
89,9219300,6678,9570,28.992817,
90,9103700,6680,9570,28.992817,
91,8972600,6683,9570,28.992815,
92,8994700,6678,9570,28.992807,
93,8904500,6674,9570,28.992805,
94,9028500,6680,9570,28.9928,
95,9427400,6674,9570,28.992796,
96,9296200,6668,9570,28.992794,
97,9018400,6672,9570,28.992796,
98,8950500,6675,9570,28.992798,
99,9146100,6676,9570,28.992798,
100,9036300,6677,9570,28.992798,
101,9375200,6675,9570,28.992796,
102,9215400,6673,9570,28.992798,
103,8977300,6669,9570,28.992802,
104,9958800,6665,9570,28.992802,
105,9857700,6665,9570,28.992802,
106,9343300,6661,9570,28.992785,
107,9081500,6657,9570,28.992767,
108,8990200,6664,9570,28.992775,
109,9005800,6665,9570,28.992783,
110,9044700,6667,9570,28.992783,
111,9291700,6669,9570,28.992788,
112,9071900,6665,9570,28.992788,
113,9022800,6672,9570,28.992786,
114,8993600,6676,9570,28.992786,
115,9506500,6674,9570,28.99279,
116,9696400,6671,9570,28.99279,
117,9429300,6675,9570,28.992794,
118,9241100,6671,9570,28.992794,
119,9369700,6674,9570,28.992794,
120,9150200,6674,9570,28.992794,
