step,wall_ns,manifolds,pairs,top_y,awake
0,11844300,8555,9570,28.99835,
1,8623200,5761,9570,28.995926,
2,9734500,6723,9570,28.994566,
3,9760900,6695,9570,28.994541,
4,10250600,6672,9570,28.994545,
5,9807300,6758,9570,28.994184,
6,9900900,6793,9570,28.993921,
7,9881200,6783,9570,28.993895,
8,9907300,6772,9570,28.993822,
9,9972200,6790,9570,28.993675,
10,10155800,6786,9570,28.993578,
11,10069400,6806,9570,28.99352,
12,9922000,6806,9570,28.993486,
13,9962900,6780,9570,28.993422,
14,9442100,6784,9570,28.99337,
15,9558200,6765,9570,28.993326,
16,9667900,6760,9570,28.993288,
17,9755300,6761,9570,28.993235,
18,9532600,6734,9570,28.99321,
19,9535100,6754,9570,28.99318,
20,9540200,6753,9570,28.99314,
21,9434800,6741,9570,28.993107,
22,9362900,6739,9570,28.993093,
23,9566100,6730,9570,28.993065,
24,9495200,6730,9570,28.993042,
25,9557700,6722,9570,28.99303,
26,9640700,6733,9570,28.993017,
27,9614100,6733,9570,28.992998,
28,9598000,6715,9570,28.992983,
29,9591900,6720,9570,28.992973,
30,9464200,6719,9570,28.99296,
31,9528600,6717,9570,28.992933,
32,10260500,6716,9570,28.992924,
33,9773600,6704,9570,28.992918,
34,9573400,6697,9570,28.992907,
35,9671700,6701,9570,28.992893,
36,9738200,6705,9570,28.992886,
37,10199700,6721,9570,28.992884,
38,10075100,6725,9570,28.99288,
39,14676700,6710,9570,28.992878,
40,17621900,6708,9570,28.992876,
41,17534600,6708,9570,28.992876,
42,15002300,6700,9570,28.99287,
43,12574000,6693,9570,28.99286,
44,17177800,6701,9570,28.992851,
45,15526300,6708,9570,28.99285,
46,15256800,6706,9570,28.992847,
47,15548800,6703,9570,28.99284,
48,13485600,6704,9570,28.99284,
49,12298100,6704,9570,28.992838,
50,13489600,6707,9570,28.99283,
51,12644800,6705,9570,28.992828,
52,11791400,6714,9570,28.992826,
53,11546200,6704,9570,28.992823,
54,10312500,6700,9570,28.992823,
55,10838300,6707,9570,28.992817,
56,11482100,6699,9570,28.992815,
57,10533000,6699,9570,28.99282,
58,11456600,6707,9570,28.99282,
59,10712600,6702,9570,28.992815,
60,10840500,6706,9570,28.99281,
61,11164300,6701,9570,28.992811,
62,10934300,6695,9570,28.992815,
63,11626100,6694,9570,28.992807,
64,10916800,6691,9570,28.992807,
65,10446200,6698,9570,28.992807,
66,11114300,6700,9570,28.992807,
67,10218400,6693,9570,28.992805,
68,9866400,6701,9570,28.992804,
69,9906900,6699,9570,28.992804,
70,9866300,6702,9570,28.992807,
71,10633100,6703,9570,28.992807,
72,11573800,6700,9570,28.992807,
73,10355100,6694,9570,28.992807,
74,9743400,6690,9570,28.992807,
75,9717000,6685,9570,28.992804,
76,9776400,6687,9570,28.992804,
77,9407200,6684,9570,28.99281,
78,9438100,6684,9570,28.99281,
79,9789200,6685,9570,28.99281,
80,9610200,6680,9570,28.99281,
81,9386800,6679,9570,28.99281,
82,9448100,6674,9570,28.99281,
83,9515800,6676,9570,28.992811,
84,9473500,6676,9570,28.992811,
85,9310100,6667,9570,28.992811,
86,9459200,6676,9570,28.992817,
87,9369600,6672,9570,28.992817,
88,9411400,6678,9570,28.992817,
89,9482400,6678,9570,28.992817,
90,9449200,6680,9570,28.992817,
91,9495800,6683,9570,28.992815,
92,9519400,6678,9570,28.992807,
93,9441100,6674,9570,28.992805,
94,9566800,6680,9570,28.9928,
95,9370200,6674,9570,28.992796,
96,9491300,6668,9570,28.992794,
97,9842100,6672,9570,28.992796,
98,9608900,6675,9570,28.992798,
99,9568700,6676,9570,28.992798,
100,9696800,6677,9570,28.992798,
101,9471400,6675,9570,28.992796,
102,9626700,6673,9570,28.992798,
103,9553300,6669,9570,28.992802,
104,9704500,6665,9570,28.992802,
105,9997700,6665,9570,28.992802,
106,9668500,6661,9570,28.992785,
107,9630500,6657,9570,28.992767,
108,9515400,6664,9570,28.992775,
109,9444700,6665,9570,28.992783,
110,9512800,6667,9570,28.992783,
111,9540900,6669,9570,28.992788,
112,9454800,6665,9570,28.992788,
113,9910700,6672,9570,28.992786,
114,9714800,6676,9570,28.992786,
115,9873200,6674,9570,28.99279,
116,9823600,6671,9570,28.99279,
117,9629200,6675,9570,28.992794,
118,9562700,6671,9570,28.992794,
119,9575900,6674,9570,28.992794,
120,9566000,6674,9570,28.992794,
121,9472800,6677,9570,28.992794,
122,9385000,6679,9570,28.992794,
123,9460400,6679,9570,28.992794,
124,9751500,6685,9570,28.992796,
125,9819500,6684,9570,28.992796,
126,9576200,6676,9570,28.992796,
127,9611000,6678,9570,28.992796,
128,9569200,6675,9570,28.992798,
129,9696600,6679,9570,28.992798,
130,9652300,6676,9570,28.992798,
131,9550300,6680,9570,28.992798,
132,9598300,6677,9570,28.992796,
133,9411700,6674,9570,28.992796,
134,9493300,6675,9570,28.992796,
135,9558900,6676,9570,28.992796,
136,9611300,6676,9570,28.992796,
137,9490600,6673,9570,28.992796,
138,9488600,6675,9570,28.992796,
139,9613100,6677,9570,28.992796,
140,9539600,6677,9570,28.992796,
141,9724600,6679,9570,28.992796,
142,9631000,6680,9570,28.992796,
143,9683100,6681,9570,28.992796,
144,10030800,6687,9570,28.992796,
145,9747500,6682,9570,28.992796,
146,9573800,6680,9570,28.992796,
147,9456800,6681,9570,28.992796,
148,9590300,6680,9570,28.992796,
149,9702600,6676,9570,28.992796,
150,9499500,6675,9570,28.992796,
151,9394100,6673,9570,28.992796,
152,9512600,6677,9570,28.992796,
153,9665800,6678,9570,28.992796,
154,9504700,6676,9570,28.992796,
155,9573400,6675,9570,28.992796,
156,9557100,6673,9570,28.992796,
157,9575500,6676,9570,28.992796,
158,10176300,6672,9570,28.992796,
159,9481300,6672,9570,28.992796,
160,9326100,6672,9570,28.992796,
161,9566800,6672,9570,28.992796,
162,9384100,6674,9570,28.992796,
163,9894300,6674,9570,28.992796,
164,9781000,6674,9570,28.992796,
165,9537000,6677,9570,28.992796,
166,9881200,6674,9570,28.992796,
167,9802200,6672,9570,28.992796,
168,9441500,6674,9570,28.992796,
169,9498900,6675,9570,28.992796,
170,9492700,6674,9570,28.992796,
171,9824100,6674,9570,28.992796,
172,9767900,6672,9570,28.992796,
173,9621400,6673,9570,28.992796,
174,9483600,6671,9570,28.992796,
175,9563400,6671,9570,28.992796,
176,9802900,6675,9570,28.992796,
177,9518000,6671,9570,28.992796,
178,9473200,6671,9570,28.992796,
179,9464600,6674,9570,28.992796,
180,9354700,6675,9570,28.992796,
181,9326600,6672,9570,28.992796,
182,9365800,6673,9570,28.992796,
183,9281400,6671,9570,28.992796,
184,9266900,6672,9570,28.992794,
185,9271800,6671,9570,28.99279,
186,9382800,6672,9570,28.992775,
187,9724100,6668,9570,28.992775,
188,9617000,6673,9570,28.99278,
189,9800700,6670,9570,28.99278,
190,9505900,6672,9570,28.992777,
191,9709400,6672,9570,28.992777,
192,9668700,6672,9570,28.992777,
193,9411600,6673,9570,28.992779,
194,9528000,6676,9570,28.99278,
195,9416300,6674,9570,28.99278,
196,9513800,6675,9570,28.992779,
197,9903500,6675,9570,28.992773,
198,9700600,6674,9570,28.992773,
199,9949800,6673,9570,28.992773,
200,9615400,6672,9570,28.99278,
201,9561200,6673,9570,28.99278,
202,9410300,6672,9570,28.99278,
203,9260000,6674,9570,28.99278,
204,9618700,6674,9570,28.99278,
205,9657900,6677,9570,28.99278,
206,9636600,6675,9570,28.99278,
207,9654000,6678,9570,28.99278,
208,9515200,6675,9570,28.992786,
209,9627600,6676,9570,28.992786,
210,9728100,6675,9570,28.992786,
211,9512200,6678,9570,28.992786,
212,9669600,6677,9570,28.992786,
213,9680800,6674,9570,28.992786,
214,9435300,6675,9570,28.992786,
215,9627400,6675,9570,28.992786,
216,9604000,6678,9570,28.992786,
217,9597000,6677,9570,28.992786,
218,9849300,6679,9570,28.992786,
219,9553000,6676,9570,28.992786,
220,9717000,6679,9570,28.992786,
221,10068100,6673,9570,28.992786,
222,9774800,6671,9570,28.992786,
223,9525300,6670,9570,28.992786,
224,9717000,6672,9570,28.992786,
225,9574200,6674,9570,28.992786,
226,9495800,6673,9570,28.992786,
227,9633800,6671,9570,28.992786,
228,9540500,6674,9570,28.992786,
229,9359900,6674,9570,28.992786,
230,9509000,6673,9570,28.992786,
231,9527800,6673,9570,28.992786,
232,9494200,6672,9570,28.992786,
233,9875500,6676,9570,28.992786,
234,9608000,6675,9570,28.992788,
235,9563300,6678,9570,28.992788,
236,9479600,6677,9570,28.99278,
237,9857400,6677,9570,28.99278,
238,9592100,6676,9570,28.99278,
239,9621900,6676,9570,28.992777,
240,9603800,6681,9570,28.992779,
241,9719400,6678,9570,28.992779,
242,9575100,6676,9570,28.992779,
243,9576600,6676,9570,28.992779,
244,9771300,6674,9570,28.992779,
245,9457200,6674,9570,28.992779,
246,9570300,6675,9570,28.992771,
247,9641400,6675,9570,28.992779,
248,9467000,6671,9570,28.992779,
249,9586300,6671,9570,28.992779,
250,9502300,6674,9570,28.992779,
251,9508200,6671,9570,28.992786,
252,9658900,6673,9570,28.992786,
253,9629900,6675,9570,28.992786,
254,9565000,6672,9570,28.992786,
255,9575100,6672,9570,28.992786,
256,9572900,6674,9570,28.992786,
257,9588700,6673,9570,28.992786,
258,9375000,6672,9570,28.992786,
259,9531700,6672,9570,28.992786,
260,9369500,6671,9570,28.992786,
261,9373300,6670,9570,28.992786,
262,9880900,6672,9570,28.992786,
263,9642200,6670,9570,28.992786,
264,9762000,6671,9570,28.992786,
265,9620200,6670,9570,28.992786,
266,9510900,6673,9570,28.992786,
267,9602000,6673,9570,28.992786,
268,9565900,6672,9570,28.992786,
269,9520900,6673,9570,28.992786,
270,9620500,6673,9570,28.992786,
271,9453800,6673,9570,28.992786,
272,9604600,6675,9570,28.992786,
273,9642200,6673,9570,28.992786,
274,9561800,6676,9570,28.992786,
275,9618000,6674,9570,28.992786,
276,10038600,6679,9570,28.992786,
277,10260900,6681,9570,28.992786,
278,10089500,6681,9570,28.992786,
279,10234500,6682,9570,28.992786,
280,9959400,6679,9570,28.992786,
281,10438200,6677,9570,28.992786,
282,10171700,6674,9570,28.992786,
283,9607800,6676,9570,28.992786,
284,11244100,6674,9570,28.992786,
285,10945900,6675,9570,28.992786,
286,10102600,6675,9570,28.992786,
287,9915800,6675,9570,28.992786,
288,12169600,6678,9570,28.992786,
289,10685600,6677,9570,28.992786,
290,10609200,6677,9570,28.992786,
291,11007200,6678,9570,28.992786,
292,10263300,6678,9570,28.992786,
293,10280200,6677,9570,28.992786,
294,11102300,6679,9570,28.992786,
295,10640600,6680,9570,28.992786,
296,11369800,6680,9570,28.992786,
297,10579800,6677,9570,28.992786,
298,10096500,6679,9570,28.992786,
299,10187700,6681,9570,28.992786,
300,9969800,6681,9570,28.992786,
301,10250400,6682,9570,28.992786,
302,10382300,6680,9570,28.992786,
303,10280600,6679,9570,28.992786,
304,9886100,6680,9570,28.992794,
305,9436900,6682,9570,28.992794,
306,9204400,6682,9570,28.992794,
307,9064000,6682,9570,28.992794,
308,9168700,6681,9570,28.992794,
309,9158800,6682,9570,28.992794,
310,9035600,6681,9570,28.992794,
311,9098100,6680,9570,28.992794,
312,9246500,6680,9570,28.992794,
313,9034900,6680,9570,28.992794,
314,8986700,6677,9570,28.992794,
315,8924400,6678,9570,28.992794,
316,9117000,6673,9570,28.992794,
317,9119100,6674,9570,28.992794,
318,8961600,6675,9570,28.992794,
319,8879300,6676,9570,28.992794,
320,8921000,6676,9570,28.992794,
321,8881000,6680,9570,28.992794,
322,8925000,6679,9570,28.992794,
323,9033100,6675,9570,28.992794,
324,8868700,6676,9570,28.992794,
325,8830700,6677,9570,28.992794,
326,8850300,6678,9570,28.992794,
327,8835000,6678,9570,28.992794,
328,8897800,6679,9570,28.992794,
329,9029800,6678,9570,28.992794,
330,9100200,6675,9570,28.992794,
331,8846600,6673,9570,28.992794,
332,8944700,6674,9570,28.992794,
