step,wall_ns,manifolds,pairs,top_y,awake
0,6552600,8555,9570,28.99835,
1,3702600,5761,9570,28.995926,
2,3833100,6723,9570,28.994566,
3,3751800,6695,9570,28.994541,
4,3756600,6672,9570,28.994545,
5,3678800,6758,9570,28.994184,
6,3659900,6793,9570,28.993921,
7,3754400,6783,9570,28.993895,
8,3739400,6772,9570,28.993822,
9,3671200,6790,9570,28.993675,
10,3701900,6786,9570,28.993578,
11,3798400,6806,9570,28.99352,
12,3654800,6806,9570,28.993486,
13,3689600,6780,9570,28.993422,
14,3754400,6784,9570,28.99337,
15,3663700,6765,9570,28.993326,
16,3621300,6760,9570,28.993288,
17,3677100,6761,9570,28.993235,
18,3673000,6734,9570,28.99321,
19,3957300,6754,9570,28.99318,
20,3949800,6753,9570,28.99314,
21,4543100,6741,9570,28.993107,
22,4330500,6739,9570,28.993093,
23,3946200,6730,9570,28.993065,
24,3754400,6730,9570,28.993042,
25,3676000,6722,9570,28.99303,
26,3612600,6733,9570,28.993017,
27,3656600,6733,9570,28.992998,
28,3597600,6715,9570,28.992983,
29,3598400,6720,9570,28.992973,
30,3673100,6719,9570,28.99296,
31,3550100,6717,9570,28.992933,
32,3683200,6716,9570,28.992924,
33,3737700,6704,9570,28.992918,
34,3536900,6697,9570,28.992907,
35,3611900,6701,9570,28.992893,
36,3657200,6705,9570,28.992886,
37,3730800,6721,9570,28.992884,
38,3655200,6725,9570,28.99288,
39,3730600,6710,9570,28.992878,
40,3690400,6708,9570,28.992876,
41,3893800,6708,9570,28.992876,
42,3678700,6700,9570,28.99287,
43,3669400,6693,9570,28.99286,
44,3594700,6701,9570,28.992851,
45,3827500,6708,9570,28.99285,
46,3578600,6706,9570,28.992847,
47,3582900,6703,9570,28.99284,
48,3561200,6704,9570,28.99284,
49,3886900,6704,9570,28.992838,
50,3630500,6707,9570,28.99283,
51,3634700,6705,9570,28.992828,
52,3600600,6714,9570,28.992826,
53,3717100,6704,9570,28.992823,
54,3797200,6700,9570,28.992823,
55,3725200,6707,9570,28.992817,
56,3566300,6699,9570,28.992815,
57,3711200,6699,9570,28.99282,
58,3635400,6707,9570,28.99282,
59,3590600,6702,9570,28.992815,
60,3576600,6706,9570,28.99281,
61,3607100,6701,9570,28.992811,
62,3693100,6695,9570,28.992815,
63,3593600,6694,9570,28.992807,
64,3576300,6691,9570,28.992807,
65,3582700,6698,9570,28.992807,
66,3835300,6700,9570,28.992807,
67,3916600,6693,9570,28.992805,
68,3612000,6701,9570,28.992804,
69,3616300,6699,9570,28.992804,
70,3773800,6702,9570,28.992807,
71,3807700,6703,9570,28.992807,
72,3738500,6700,9570,28.992807,
73,3568800,6694,9570,28.992807,
74,3699500,6690,9570,28.992807,
75,3737400,6685,9570,28.992804,
76,3727200,6687,9570,28.992804,
77,3579000,6684,9570,28.99281,
78,3966200,6684,9570,28.99281,
79,3959000,6685,9570,28.99281,
80,3688900,6680,9570,28.99281,
81,3604200,6679,9570,28.99281,
82,3730400,6674,9570,28.99281,
83,3926300,6676,9570,28.992811,
84,3787900,6676,9570,28.992811,
85,3593000,6667,9570,28.992811,
86,3545800,6676,9570,28.992817,
87,3701700,6672,9570,28.992817,
88,3711900,6678,9570,28.992817,
89,3651900,6678,9570,28.992817,
90,3573200,6680,9570,28.992817,
91,3631700,6683,9570,28.992815,
92,3725200,6678,9570,28.992807,
93,3588900,6674,9570,28.992805,
94,3574900,6680,9570,28.9928,
95,3593800,6674,9570,28.992796,
96,3665700,6668,9570,28.992794,
97,3588700,6672,9570,28.992796,
98,3564600,6675,9570,28.992798,
99,3536500,6676,9570,28.992798,
100,3786600,6677,9570,28.992798,
101,3751600,6675,9570,28.992796,
102,3614900,6673,9570,28.992798,
103,3782300,6669,9570,28.992802,
104,3836800,6665,9570,28.992802,
105,3709300,6665,9570,28.992802,
106,3594800,6661,9570,28.992785,
107,3577300,6657,9570,28.992767,
108,3689100,6664,9570,28.992775,
109,3733400,6665,9570,28.992783,
