step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,5520400,4495,9570,35.998295,,0,9,9,108,103480,7414,5551,5416920,16,152,601,1,149559,1,321,1,1952057,1,977050,1,186531,1,2137395,1,13406,1,749781,1,17404,4,549403,4,86918,4,244523,4,435963,8,674936,108,0,0,3847,1,39156,1,2986,1,0,0,0,0,0,0,641712,1,130993,1,82490,1,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,0,0,0,0,0,0
1,4351700,4196,9570,35.993866,,0,8,8,96,41962,1252,2436,4309738,16,142,90,1,40809,1,80,1,2072650,1,444089,1,90705,1,1650413,1,10901,1,462705,1,11823,4,486211,4,83251,4,198795,4,360387,8,556746,96,0,0,3497,1,39837,1,2655,1,0,0,0,0,0,0,416867,1,18145,1,4539,1,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,0,0,0,0,0,0
2,4039900,4142,9570,35.986713,,0,8,8,96,34280,2846,2455,4005620,16,142,90,1,25630,1,40,1,1924193,1,421876,1,91557,1,1530782,1,11452,1,320991,1,12063,4,480129,4,84072,4,209165,4,390536,8,597245,96,0,0,2785,1,25529,1,2665,1,0,0,0,0,0,0,394874,1,18846,1,4318,1,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,0,0,0,0,0,0
3,4049700,4111,9570,35.976837,,0,8,8,96,36556,1062,4119,4013144,16,142,50,1,25620,1,70,1,1925886,1,459138,1,87770,1,1503629,1,10981,1,310130,1,11833,4,478866,4,83982,4,209535,4,375907,8,581324,96,0,0,2775,1,26812,1,2725,1,0,0,0,0,0,0,433599,1,16492,1,4980,1,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,0,0,0,0,0,0
4,4010500,4100,9570,35.964233,,0,8,8,96,35760,1052,3818,3974740,16,142,10,1,26020,1,50,1,1947358,1,410134,1,86247,1,1494161,1,10761,1,295331,1,12264,4,477985,4,84063,4,214034,4,381438,8,591654,96,0,0,2735,1,22604,1,2655,1,0,0,0,0,0,0,385456,1,17804,1,3928,1,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,0,0,0,0,0,0
5,3963700,4087,9570,35.948902,,0,8,8,96,35961,1052,4048,3927739,16,142,40,1,25079,1,40,1,1935745,1,384374,1,85646,1,1485755,1,11061,1,286504,1,11793,4,479818,4,83922,4,210367,4,382199,8,588519,96,0,0,2695,1,24788,1,2615,1,0,0,0,0,0,0,358975,1,17885,1,3677,1,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,0,0,0,0,0,0
6,4018600,4079,9570,35.93085,,0,8,8,96,32788,952,2406,3985812,16,142,40,1,24918,1,40,1,1934894,1,412077,1,85896,1,1517235,1,10711,1,288769,1,12123,4,479287,4,83381,4,213092,4,410695,8,621381,96,0,0,2715,1,23566,1,2655,1,0,0,0,0,0,0,386828,1,17444,1,3878,1,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,0,0,0,0,0,0
7,4000200,4073,9570,35.910072,,0,8,8,96,39587,1112,1755,3960613,16,142,30,1,25028,1,50,1,1930355,1,407959,1,85385,1,1500643,1,11162,1,292286,1,11602,4,491331,4,83612,4,205107,4,385776,8,589129,96,0,0,2705,1,24457,1,2655,1,0,0,0,0,0,0,382220,1,18015,1,3777,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,0,0,0,0,0,0
8,4215300,4066,9570,35.88657,,0,8,8,96,46695,1323,1834,4168605,16,129,60,1,25640,1,50,1,1935174,1,510227,1,107147,1,1579165,1,11142,1,355889,1,12955,4,522561,4,86317,4,207872,4,364756,8,570794,96,0,0,3497,1,21171,1,2825,1,0,0,0,0,0,0,484998,1,17213,1,3867,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,0,0,0,0,0,0
9,4100200,4061,9570,35.86034,,0,8,8,96,41963,1272,1694,4058237,16,142,140,1,25920,1,70,1,1937238,1,407393,1,105805,1,1568014,1,13656,1,348785,1,12164,4,534083,4,83952,4,200678,4,357131,8,556115,96,0,0,3717,1,23145,1,3086,1,0,0,0,0,0,0,368117,1,30950,1,4709,1,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,0,0,0,0,0,0
10,4044100,4053,9570,35.831387,,0,8,8,96,34983,1002,1864,4009117,16,142,50,1,29998,1,90,1,2030078,1,411366,1,86177,1,1440657,1,10701,1,288308,1,11673,4,478927,4,82920,4,194436,4,354366,8,546938,96,0,0,2795,1,23596,1,2635,1,0,0,0,0,0,0,388722,1,15991,1,3627,1,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,48,1,0,0,0,0,0,0
11,3983500,4054,9570,35.79971,,0,8,8,96,34600,1062,1753,3948900,16,142,110,1,24898,1,40,1,1935405,1,408140,1,99022,1,1469974,1,11312,1,289901,1,11713,4,479047,4,83441,4,207872,4,363744,8,569863,96,0,0,2655,1,27754,1,2785,1,0,0,0,0,0,0,382710,1,18466,1,3767,1,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,48,1,0,0,0,0,0,0
12,4007300,4056,9570,35.765305,,0,8,8,96,34213,1012,1755,3973087,16,142,50,1,25319,1,40,1,1933872,1,452395,1,84283,1,1466177,1,10951,1,298978,1,12154,4,479408,4,83762,4,201560,4,360277,8,560082,96,0,0,2775,1,23576,1,2675,1,0,0,0,0,0,0,426635,1,18235,1,3587,1,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,48,1,0,0,0,0,0,0
13,3957700,4055,9570,35.728176,,0,8,8,96,35612,1012,1794,3922088,16,142,40,1,24888,1,80,1,1934352,1,421716,1,84013,1,1446078,1,10921,1,292506,1,11833,4,480009,4,83261,4,196781,4,351971,8,546958,96,0,0,2645,1,23395,1,2665,1,0,0,0,0,0,0,399824,1,15159,1,3617,1,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,48,1,0,0,0,0,0,0
14,3957500,4060,9570,35.688324,,0,8,8,96,32606,962,1804,3924894,16,142,50,1,25499,1,20,1,1933952,1,412698,1,84704,1,1457239,1,10731,1,286745,1,11713,4,480580,4,83962,4,214104,4,351540,8,563841,96,0,0,2595,1,22353,1,2685,1,0,0,0,0,0,0,386808,1,18065,1,3938,1,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,48,1,0,0,0,0,0,0
15,3986300,4057,9570,35.64575,,0,8,8,96,34655,1012,2024,3951645,16,142,40,1,24878,1,60,1,1943841,1,383993,1,85626,1,1501485,1,11723,1,336451,1,11853,4,481762,4,84053,4,197973,4,352452,8,548401,96,0,0,2715,1,30489,1,2725,1,0,0,0,0,0,0,350999,1,24167,1,3687,1,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,48,1,0,0,0,0,0,0
16,3962500,4055,9570,35.600445,,0,8,8,96,32667,972,2104,3929833,16,142,90,1,25259,1,30,1,1933290,1,395104,1,83862,1,1480955,1,11242,1,307996,1,11713,4,481832,4,83512,4,205718,4,359606,8,563219,96,0,0,2665,1,24257,1,2685,1,0,0,0,0,0,0,371509,1,17193,1,3537,1,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,48,1,0,0,0,0,0,0
17,4050300,4051,9570,35.552414,,0,8,8,96,36504,1202,2034,4013796,16,142,210,1,30569,1,80,1,1987185,1,416907,1,91878,1,1476396,1,10570,1,290843,1,12334,4,487283,4,80315,4,198033,4,377811,8,573810,96,0,0,2866,1,22984,1,2725,1,0,0,0,0,0,0,394744,1,15440,1,3667,1,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,48,1,0,0,0,0,0,0
18,4042100,4049,9570,35.501663,,0,8,8,96,33564,982,2024,4008536,16,142,10,1,30078,1,30,1,1964882,1,414652,1,85515,1,1501846,1,11522,1,286725,1,11612,4,479197,4,83542,4,235265,4,374955,8,608197,96,0,0,2675,1,24197,1,2695,1,0,0,0,0,0,0,390375,1,17925,1,3597,1,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,48,1,0,0,0,0,0,0
19,3987500,4050,9570,35.448185,,0,8,8,96,33360,962,2035,3954140,16,142,50,1,24758,1,40,1,1933551,1,423600,1,85876,1,1475334,1,10931,1,315711,1,11803,4,480249,4,83652,4,196961,4,352452,8,547378,96,0,0,2866,1,28004,1,2675,1,0,0,0,0,0,0,393050,1,22744,1,3697,1,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,48,1,0,0,0,0,0,0
