step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,5496700,4495,9570,35.998295,,0,9,9,108,61236,6422,4700,5435464,16,154,271,1,165050,1,331,1,2125633,1,1015720,1,210629,1,1902821,1,15009,1,810923,1,17163,4,298489,4,80626,4,222932,4,409905,8,628138,108,0,0,4008,1,49546,1,2805,1,0,0,0,0,0,0,655512,1,139791,1,89043,1,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,0,0,0,0,0,0
1,4062200,4196,9570,35.993866,,0,8,8,96,39577,2715,1604,4022623,16,142,80,1,35539,1,200,1,1916948,1,501833,1,89814,1,1464100,1,14107,1,468359,1,11733,4,271667,4,79204,4,206400,4,388063,8,592859,96,0,0,3246,1,29938,1,2775,1,0,0,0,0,0,0,470903,1,22293,1,4449,1,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,0,0,0,0,0,0
2,3908500,4142,9570,35.986713,,0,8,8,96,43563,1353,5841,3864937,16,142,120,1,44877,1,80,1,1973158,1,408613,1,91608,1,1332815,1,13667,1,341643,1,12434,4,271086,4,79715,4,211631,4,378955,8,584744,96,0,0,3296,1,30068,1,2635,1,0,0,0,0,0,0,374216,1,24918,1,4459,1,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,0,0,0,0,0,0
3,3878600,4111,9570,35.976837,,0,8,8,96,34644,1433,4068,3843956,16,142,110,1,30529,1,70,1,1979871,1,396980,1,86768,1,1336262,1,13366,1,292287,1,11482,4,289722,4,78903,4,226730,4,404014,8,626675,96,0,0,3316,1,25730,1,2645,1,0,0,0,0,0,0,372032,1,16943,1,4008,1,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,0,0,0,0,0,0
4,3740700,4100,9570,35.964233,,0,8,8,96,33058,1172,3687,3707642,16,142,50,1,25169,1,60,1,1928451,1,411799,1,84684,1,1244083,1,13346,1,284402,1,11873,4,266788,4,81618,4,202853,4,365749,8,564916,96,0,0,3016,1,23977,1,2635,1,0,0,0,0,0,0,384516,1,19438,1,3988,1,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,0,0,0,0,0,0
5,3740600,4087,9570,35.948902,,0,8,8,96,32477,1082,3858,3708123,16,142,100,1,25750,1,40,1,1961214,1,417670,1,84845,1,1205298,1,13206,1,273811,1,11783,4,264844,4,80336,4,193756,4,351692,8,541590,96,0,0,2886,1,22383,1,2725,1,0,0,0,0,0,0,392471,1,17594,1,3777,1,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,0,0,0,0,0,0
6,3755300,4079,9570,35.93085,,0,8,8,96,31557,1112,1834,3723743,16,142,100,1,24628,1,70,1,1934873,1,376751,1,84634,1,1289351,1,13336,1,278029,1,12845,4,274543,4,82280,4,215498,4,395227,8,608891,96,0,0,3667,1,23486,1,2665,1,0,0,0,0,0,0,352384,1,17885,1,3757,1,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,0,0,0,0,0,0
7,3813800,4073,9570,35.910072,,0,8,8,96,35080,1132,1575,3778720,16,142,20,1,25429,1,60,1,1936136,1,451315,1,90025,1,1262299,1,13436,1,274803,1,11733,4,266567,4,79534,4,212632,4,387792,8,598850,96,0,0,3136,1,22333,1,2635,1,0,0,0,0,0,0,428331,1,16422,1,3687,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,0,0,0,0,0,0
8,3980400,4066,9570,35.88657,,0,8,8,96,47301,1623,1865,3933099,16,128,150,1,30539,1,60,1,1957267,1,444943,1,89143,1,1397050,1,13947,1,344318,1,14017,4,314430,4,87169,4,219476,4,386239,8,603850,96,0,0,3016,1,24107,1,2655,1,0,0,0,0,0,0,417911,1,19157,1,3797,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,0,0,0,0,0,0
9,3747300,4061,9570,35.86034,,0,8,8,96,33766,1182,1574,3713534,16,142,110,1,30209,1,80,1,1951275,1,415797,1,85746,1,1217011,1,13306,1,276476,1,11653,4,265806,4,78863,4,195058,4,359327,8,552811,96,0,0,2866,1,23085,1,2695,1,0,0,0,0,0,0,382602,1,26562,1,3707,1,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,0,0,0,0,0,0
