step,wall_ns,manifolds,pairs,top_y,awake
0,9063600,4495,9570,35.998295,
1,8014800,4196,9570,35.993866,
2,7714100,4142,9570,35.986713,
3,7875500,4111,9570,35.976837,
4,7591800,4100,9570,35.964233,
5,7635500,4087,9570,35.948902,
6,7614600,4079,9570,35.93085,
7,7559900,4073,9570,35.910072,
8,7497400,4066,9570,35.88657,
9,7600500,4061,9570,35.86034,
10,7565700,4053,9570,35.831387,
11,7522700,4054,9570,35.79971,
12,7526700,4056,9570,35.765305,
13,7533900,4055,9570,35.728176,
14,8100100,4060,9570,35.688324,
15,7669700,4057,9570,35.64575,
16,7591200,4055,9570,35.600445,
17,7801600,4051,9570,35.552414,
18,7480100,4049,9570,35.501663,
19,7508700,4050,9570,35.448185,
20,8331700,4829,9570,35.391983,
21,8470400,4715,9570,35.333054,
22,8318200,4565,9570,35.2714,
23,8246200,4496,9570,35.207024,
24,8088200,4419,9570,35.13992,
25,8076500,4390,9570,35.07009,
26,8033100,4353,9570,34.997536,
27,8011100,4336,9570,34.92226,
28,8728100,4982,9570,34.844257,
29,8626500,4783,9570,34.763527,
30,8494500,4670,9570,34.680073,
31,8422600,4639,9570,34.593895,
32,8357400,4573,9570,34.504993,
33,8232500,4491,9570,34.413364,
34,8862200,5031,9570,34.31901,
35,8934400,4806,9570,34.221935,
36,8636900,4646,9570,34.12213,
37,8488400,4535,9570,34.019604,
38,8439800,4502,9570,33.91435,
39,8896700,4984,9570,33.806374,
40,9514700,5009,9570,33.69567,
41,9066200,4852,9570,33.58224,
42,8982400,4753,9570,33.466087,
43,8867200,4728,9570,33.34721,
44,9068400,4996,9570,33.22561,
45,9225900,5112,9570,33.10128,
46,9016200,4923,9570,32.974224,
47,8868900,4760,9570,32.844448,
48,9264900,5001,9570,32.711945,
49,9282400,5139,9570,32.576717,
50,9109500,4996,9570,32.438763,
51,8945600,4871,9570,32.298084,
52,9172000,5093,9570,32.154682,
53,9082500,4972,9570,32.008553,
54,9175500,4792,9570,31.8597,
55,8953300,4796,9570,31.70812,
56,9061200,4911,9570,31.553818,
57,8906800,4780,9570,31.39679,
58,8850800,4734,9570,31.237036,
59,8922100,4748,9570,31.074558,
60,8840100,4704,9570,30.909355,
61,8861400,4678,9570,30.741426,
62,8857000,4666,9570,30.570772,
63,8872000,4609,9570,30.397394,
64,8739200,4623,9570,30.22129,
65,8744700,4625,9570,30.042463,
66,8749300,4579,9570,29.860909,
67,8730700,4610,9570,29.67663,
68,8713700,4550,9570,29.489626,
69,8670200,4524,9570,29.299898,
70,8671700,4535,9570,29.107445,
71,8668500,4528,9570,28.912266,
72,8736000,4533,9570,28.714361,
73,8665600,4529,9570,28.745474,
74,8702400,4530,9570,28.77165,
75,8662400,4529,9570,28.79591,
76,8626500,4524,9570,28.816788,
77,8647200,4517,9570,28.83433,
78,8668000,4520,9570,28.848581,
79,8657800,4514,9568,28.862343,
80,8615000,4519,9568,28.873486,
81,8627900,4518,9568,28.88324,
82,8695800,4518,9568,28.892859,
83,8670500,4516,9568,28.90075,
84,8634500,4517,9567,28.907646,
85,8637500,4508,9565,28.914537,
86,8884800,4519,9565,28.920815,
87,8666600,4516,9565,28.92588,
88,8630200,4518,9565,28.930962,
89,8607800,4519,9565,28.935617,
90,8622500,4514,9565,28.939785,
91,8703800,4516,9565,28.943506,
92,8633600,4512,9565,28.946703,
93,8644700,4508,9565,28.949604,
94,8646700,4522,9565,28.952375,
95,8677000,4519,9565,28.954878,
96,8643500,4521,9565,28.957104,
97,8687200,4517,9565,28.9592,
98,9170100,4515,9565,28.960983,
99,8633500,4520,9565,28.96278,
100,8622300,4521,9564,28.964386,
101,8598800,4521,9564,28.965906,
102,8662200,4521,9563,28.967402,
103,8643800,4520,9563,28.968788,
104,8671600,4522,9563,28.969984,
105,8666900,4518,9563,28.971111,
106,8652400,4521,9563,28.97221,
107,8884800,4523,9563,28.97325,
108,8608300,4515,9562,28.974203,
109,8629900,4517,9562,28.975157,
110,8647600,4516,9562,28.976004,
111,9031600,4515,9562,28.976778,
112,8637500,4519,9562,28.977486,
113,8632400,4520,9562,28.978231,
114,8645000,4520,9562,28.97893,
115,8587000,4519,9561,28.979557,
116,8630000,4526,9561,28.980162,
117,8626100,4519,9561,28.980728,
118,8628400,4521,9561,28.981266,
119,8909400,4517,9561,28.981787,
120,8714000,4523,9561,28.982262,
121,8814300,4523,9561,28.98269,
122,8789600,4521,9561,28.983118,
123,8610900,4522,9561,28.98351,
124,8982700,4518,9561,28.98387,
125,8624100,4521,9561,28.984217,
126,8590100,4521,9561,28.984558,
127,8566300,4517,9561,28.98485,
128,8580900,4522,9561,28.98514,
129,8755400,4521,9561,28.98541,
130,8666000,4519,9560,28.98568,
131,8617900,4526,9559,28.98593,
132,8623600,4524,9559,28.986149,
133,8606900,4516,9559,28.98636,
134,8603000,4520,9559,28.98657,
135,8598700,4522,9559,28.986776,
136,8645500,4519,9559,28.986969,
137,8572700,4521,9559,28.987137,
138,8598700,4521,9559,28.9873,
139,8639500,4521,9559,28.987465,
140,8591700,4518,9559,28.987623,
141,8579800,4523,9559,28.987766,
142,8893700,4524,9559,28.987892,
143,8664500,4523,9559,28.98802,
144,8628800,4520,9559,28.988153,
145,8620600,4519,9559,28.98826,
146,8902500,4520,9559,28.988363,
147,8608400,4522,9559,28.988459,
148,8547000,4517,9559,28.988543,
149,8816000,4519,9559,28.988642,
150,8880000,4522,9559,28.98874,
151,8759300,4520,9559,28.98882,
152,8774200,4523,9559,28.988888,
153,8646200,4523,9559,28.988964,
154,8710800,4524,9559,28.989048,
155,8712600,4521,9559,28.989117,
156,8754400,4520,9559,28.989172,
157,8670900,4519,9559,28.989218,
158,8852200,4519,9559,28.98927,
159,8657700,4518,9559,28.98933,
160,8589000,4519,9559,28.989386,
161,8630000,4521,9559,28.989433,
162,8654200,4518,9559,28.989477,
163,8601300,4520,9559,28.989515,
164,8553800,4520,9559,28.989552,
165,8598300,4519,9559,28.989582,
166,8663300,4516,9559,28.989613,
167,8614800,4518,9559,28.989645,
168,8631600,4518,9559,28.989676,
