step,wall_ns,manifolds,pairs,top_y,awake
0,8737000,4495,9570,35.998295,
1,7680800,4196,9570,35.993866,
2,7278300,4142,9570,35.986713,
3,7405400,4111,9570,35.976837,
4,7201300,4100,9570,35.964233,
5,7215900,4087,9570,35.948902,
6,7228800,4079,9570,35.93085,
7,7233200,4073,9570,35.910072,
8,7212900,4066,9570,35.88657,
9,7222000,4061,9570,35.86034,
10,7220200,4053,9570,35.831387,
11,7199200,4054,9570,35.79971,
12,7242500,4056,9570,35.765305,
13,7298200,4055,9570,35.728176,
14,7239800,4060,9570,35.688324,
15,7201500,4057,9570,35.64575,
16,7175200,4055,9570,35.600445,
17,7158000,4051,9570,35.552414,
18,7170600,4049,9570,35.501663,
19,7183300,4050,9570,35.448185,
20,8336000,4829,9570,35.391983,
21,8366200,4715,9570,35.333054,
22,7952600,4565,9570,35.2714,
23,7878800,4496,9570,35.207024,
24,7755300,4419,9570,35.13992,
25,7717200,4390,9570,35.07009,
26,7835300,4353,9570,34.997536,
27,7628800,4336,9570,34.92226,
28,8297900,4982,9570,34.844257,
29,8246400,4783,9570,34.763527,
30,8102300,4670,9570,34.680073,
31,8139500,4639,9570,34.593895,
32,8070500,4573,9570,34.504993,
33,7898700,4491,9570,34.413364,
34,8398000,5031,9570,34.31901,
35,8367400,4806,9570,34.221935,
36,8234200,4646,9570,34.12213,
37,8275700,4535,9570,34.019604,
38,8100700,4502,9570,33.91435,
39,8593000,4984,9570,33.806374,
40,8717000,5009,9570,33.69567,
41,8526300,4852,9570,33.58224,
42,8397000,4753,9570,33.466087,
43,8500300,4728,9570,33.34721,
44,8691000,4996,9570,33.22561,
45,8863700,5112,9570,33.10128,
46,8685900,4923,9570,32.974224,
47,8651300,4760,9570,32.844448,
48,9066800,5001,9570,32.711945,
49,9585700,5139,9570,32.576717,
50,8986100,4996,9570,32.438763,
51,8677400,4871,9570,32.298084,
52,8828100,5093,9570,32.154682,
53,8823100,4972,9570,32.008553,
54,8781000,4792,9570,31.8597,
55,8671400,4796,9570,31.70812,
56,8740200,4911,9570,31.553818,
57,8580300,4780,9570,31.39679,
58,8490900,4734,9570,31.237036,
59,8642400,4748,9570,31.074558,
60,8557300,4704,9570,30.909355,
61,8484100,4678,9570,30.741426,
62,8543200,4666,9570,30.570772,
