step,wall_ns,manifolds,pairs,top_y,awake
0,4988100,4495,9570,35.998295,
1,4233900,4196,9570,35.993866,
2,4269100,4142,9570,35.986713,
3,3938000,4111,9570,35.976837,
4,3907900,4100,9570,35.964233,
5,3912400,4087,9570,35.948902,
6,3968100,4079,9570,35.93085,
7,3936300,4073,9570,35.910072,
8,3919000,4066,9570,35.88657,
9,3957400,4061,9570,35.86034,
10,3959800,4053,9570,35.831387,
11,3960100,4054,9570,35.79971,
12,3952200,4056,9570,35.765305,
13,3990200,4055,9570,35.728176,
14,4000300,4060,9570,35.688324,
15,3953500,4057,9570,35.64575,
16,3971800,4055,9570,35.600445,
17,3942200,4051,9570,35.552414,
18,4016800,4049,9570,35.501663,
19,3947900,4050,9570,35.448185,
20,4356500,4829,9570,35.391983,
21,4300900,4715,9570,35.333054,
22,4214200,4565,9570,35.2714,
23,4182000,4496,9570,35.207024,
24,4112000,4419,9570,35.13992,
25,4233600,4390,9570,35.07009,
26,4122800,4353,9570,34.997536,
27,4087200,4336,9570,34.92226,
28,4432200,4982,9570,34.844257,
29,4335800,4783,9570,34.763527,
30,4306300,4670,9570,34.680073,
31,4276000,4639,9570,34.593895,
32,4253000,4573,9570,34.504993,
33,4347600,4491,9570,34.413364,
34,4453900,5031,9570,34.31901,
35,4372000,4806,9570,34.221935,
36,4338400,4646,9570,34.12213,
37,4313100,4535,9570,34.019604,
38,4434200,4502,9570,33.91435,
39,4704400,4984,9570,33.806374,
40,4553200,5009,9570,33.69567,
41,4402800,4852,9570,33.58224,
42,4432100,4753,9570,33.466087,
43,4369000,4728,9570,33.34721,
44,4730700,4996,9570,33.22561,
45,4562800,5112,9570,33.10128,
46,4433100,4923,9570,32.974224,
47,4375100,4760,9570,32.844448,
48,4481700,5001,9570,32.711945,
49,4570200,5139,9570,32.576717,
50,4627400,4996,9570,32.438763,
51,4558900,4871,9570,32.298084,
52,4528300,5093,9570,32.154682,
53,4505300,4972,9570,32.008553,
54,4395200,4792,9570,31.8597,
55,4373800,4796,9570,31.70812,
56,4658300,4911,9570,31.553818,
57,4534500,4780,9570,31.39679,
58,4360900,4734,9570,31.237036,
59,4394500,4748,9570,31.074558,
60,4313700,4704,9570,30.909355,
61,4410000,4678,9570,30.741426,
62,4284000,4666,9570,30.570772,
63,4291100,4609,9570,30.397394,
64,4329300,4623,9570,30.22129,
65,4326700,4625,9570,30.042463,
66,4228600,4579,9570,29.860909,
67,4300100,4610,9570,29.67663,
68,4303800,4550,9570,29.489626,
69,4284400,4524,9570,29.299898,
70,4232200,4535,9570,29.107445,
71,4230000,4528,9570,28.912266,
72,4352900,4533,9570,28.714361,
73,4216100,4529,9570,28.745474,
74,4229400,4530,9570,28.77165,
75,4217200,4529,9570,28.79591,
76,4269500,4524,9570,28.816788,
77,4245000,4517,9570,28.83433,
78,4231200,4520,9570,28.848581,
79,4224700,4514,9568,28.862343,
80,4293400,4519,9568,28.873486,
81,4238000,4518,9568,28.88324,
82,4385100,4518,9568,28.892859,
83,4299700,4516,9568,28.90075,
84,4355700,4517,9567,28.907646,
85,4220900,4508,9565,28.914537,
86,4291000,4519,9565,28.920815,
87,4276200,4516,9565,28.92588,
88,4212800,4518,9565,28.930962,
89,4196300,4519,9565,28.935617,
90,4264500,4514,9565,28.939785,
91,4226600,4516,9565,28.943506,
92,4229500,4512,9565,28.946703,
93,4251500,4508,9565,28.949604,
94,4227100,4522,9565,28.952375,
95,4231400,4519,9565,28.954878,
96,4268900,4521,9565,28.957104,
97,4239600,4517,9565,28.9592,
98,4283300,4515,9565,28.960983,
99,4234800,4520,9565,28.96278,
100,4272200,4521,9564,28.964386,
101,4235000,4521,9564,28.965906,
102,4232300,4521,9563,28.967402,
103,4257600,4520,9563,28.968788,
104,4330400,4522,9563,28.969984,
105,4186200,4518,9563,28.971111,
106,4216900,4521,9563,28.97221,
107,4234200,4523,9563,28.97325,
108,4259500,4515,9562,28.974203,
109,4239400,4517,9562,28.975157,
110,4209600,4516,9562,28.976004,
111,4265800,4515,9562,28.976778,
112,4229400,4519,9562,28.977486,
113,4250900,4520,9562,28.978231,
114,4248800,4520,9562,28.97893,
115,4334100,4519,9561,28.979557,
116,4411600,4526,9561,28.980162,
117,4262800,4519,9561,28.980728,
118,4290700,4521,9561,28.981266,
119,4221100,4517,9561,28.981787,
120,4266200,4523,9561,28.982262,
121,4277200,4523,9561,28.98269,
122,4266200,4521,9561,28.983118,
123,4254900,4522,9561,28.98351,
124,4342200,4518,9561,28.98387,
125,4224300,4521,9561,28.984217,
126,4272800,4521,9561,28.984558,
127,4238000,4517,9561,28.98485,
128,4241700,4522,9561,28.98514,
129,4227100,4521,9561,28.98541,
130,4256800,4519,9560,28.98568,
131,4413400,4526,9559,28.98593,
132,4247000,4524,9559,28.986149,
133,4225100,4516,9559,28.98636,
134,4268100,4520,9559,28.98657,
135,4223100,4522,9559,28.986776,
136,4235000,4519,9559,28.986969,
137,4397300,4521,9559,28.987137,
138,4246200,4521,9559,28.9873,
139,4442500,4521,9559,28.987465,
140,4361900,4518,9559,28.987623,
141,4208600,4523,9559,28.987766,
142,4360700,4524,9559,28.987892,
143,4213600,4523,9559,28.98802,
144,4454900,4520,9559,28.988153,
145,5920300,4519,9559,28.98826,
146,4921700,4520,9559,28.988363,
147,4668900,4522,9559,28.988459,
148,4919300,4517,9559,28.988543,
149,4839600,4519,9559,28.988642,
150,4678200,4522,9559,28.98874,
151,5277000,4520,9559,28.98882,
