step,wall_ns,manifolds,pairs,top_y,awake
0,5250200,4495,9570,35.998295,
1,4034400,4196,9570,35.993866,
2,3840100,4142,9570,35.986713,
3,3834300,4111,9570,35.976837,
4,3792800,4100,9570,35.964233,
5,3820900,4087,9570,35.948902,
6,3732800,4079,9570,35.93085,
7,3736800,4073,9570,35.910072,
8,3752200,4066,9570,35.88657,
9,3771800,4061,9570,35.86034,
10,3718600,4053,9570,35.831387,
11,3733800,4054,9570,35.79971,
12,3763600,4056,9570,35.765305,
13,3776900,4055,9570,35.728176,
14,3789500,4060,9570,35.688324,
15,3780500,4057,9570,35.64575,
16,3768700,4055,9570,35.600445,
17,3781500,4051,9570,35.552414,
18,3765400,4049,9570,35.501663,
19,3736600,4050,9570,35.448185,
20,4231200,4829,9570,35.391983,
21,4085700,4715,9570,35.333054,
22,4206700,4565,9570,35.2714,
23,4078300,4496,9570,35.207024,
24,3977000,4419,9570,35.13992,
25,4014000,4390,9570,35.07009,
26,4127300,4353,9570,34.997536,
27,4037500,4336,9570,34.92226,
28,4355600,4982,9570,34.844257,
29,4173000,4783,9570,34.763527,
30,4239500,4670,9570,34.680073,
31,4087200,4639,9570,34.593895,
32,4066200,4573,9570,34.504993,
33,4096800,4491,9570,34.413364,
34,4356400,5031,9570,34.31901,
35,4296000,4806,9570,34.221935,
36,4210400,4646,9570,34.12213,
37,4190800,4535,9570,34.019604,
38,4190800,4502,9570,33.91435,
39,4291200,4984,9570,33.806374,
40,4392800,5009,9570,33.69567,
41,4327200,4852,9570,33.58224,
42,4254400,4753,9570,33.466087,
43,4217700,4728,9570,33.34721,
44,4365400,4996,9570,33.22561,
45,4486800,5112,9570,33.10128,
46,4343000,4923,9570,32.974224,
47,4273700,4760,9570,32.844448,
48,4403100,5001,9570,32.711945,
49,4473500,5139,9570,32.576717,
50,4394600,4996,9570,32.438763,
51,4395100,4871,9570,32.298084,
52,4417100,5093,9570,32.154682,
53,4358900,4972,9570,32.008553,
54,4275500,4792,9570,31.8597,
55,4292100,4796,9570,31.70812,
56,4374300,4911,9570,31.553818,
57,4253000,4780,9570,31.39679,
58,4229000,4734,9570,31.237036,
59,4238900,4748,9570,31.074558,
60,4208200,4704,9570,30.909355,
61,4171900,4678,9570,30.741426,
62,4323200,4666,9570,30.570772,
63,4194700,4609,9570,30.397394,
64,4229000,4623,9570,30.22129,
65,4251900,4625,9570,30.042463,
66,4235200,4579,9570,29.860909,
67,4196900,4610,9570,29.67663,
68,4111300,4550,9570,29.489626,
69,4230700,4524,9570,29.299898,
70,4143400,4535,9570,29.107445,
71,4077300,4528,9570,28.912266,
72,4103800,4533,9570,28.714361,
73,4100900,4529,9570,28.745474,
74,4107500,4530,9570,28.77165,
75,4054300,4529,9570,28.79591,
76,4048500,4524,9570,28.816788,
77,4128100,4517,9570,28.83433,
78,4071100,4520,9570,28.848581,
79,4414200,4514,9568,28.862343,
80,4328100,4519,9568,28.873486,
81,4084100,4518,9568,28.88324,
82,4095800,4518,9568,28.892859,
83,4045800,4516,9568,28.90075,
84,4100200,4517,9567,28.907646,
85,4095100,4508,9565,28.914537,
86,4095600,4519,9565,28.920815,
87,4064800,4516,9565,28.92588,
88,4334400,4518,9565,28.930962,
89,4128700,4519,9565,28.935617,
90,4073200,4514,9565,28.939785,
91,4080300,4516,9565,28.943506,
92,4065700,4512,9565,28.946703,
93,4062900,4508,9565,28.949604,
94,4062200,4522,9565,28.952375,
95,4196300,4519,9565,28.954878,
96,4289000,4521,9565,28.957104,
97,4001800,4517,9565,28.9592,
98,4099700,4515,9565,28.960983,
99,4127700,4520,9565,28.96278,
100,4097700,4521,9564,28.964386,
101,4128800,4521,9564,28.965906,
102,4097000,4521,9563,28.967402,
103,4160400,4520,9563,28.968788,
104,4264100,4522,9563,28.969984,
105,4182900,4518,9563,28.971111,
106,4087300,4521,9563,28.97221,
107,4058100,4523,9563,28.97325,
108,4035600,4515,9562,28.974203,
109,4059300,4517,9562,28.975157,
110,4072100,4516,9562,28.976004,
111,4199500,4515,9562,28.976778,
112,4130800,4519,9562,28.977486,
113,4078800,4520,9562,28.978231,
114,4121600,4520,9562,28.97893,
115,4084900,4519,9561,28.979557,
116,4044000,4526,9561,28.980162,
117,4023000,4519,9561,28.980728,
118,4138800,4521,9561,28.981266,
119,4080100,4517,9561,28.981787,
120,4053900,4523,9561,28.982262,
121,4395300,4523,9561,28.98269,
122,4346900,4521,9561,28.983118,
123,4092900,4522,9561,28.98351,
124,4050100,4518,9561,28.98387,
125,4076100,4521,9561,28.984217,
126,4076700,4521,9561,28.984558,
127,4047700,4517,9561,28.98485,
128,4113500,4522,9561,28.98514,
129,4044100,4521,9561,28.98541,
130,4022600,4519,9560,28.98568,
131,4055000,4526,9559,28.98593,
132,4047400,4524,9559,28.986149,
133,4113300,4516,9559,28.98636,
134,4083000,4520,9559,28.98657,
135,4085700,4522,9559,28.986776,
136,4080500,4519,9559,28.986969,
137,4094500,4521,9559,28.987137,
138,4033500,4521,9559,28.9873,
139,4027600,4521,9559,28.987465,
140,4089500,4518,9559,28.987623,
141,4050200,4523,9559,28.987766,
142,4076200,4524,9559,28.987892,
143,4079700,4523,9559,28.98802,
144,4049000,4520,9559,28.988153,
145,4102400,4519,9559,28.98826,
146,4039600,4520,9559,28.988363,
147,4061900,4522,9559,28.988459,
148,4066200,4517,9559,28.988543,
149,4078300,4519,9559,28.988642,
150,4108600,4522,9559,28.98874,
151,4057500,4520,9559,28.98882,
152,4095700,4523,9559,28.988888,
153,4044400,4523,9559,28.988964,
154,4070000,4524,9559,28.989048,
155,4075300,4521,9559,28.989117,
156,4034900,4520,9559,28.989172,
157,4097500,4519,9559,28.989218,
158,4049000,4519,9559,28.98927,
159,4097600,4518,9559,28.98933,
160,4129700,4519,9559,28.989386,
161,4070300,4521,9559,28.989433,
162,4038300,4518,9559,28.989477,
163,4026500,4520,9559,28.989515,
164,4059600,4520,9559,28.989552,
165,4110700,4519,9559,28.989582,
166,4085700,4516,9559,28.989613,
167,4107400,4518,9559,28.989645,
168,4101700,4518,9559,28.989676,
169,4021100,4514,9559,28.9897,
170,4078600,4515,9559,28.989725,
171,4090600,4512,9559,28.989754,
172,4128100,4513,9559,28.98977,
173,4039300,4515,9559,28.989801,
174,4185900,4515,9559,28.989834,
175,4105600,4515,9559,28.989851,
176,4036800,4514,9559,28.989864,
177,4060100,4516,9559,28.989883,
178,4308500,4515,9559,28.989906,
179,4395500,4515,9559,28.989923,
180,4023800,4515,9559,28.98993,
181,4047300,4517,9559,28.98993,
182,4068300,4517,9559,28.98994,
183,4055800,4516,9559,28.989958,
184,4090400,4516,9559,28.98997,
185,4020900,4514,9559,28.989977,
186,4074500,4515,9559,28.98999,
187,4101800,4516,9559,28.990005,
188,4079700,4519,9559,28.990013,
189,4075000,4519,9559,28.990015,
190,4094600,4519,9559,28.990025,
191,4103500,4520,9559,28.99004,
192,4066500,4522,9559,28.990047,
193,4085900,4521,9559,28.990053,
194,4123300,4522,9559,28.990055,
195,4050800,4521,9559,28.99006,
196,4184600,4522,9559,28.99006,
