step,wall_ns,manifolds,pairs,top_y,awake
0,4984900,4495,9570,35.998295,
1,4252200,4196,9570,35.993866,
2,3725000,4142,9570,35.986713,
3,3725300,4111,9570,35.976837,
4,4213500,4100,9570,35.964233,
5,4921600,4087,9570,35.948902,
6,4100700,4079,9570,35.93085,
7,3758800,4073,9570,35.910072,
8,3732800,4066,9570,35.88657,
9,4166900,4061,9570,35.86034,
10,3805100,4053,9570,35.831387,
11,3841100,4054,9570,35.79971,
12,3782200,4056,9570,35.765305,
13,3735300,4055,9570,35.728176,
14,3705200,4060,9570,35.688324,
15,3753900,4057,9570,35.64575,
16,3785800,4055,9570,35.600445,
17,4574900,4051,9570,35.552414,
18,3774900,4049,9570,35.501663,
19,3768900,4050,9570,35.448185,
20,4120600,4829,9570,35.391983,
21,4250000,4715,9570,35.333054,
22,5311800,4565,9570,35.2714,
23,5022800,4496,9570,35.207024,
24,4176400,4419,9570,35.13992,
25,4254900,4390,9570,35.07009,
26,3927800,4353,9570,34.997536,
27,3841200,4336,9570,34.92226,
28,4205900,4982,9570,34.844257,
29,4231100,4783,9570,34.763527,
30,4064200,4670,9570,34.680073,
31,4110600,4639,9570,34.593895,
32,4129100,4573,9570,34.504993,
33,4218300,4491,9570,34.413364,
34,4200100,5031,9570,34.31901,
35,4162400,4806,9570,34.221935,
36,4084200,4646,9570,34.12213,
37,4143400,4535,9570,34.019604,
38,5251100,4502,9570,33.91435,
39,5167600,4984,9570,33.806374,
40,4456800,5009,9570,33.69567,
41,4494300,4852,9570,33.58224,
42,4204100,4753,9570,33.466087,
43,4149900,4728,9570,33.34721,
44,4255400,4996,9570,33.22561,
45,4326000,5112,9570,33.10128,
46,4276000,4923,9570,32.974224,
47,4191500,4760,9570,32.844448,
48,4356300,5001,9570,32.711945,
49,4757800,5139,9570,32.576717,
50,4278800,4996,9570,32.438763,
51,4330500,4871,9570,32.298084,
52,5577700,5093,9570,32.154682,
53,5654800,4972,9570,32.008553,
54,5150300,4792,9570,31.8597,
55,4388800,4796,9570,31.70812,
56,4325500,4911,9570,31.553818,
57,4222100,4780,9570,31.39679,
58,4134100,4734,9570,31.237036,
59,4143800,4748,9570,31.074558,
60,4131600,4704,9570,30.909355,
61,4203600,4678,9570,30.741426,
62,4343100,4666,9570,30.570772,
63,4693600,4609,9570,30.397394,
64,4196300,4623,9570,30.22129,
65,4132200,4625,9570,30.042463,
66,4054900,4579,9570,29.860909,
67,4528200,4610,9570,29.67663,
68,5696200,4550,9570,29.489626,
69,4636200,4524,9570,29.299898,
70,4295900,4535,9570,29.107445,
71,4030600,4528,9570,28.912266,
72,4131400,4533,9570,28.714361,
73,3989600,4529,9570,28.745474,
74,3978400,4530,9570,28.77165,
75,3959500,4529,9570,28.79591,
76,4007900,4524,9570,28.816788,
77,3989500,4517,9570,28.83433,
78,4054800,4520,9570,28.848581,
79,4413600,4514,9568,28.862343,
80,4135500,4519,9568,28.873486,
81,4043600,4518,9568,28.88324,
82,4663000,4518,9568,28.892859,
83,4618800,4516,9568,28.90075,
84,4012000,4517,9567,28.907646,
85,4855200,4508,9565,28.914537,
86,4232300,4519,9565,28.920815,
87,4353300,4516,9565,28.92588,
88,4064100,4518,9565,28.930962,
89,4032800,4519,9565,28.935617,
90,4067700,4514,9565,28.939785,
91,4051600,4516,9565,28.943506,
92,4015200,4512,9565,28.946703,
93,4379800,4508,9565,28.949604,
94,4267300,4522,9565,28.952375,
95,4038300,4519,9565,28.954878,
96,4006400,4521,9565,28.957104,
97,4000800,4517,9565,28.9592,
98,4210700,4515,9565,28.960983,
99,5300300,4520,9565,28.96278,
100,4011200,4521,9564,28.964386,
101,4312700,4521,9564,28.965906,
102,4784900,4521,9563,28.967402,
103,4018500,4520,9563,28.968788,
104,4177300,4522,9563,28.969984,
105,4015500,4518,9563,28.971111,
106,4137800,4521,9563,28.97221,
107,4009400,4523,9563,28.97325,
108,3977700,4515,9562,28.974203,
109,4034700,4517,9562,28.975157,
110,4201000,4516,9562,28.976004,
111,4011500,4515,9562,28.976778,
112,4015800,4519,9562,28.977486,
113,3982700,4520,9562,28.978231,
114,4022000,4520,9562,28.97893,
115,4879300,4519,9561,28.979557,
116,5300000,4526,9561,28.980162,
117,5171600,4519,9561,28.980728,
118,4398700,4521,9561,28.981266,
119,4077400,4517,9561,28.981787,
120,4121800,4523,9561,28.982262,
121,4017200,4523,9561,28.98269,
122,4142700,4521,9561,28.983118,
123,4068100,4522,9561,28.98351,
124,4036300,4518,9561,28.98387,
125,4101000,4521,9561,28.984217,
126,4389100,4521,9561,28.984558,
127,4141000,4517,9561,28.98485,
128,4008300,4522,9561,28.98514,
129,4540900,4521,9561,28.98541,
130,4831200,4519,9560,28.98568,
131,4559500,4526,9559,28.98593,
132,4554700,4524,9559,28.986149,
133,4903700,4516,9559,28.98636,
134,4069900,4520,9559,28.98657,
135,3982800,4522,9559,28.986776,
136,4011000,4519,9559,28.986969,
137,4007000,4521,9559,28.987137,
138,4053200,4521,9559,28.9873,
139,4033100,4521,9559,28.987465,
140,4143100,4518,9559,28.987623,
141,4416900,4523,9559,28.987766,
142,4052000,4524,9559,28.987892,
143,4046500,4523,9559,28.98802,
144,3985100,4520,9559,28.988153,
145,4121700,4519,9559,28.98826,
146,4837700,4520,9559,28.988363,
147,5333900,4522,9559,28.988459,
148,4290500,4517,9559,28.988543,
149,4647100,4519,9559,28.988642,
150,4045400,4522,9559,28.98874,
151,4043600,4520,9559,28.98882,
152,4033600,4523,9559,28.988888,
153,4162100,4523,9559,28.988964,
154,4028600,4524,9559,28.989048,
155,4000200,4521,9559,28.989117,
156,4066800,4520,9559,28.989172,
157,4348400,4519,9559,28.989218,
158,4197100,4519,9559,28.98927,
159,4030600,4518,9559,28.98933,
160,4914800,4519,9559,28.989386,
161,5150600,4521,9559,28.989433,
162,4467900,4518,9559,28.989477,
163,4122800,4520,9559,28.989515,
164,4294500,4520,9559,28.989552,
165,4464400,4519,9559,28.989582,
166,4119300,4516,9559,28.989613,
167,4103000,4518,9559,28.989645,
168,4084700,4518,9559,28.989676,
169,4032000,4514,9559,28.9897,
170,4172600,4515,9559,28.989725,
171,5003200,4512,9559,28.989754,
172,5230000,4513,9559,28.98977,
173,4906200,4515,9559,28.989801,
174,4464300,4515,9559,28.989834,
175,4248300,4515,9559,28.989851,
176,6154100,4514,9559,28.989864,
177,5031400,4516,9559,28.989883,
178,5143200,4515,9559,28.989906,
179,5166800,4515,9559,28.989923,
180,4307700,4515,9559,28.98993,
181,4490600,4517,9559,28.98993,
182,4028500,4517,9559,28.98994,
183,4086700,4516,9559,28.989958,
184,4007400,4516,9559,28.98997,
185,4058600,4514,9559,28.989977,
186,4576600,4515,9559,28.98999,
187,4216800,4516,9559,28.990005,
188,4051300,4519,9559,28.990013,
189,4028300,4519,9559,28.990015,
190,4023300,4519,9559,28.990025,
191,4378000,4520,9559,28.99004,
192,4915800,4522,9559,28.990047,
193,4286900,4521,9559,28.990053,
194,4892400,4522,9559,28.990055,
195,4159300,4521,9559,28.99006,
196,4059200,4522,9559,28.99006,
197,4037300,4523,9559,28.990076,
198,4069000,4523,9559,28.990084,
199,4167300,4524,9559,28.990086,
200,4087600,4522,9559,28.990088,
201,4103900,4522,9559,28.990097,
202,4234300,4521,9559,28.99011,
203,4426200,4525,9559,28.990112,
204,4108100,4526,9559,28.990108,
205,4172000,4524,9559,28.990114,
206,4847100,4523,9559,28.99012,
207,6001400,4523,9559,28.990118,
208,4572900,4523,9559,28.990112,
209,4621600,4522,9559,28.990116,
210,4331600,4522,9559,28.990122,
211,4157400,4523,9559,28.990128,
212,4118800,4523,9559,28.990124,
213,4062700,4523,9559,28.99013,
214,4154000,4524,9559,28.990137,
215,4155700,4524,9559,28.990137,
216,4254200,4526,9559,28.990137,
217,4467000,4524,9559,28.990143,
218,4108800,4525,9559,28.990149,
219,4130700,4524,9559,28.990149,
220,4092100,4523,9559,28.990152,
221,4253400,4522,9559,28.99016,
222,5867900,4522,9559,28.990164,
223,4238300,4520,9559,28.990162,
224,4495200,4521,9559,28.99016,
225,4346700,4522,9559,28.990166,
226,4349500,4521,9559,28.990166,
227,4274700,4522,9559,28.990166,
228,4114300,4521,9559,28.990168,
229,4059600,4519,9559,28.990175,
230,4186500,4521,9559,28.990171,
231,4103800,4522,9559,28.990166,
232,4192400,4523,9559,28.990173,
233,4232400,4527,9559,28.990175,
234,4129400,4523,9559,28.990168,
235,4115500,4525,9559,28.99017,
236,4913100,4525,9559,28.990175,
237,4940000,4526,9559,28.990175,
238,4807800,4525,9559,28.990175,
239,4267300,4524,9559,28.990175,
240,4493100,4524,9559,28.990175,
241,4398500,4521,9559,28.990175,
242,4389500,4520,9559,28.990175,
243,4141400,4520,9559,28.990175,
244,4116400,4521,9559,28.990171,
245,4110300,4520,9559,28.990164,
246,4188000,4521,9559,28.990164,
247,4210200,4521,9559,28.990164,
248,4115700,4520,9559,28.990164,
249,4110900,4522,9559,28.990164,
250,4072500,4521,9559,28.990164,
251,4099400,4522,9559,28.990164,
252,6385200,4523,9559,28.990164,
253,4536400,4523,9559,28.99017,
254,4381000,4523,9559,28.99017,
255,4571000,4521,9559,28.99017,
256,4163000,4519,9559,28.99017,
257,4099300,4519,9559,28.990171,
258,4076500,4520,9559,28.990177,
259,4179000,4520,9559,28.990177,
260,4085300,4520,9559,28.990177,
261,4063100,4519,9559,28.99018,
262,4094600,4518,9559,28.990187,
263,4363500,4518,9559,28.990187,
264,4080900,4518,9559,28.990187,
265,4043800,4518,9559,28.990187,
266,4031700,4518,9559,28.990187,
267,4028800,4518,9559,28.990187,
268,4622700,4518,9559,28.990187,
269,4809800,4518,9559,28.990187,
270,4191100,4518,9559,28.990187,
271,4085200,4518,9559,28.990187,
272,4109600,4518,9559,28.990187,
273,4052100,4518,9559,28.990187,
274,4086500,4518,9559,28.990187,
275,4150000,4518,9559,28.990187,
276,4017300,4519,9559,28.990183,
277,4079500,4518,9559,28.990183,
278,4017900,4518,9559,28.990183,
279,4105500,4519,9559,28.990183,
280,4405200,4518,9559,28.990183,
281,4050200,4520,9559,28.990183,
282,4044300,4520,9559,28.990185,
283,4984100,4518,9559,28.990185,
284,4451700,4518,9559,28.990185,
285,4126700,4519,9559,28.990185,
286,4165700,4520,9559,28.990185,
287,4324000,4519,9559,28.990185,
288,4229500,4520,9559,28.990185,
289,4296000,4518,9559,28.990185,
290,4318500,4517,9559,28.99019,
291,4194100,4517,9559,28.99019,
292,4172700,4519,9559,28.99019,
293,4104200,4517,9559,28.990187,
294,4690800,4517,9559,28.990185,
295,4409800,4516,9559,28.990192,
296,4235400,4516,9559,28.990198,
297,4163400,4515,9559,28.990198,
298,4087600,4515,9559,28.990196,
299,4383200,4515,9559,28.990194,
300,5865100,4515,9559,28.990194,
301,4666900,4515,9559,28.990194,
302,5596200,4515,9559,28.990194,
303,4224100,4516,9559,28.990194,
304,4265800,4515,9559,28.990194,
305,4117100,4517,9559,28.990194,
306,4114200,4517,9559,28.990194,
307,4145500,4517,9559,28.990194,
308,4057100,4516,9559,28.990194,
309,4127900,4516,9559,28.990194,
310,4612900,4516,9559,28.990194,
311,4061600,4516,9559,28.990194,
312,4051100,4515,9559,28.990194,
313,4164200,4515,9559,28.990194,
314,5040400,4515,9559,28.990194,
315,4076100,4517,9559,28.990194,
316,4260500,4515,9559,28.990194,
317,4285700,4517,9559,28.990194,
318,4143000,4516,9559,28.990192,
319,4090000,4516,9559,28.99019,
320,4059700,4515,9559,28.990196,
321,4034400,4515,9559,28.990198,
322,4061200,4517,9559,28.990198,
323,4174000,4517,9559,28.990198,
324,4216900,4517,9559,28.990198,
325,4459200,4516,9559,28.990194,
326,4426500,4516,9559,28.990189,
327,4077100,4516,9559,28.990189,
