step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,13292100,4495,9570,35.998295,,0,9,9,108,144055,23766,13287,13148045,16,146,3858,1,363940,1,511,1,3055559,1,3913632,1,528891,1,5262457,1,19197,1,2645289,1,86048,4,1125765,4,122409,4,495717,4,664290,8,1146721,108,0,0,8006,1,85757,1,5411,1,0,0,0,0,0,0,1913812,1,646771,1,497841,1,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,0,0,0,0,0,0
1,6375700,4196,9570,35.993866,,0,8,8,96,52985,2785,4259,6322715,16,142,541,1,43896,1,361,1,2550985,1,760728,1,195992,1,2753319,1,16893,1,1201814,1,21312,4,557347,4,95156,4,284344,4,502610,8,782695,96,0,0,9188,1,75467,1,3296,1,0,0,0,0,0,0,629653,1,118631,1,6312,1,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,0,0,0,0,0,0
2,6760800,4142,9570,35.986713,,0,8,8,96,64732,5471,9279,6696068,16,142,3337,1,47192,1,180,1,1976504,1,955093,1,184209,1,3501468,1,28085,1,1190722,1,39717,4,793828,4,115625,4,440309,4,814027,8,1245057,96,0,0,8557,1,88923,1,4288,1,0,0,0,0,0,0,711698,1,213376,1,7595,1,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,0,0,0,0,0,0
3,6883300,4111,9570,35.976837,,0,8,8,96,79793,5902,7875,6803507,16,142,571,1,34938,1,311,1,2086940,1,1022534,1,221883,1,3408377,1,27955,1,1246150,1,37283,4,909393,4,115615,4,349381,4,632433,8,973939,96,0,0,7805,1,99895,1,4519,1,0,0,0,0,0,0,778508,1,220079,1,10971,1,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,0,0,0,0,0,0
4,6956900,4100,9570,35.964233,,0,8,8,96,78963,4318,3026,6877937,16,129,872,1,43184,1,2274,1,3306037,1,753374,1,150544,1,2606172,1,15480,1,988037,1,24197,4,530134,4,101157,4,288573,4,586243,8,871790,96,0,0,6423,1,73163,1,3928,1,0,0,0,0,0,0,618401,1,119864,1,4409,1,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,0,0,0,0,0,0
5,6186400,4087,9570,35.948902,,0,8,8,96,95332,7915,5972,6091068,16,142,581,1,29778,1,190,1,2063073,1,1042433,1,163920,1,2774280,1,16813,1,1042884,1,30359,4,629558,4,106207,4,305215,4,553559,8,852803,96,0,0,6092,1,88082,1,4409,1,0,0,0,0,0,0,779430,1,232734,1,6262,1,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,0,0,0,0,0,0
6,5937600,4079,9570,35.93085,,0,8,8,96,64868,5290,7154,5872732,16,142,431,1,37132,1,992,1,2162848,1,829518,1,227373,1,2595441,1,18997,1,988939,1,22925,4,600040,4,90977,4,294174,4,486358,8,773378,96,0,0,6042,1,95075,1,5621,1,0,0,0,0,0,0,655538,1,139141,1,5661,1,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,0,0,0,0,0,0
7,7162500,4073,9570,35.910072,,0,8,8,96,133234,4930,4970,7029266,16,142,902,1,33034,1,581,1,2183548,1,843505,1,375803,1,3557326,1,34567,1,1375182,1,35339,4,882110,4,128070,4,360212,4,583486,8,938729,96,0,0,7414,1,173468,1,7114,1,0,0,0,0,0,0,641962,1,168739,1,7986,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,0,0,0,0,0,0
8,11226000,4066,9570,35.88657,,0,8,8,96,172231,14699,6523,11053769,16,127,651,1,55198,1,361,1,3113071,1,1367904,1,495596,1,6006029,1,14959,1,2250579,1,61871,4,1736556,4,181474,4,611012,4,1052609,8,1657098,96,0,0,7715,1,83343,1,6172,1,0,0,0,0,0,0,1093339,1,214238,1,10891,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,0,0,0,0,0,0
9,7196600,4061,9570,35.86034,,0,8,8,96,63169,6372,4228,7133431,16,142,411,1,31471,1,451,1,2754031,1,769601,1,253164,1,3290697,1,33606,1,1116076,1,36301,4,938851,4,127819,4,332749,4,570472,8,898993,96,0,0,7174,1,148570,1,6312,1,0,0,0,0,0,0,608487,1,125475,1,10470,1,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,0,0,0,0,0,0
