step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,8723800,4495,9570,35.998295,,0,9,9,108,126123,7074,5040,8597677,16,151,591,1,122998,1,361,1,2050568,1,2560324,1,289129,1,3551222,1,22484,1,751424,1,9759,4,291234,4,70567,4,800058,4,1588935,8,2383953,108,0,0,3968,1,25439,1,2765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0
1,8202900,4196,9570,35.993866,,0,8,8,96,67137,2355,4619,8135763,16,139,271,1,51420,1,100,1,1949092,1,2701027,1,132146,1,3289996,1,11713,1,636001,1,9198,4,313747,4,68352,4,752135,4,1481637,8,2229154,96,0,0,3507,1,20409,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0
2,7442900,4142,9570,35.986713,,0,8,8,96,55535,1433,5401,7387365,16,139,240,1,25319,1,90,1,1954422,1,2414162,1,88291,1,2892718,1,12123,1,321793,1,7775,4,265474,4,66148,4,735393,4,1454014,8,2184006,96,0,0,4218,1,33916,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0
3,7485800,4111,9570,35.976837,,0,8,8,96,57295,1323,6382,7428505,16,139,511,1,28064,1,90,1,1975453,1,2428970,1,88551,1,2895754,1,11112,1,340689,1,7535,4,263981,4,65557,4,739992,4,1451699,8,2185309,96,0,0,3276,1,19187,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0
4,7494900,4100,9570,35.964233,,0,8,8,96,92406,7725,2205,7402494,16,139,240,1,24628,1,90,1,1954863,1,2364826,1,103941,1,2935370,1,18536,1,287767,1,7515,4,268039,4,67611,4,733449,4,1457100,8,2188344,96,0,0,6372,1,94262,1,5531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0
5,10332200,4087,9570,35.948902,,0,8,8,96,153103,5651,3157,10179097,16,139,4248,1,126134,1,261,1,2406196,1,3309945,1,283889,1,4031742,1,16682,1,1149054,1,23756,4,343845,4,75406,4,781011,4,1497307,8,2275162,96,0,0,14418,1,136033,1,5260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0
6,8032600,4079,9570,35.93085,,0,8,8,96,46116,1563,2114,7986484,16,139,952,1,31471,1,160,1,1918753,1,2877298,1,130342,1,3013391,1,14117,1,448137,1,7725,4,263530,4,65366,4,732127,4,1452210,8,2182223,96,0,0,3827,1,36370,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0
7,7768200,4073,9570,35.910072,,0,8,8,96,45977,1252,2015,7722223,16,139,651,1,36270,1,40,1,1915336,1,2760602,1,86608,1,2911444,1,11272,1,356009,1,7495,4,263149,4,65777,4,735473,4,1445778,8,2179236,96,0,0,3276,1,30669,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0
8,7786000,4066,9570,35.88657,,0,8,8,96,60160,1854,2324,7725840,16,139,311,1,25129,1,60,1,1922771,1,2575444,1,86187,1,3102874,1,13065,1,508284,1,13917,4,276936,4,66188,4,741545,4,1444786,8,2184006,96,0,0,3737,1,42783,1,2846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0
9,8146900,4061,9570,35.86034,,0,8,8,96,37397,1733,2235,8109503,16,139,110,1,26331,1,40,1,1914014,1,2828123,1,111436,1,3218157,1,11292,1,417077,1,10340,4,365587,4,71088,4,790730,4,1537435,8,2325930,96,0,0,3006,1,18696,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0
