step,wall_ns,manifolds,pairs,top_y,awake
0,5926200,4495,9570,35.998295,
1,4124200,4196,9570,35.993866,
2,3911300,4142,9570,35.986713,
3,4522400,4111,9570,35.976837,
4,3961500,4100,9570,35.964233,
5,3924300,4087,9570,35.948902,
6,4282700,4079,9570,35.93085,
7,4141000,4073,9570,35.910072,
8,3919300,4066,9570,35.88657,
9,3899900,4061,9570,35.86034,
10,3924500,4053,9570,35.831387,
11,4042000,4054,9570,35.79971,
12,4242000,4056,9570,35.765305,
13,3953500,4055,9570,35.728176,
14,3941400,4060,9570,35.688324,
15,4156400,4057,9570,35.64575,
16,3929600,4055,9570,35.600445,
17,3913400,4051,9570,35.552414,
18,4037200,4049,9570,35.501663,
19,3961400,4050,9570,35.448185,
20,4626700,4829,9570,35.391983,
21,4543200,4715,9570,35.333054,
22,4197900,4565,9570,35.2714,
23,4159200,4496,9570,35.207024,
24,4112300,4419,9570,35.13992,
25,4793400,4390,9570,35.07009,
26,4384300,4353,9570,34.997536,
27,4288100,4336,9570,34.92226,
28,4463500,4982,9570,34.844257,
29,4283900,4783,9570,34.763527,
30,4284700,4670,9570,34.680073,
31,4760400,4639,9570,34.593895,
32,4431100,4573,9570,34.504993,
33,4347700,4491,9570,34.413364,
34,4872100,5031,9570,34.31901,
35,4458400,4806,9570,34.221935,
36,4476500,4646,9570,34.12213,
37,4350500,4535,9570,34.019604,
38,4446300,4502,9570,33.91435,
39,4919100,4984,9570,33.806374,
40,4487000,5009,9570,33.69567,
41,4456500,4852,9570,33.58224,
42,4614400,4753,9570,33.466087,
43,4404700,4728,9570,33.34721,
44,4446400,4996,9570,33.22561,
45,5071000,5112,9570,33.10128,
46,5281900,4923,9570,32.974224,
47,5927900,4760,9570,32.844448,
48,6610200,5001,9570,32.711945,
49,7015300,5139,9570,32.576717,
50,4669600,4996,9570,32.438763,
51,5391200,4871,9570,32.298084,
52,4674500,5093,9570,32.154682,
53,4518100,4972,9570,32.008553,
54,4364900,4792,9570,31.8597,
55,4710500,4796,9570,31.70812,
56,5111100,4911,9570,31.553818,
57,4726100,4780,9570,31.39679,
58,4625800,4734,9570,31.237036,
59,4469500,4748,9570,31.074558,
60,4503600,4704,9570,30.909355,
61,4694300,4678,9570,30.741426,
62,5443600,4666,9570,30.570772,
63,5390100,4609,9570,30.397394,
64,5265200,4623,9570,30.22129,
65,5380300,4625,9570,30.042463,
66,4483800,4579,9570,29.860909,
67,4474900,4610,9570,29.67663,
68,4625600,4550,9570,29.489626,
69,4798800,4524,9570,29.299898,
70,4255900,4535,9570,29.107445,
71,4218600,4528,9570,28.912266,
72,4239100,4533,9570,28.714361,
73,4657600,4529,9570,28.745474,
74,4348700,4530,9570,28.77165,
75,4230000,4529,9570,28.79591,
76,4889000,4524,9570,28.816788,
77,6048100,4517,9570,28.83433,
78,4819900,4520,9570,28.848581,
79,5020500,4514,9568,28.862343,
80,4213300,4519,9568,28.873486,
81,4261100,4518,9568,28.88324,
82,4252400,4518,9568,28.892859,
83,4431800,4516,9568,28.90075,
84,4555100,4517,9567,28.907646,
85,4308900,4508,9565,28.914537,
86,4363200,4519,9565,28.920815,
87,4530500,4516,9565,28.92588,
88,4204600,4518,9565,28.930962,
89,4378300,4519,9565,28.935617,
90,5713400,4514,9565,28.939785,
91,5405200,4516,9565,28.943506,
92,4493600,4512,9565,28.946703,
93,4666600,4508,9565,28.949604,
94,4559300,4522,9565,28.952375,
95,4382900,4519,9565,28.954878,
96,4241900,4521,9565,28.957104,
97,4564900,4517,9565,28.9592,
98,4251800,4515,9565,28.960983,
99,4261000,4520,9565,28.96278,
100,4228200,4521,9564,28.964386,
101,4278600,4521,9564,28.965906,
