step,wall_ns,manifolds,pairs,top_y,awake
0,5383700,4495,9570,35.998295,
1,3847600,4196,9570,35.993866,
2,4473900,4142,9570,35.986713,
3,3730300,4111,9570,35.976837,
4,3809700,4100,9570,35.964233,
5,4626400,4087,9570,35.948902,
6,5551600,4079,9570,35.93085,
7,5404200,4073,9570,35.910072,
8,4442700,4066,9570,35.88657,
9,4478100,4061,9570,35.86034,
10,4692400,4053,9570,35.831387,
11,4022000,4054,9570,35.79971,
12,4003600,4056,9570,35.765305,
13,4084000,4055,9570,35.728176,
14,3885000,4060,9570,35.688324,
15,3817700,4057,9570,35.64575,
16,3770000,4055,9570,35.600445,
17,3842200,4051,9570,35.552414,
18,3906800,4049,9570,35.501663,
19,3699600,4050,9570,35.448185,
20,4078300,4829,9570,35.391983,
21,4980600,4715,9570,35.333054,
22,4313800,4565,9570,35.2714,
23,4451400,4496,9570,35.207024,
24,4732600,4419,9570,35.13992,
25,4439800,4390,9570,35.07009,
26,3918100,4353,9570,34.997536,
27,3888500,4336,9570,34.92226,
28,4435500,4982,9570,34.844257,
29,4154200,4783,9570,34.763527,
30,4321300,4670,9570,34.680073,
31,4069200,4639,9570,34.593895,
32,4044800,4573,9570,34.504993,
33,4473200,4491,9570,34.413364,
34,4304800,5031,9570,34.31901,
35,4193700,4806,9570,34.221935,
36,4084700,4646,9570,34.12213,
37,4034700,4535,9570,34.019604,
38,4432100,4502,9570,33.91435,
39,4341600,4984,9570,33.806374,
40,4318600,5009,9570,33.69567,
41,4368000,4852,9570,33.58224,
42,4257200,4753,9570,33.466087,
43,4268100,4728,9570,33.34721,
44,4250700,4996,9570,33.22561,
45,4742200,5112,9570,33.10128,
46,4260000,4923,9570,32.974224,
47,4350900,4760,9570,32.844448,
48,4274100,5001,9570,32.711945,
49,4678300,5139,9570,32.576717,
50,4512300,4996,9570,32.438763,
51,4245300,4871,9570,32.298084,
52,4413000,5093,9570,32.154682,
53,4399000,4972,9570,32.008553,
54,4225200,4792,9570,31.8597,
55,4218800,4796,9570,31.70812,
56,4295200,4911,9570,31.553818,
57,4634000,4780,9570,31.39679,
58,4320900,4734,9570,31.237036,
59,4235200,4748,9570,31.074558,
60,4267400,4704,9570,30.909355,
61,4171200,4678,9570,30.741426,
62,4135300,4666,9570,30.570772,
63,4210800,4609,9570,30.397394,
64,4142200,4623,9570,30.22129,
65,4161100,4625,9570,30.042463,
66,4146000,4579,9570,29.860909,
67,4879600,4610,9570,29.67663,
68,4042200,4550,9570,29.489626,
69,4317900,4524,9570,29.299898,
70,4122900,4535,9570,29.107445,
71,4064700,4528,9570,28.912266,
72,4449000,4533,9570,28.714361,
73,4002300,4529,9570,28.745474,
74,4074200,4530,9570,28.77165,
75,4152100,4529,9570,28.79591,
76,4021800,4524,9570,28.816788,
77,4130600,4517,9570,28.83433,
78,4310800,4520,9570,28.848581,
79,4315500,4514,9568,28.862343,
80,4839500,4519,9568,28.873486,
81,4127500,4518,9568,28.88324,
82,4046200,4518,9568,28.892859,
83,4205900,4516,9568,28.90075,
84,4825800,4517,9567,28.907646,
85,4141000,4508,9565,28.914537,
86,4146600,4519,9565,28.920815,
87,4074800,4516,9565,28.92588,
88,4231200,4518,9565,28.930962,
89,4115200,4519,9565,28.935617,
90,3992800,4514,9565,28.939785,
91,4077600,4516,9565,28.943506,
92,4145600,4512,9565,28.946703,
93,4056100,4508,9565,28.949604,
94,4073900,4522,9565,28.952375,
95,4080300,4519,9565,28.954878,
96,4073800,4521,9565,28.957104,
97,4143100,4517,9565,28.9592,
98,4032800,4515,9565,28.960983,
99,4025400,4520,9565,28.96278,
100,4386400,4521,9564,28.964386,
101,4016700,4521,9564,28.965906,
102,4021700,4521,9563,28.967402,
103,4011800,4520,9563,28.968788,
104,4359700,4522,9563,28.969984,
105,3998000,4518,9563,28.971111,
106,4036000,4521,9563,28.97221,
107,4098100,4523,9563,28.97325,
108,4081800,4515,9562,28.974203,
109,4079900,4517,9562,28.975157,
110,4040700,4516,9562,28.976004,
111,3969200,4515,9562,28.976778,
112,3955700,4519,9562,28.977486,
113,4072100,4520,9562,28.978231,
114,4036000,4520,9562,28.97893,
115,3979000,4519,9561,28.979557,
116,4023000,4526,9561,28.980162,
117,4696300,4519,9561,28.980728,
118,4087600,4521,9561,28.981266,
119,3996700,4517,9561,28.981787,
