step,wall_ns,manifolds,pairs,top_y,awake
0,5105300,4495,9570,35.998295,
1,4325700,4196,9570,35.993866,
2,3762000,4142,9570,35.986713,
3,3939900,4111,9570,35.976837,
4,4776000,4100,9570,35.964233,
5,4402600,4087,9570,35.948902,
6,3948000,4079,9570,35.93085,
7,4195100,4073,9570,35.910072,
8,3766300,4066,9570,35.88657,
9,3748500,4061,9570,35.86034,
10,3780900,4053,9570,35.831387,
11,3877600,4054,9570,35.79971,
12,3765500,4056,9570,35.765305,
13,3736300,4055,9570,35.728176,
14,4007100,4060,9570,35.688324,
15,3876400,4057,9570,35.64575,
16,4143300,4055,9570,35.600445,
17,3715600,4051,9570,35.552414,
18,3801000,4049,9570,35.501663,
19,4119500,4050,9570,35.448185,
20,4296800,4829,9570,35.391983,
21,5007200,4715,9570,35.333054,
22,4449800,4565,9570,35.2714,
23,4273700,4496,9570,35.207024,
24,5192000,4419,9570,35.13992,
25,4082700,4390,9570,35.07009,
26,4136800,4353,9570,34.997536,
27,4718900,4336,9570,34.92226,
28,4374500,4982,9570,34.844257,
29,4208100,4783,9570,34.763527,
30,4714400,4670,9570,34.680073,
31,4536400,4639,9570,34.593895,
32,4069500,4573,9570,34.504993,
33,4083700,4491,9570,34.413364,
34,4347400,5031,9570,34.31901,
35,4702300,4806,9570,34.221935,
36,4406500,4646,9570,34.12213,
37,5345200,4535,9570,34.019604,
38,5101100,4502,9570,33.91435,
39,5262700,4984,9570,33.806374,
40,6369600,5009,9570,33.69567,
41,5083300,4852,9570,33.58224,
42,5463300,4753,9570,33.466087,
43,4238100,4728,9570,33.34721,
44,4979900,4996,9570,33.22561,
45,4892700,5112,9570,33.10128,
46,4330000,4923,9570,32.974224,
47,4588000,4760,9570,32.844448,
48,4799700,5001,9570,32.711945,
49,6711100,5139,9570,32.576717,
50,5422000,4996,9570,32.438763,
51,5094200,4871,9570,32.298084,
52,4747500,5093,9570,32.154682,
53,4463700,4972,9570,32.008553,
54,4398200,4792,9570,31.8597,
55,4283600,4796,9570,31.70812,
56,4271200,4911,9570,31.553818,
57,4225700,4780,9570,31.39679,
58,4507500,4734,9570,31.237036,
59,4882100,4748,9570,31.074558,
60,4306900,4704,9570,30.909355,
61,4318800,4678,9570,30.741426,
62,5713100,4666,9570,30.570772,
63,5724700,4609,9570,30.397394,
64,5340000,4623,9570,30.22129,
65,5629300,4625,9570,30.042463,
66,5391300,4579,9570,29.860909,
67,4729900,4610,9570,29.67663,
68,4562300,4550,9570,29.489626,
69,4335200,4524,9570,29.299898,
70,4317100,4535,9570,29.107445,
71,4547000,4528,9570,28.912266,
72,4252600,4533,9570,28.714361,
73,4130600,4529,9570,28.745474,
74,4500600,4530,9570,28.77165,
75,4120200,4529,9570,28.79591,
