step,wall_ns,manifolds,pairs,top_y,awake
0,8738600,4495,9570,35.998295,
1,7552600,4196,9570,35.993866,
2,7260300,4142,9570,35.986713,
3,7236200,4111,9570,35.976837,
4,7166300,4100,9570,35.964233,
5,7165200,4087,9570,35.948902,
6,7152900,4079,9570,35.93085,
7,7199900,4073,9570,35.910072,
8,7154400,4066,9570,35.88657,
9,7154900,4061,9570,35.86034,
10,7164400,4053,9570,35.831387,
11,7200000,4054,9570,35.79971,
12,7166600,4056,9570,35.765305,
13,7194200,4055,9570,35.728176,
14,7173400,4060,9570,35.688324,
15,7175200,4057,9570,35.64575,
16,7219900,4055,9570,35.600445,
17,7176400,4051,9570,35.552414,
18,7154400,4049,9570,35.501663,
19,7283000,4050,9570,35.448185,
20,7937500,4829,9570,35.391983,
21,8951400,4715,9570,35.333054,
22,7893600,4565,9570,35.2714,
23,7804200,4496,9570,35.207024,
24,7738100,4419,9570,35.13992,
25,7707200,4390,9570,35.07009,
26,7633200,4353,9570,34.997536,
27,7659500,4336,9570,34.92226,
28,8740200,4982,9570,34.844257,
29,8483700,4783,9570,34.763527,
30,8230500,4670,9570,34.680073,
31,8110600,4639,9570,34.593895,
32,8067200,4573,9570,34.504993,
33,8858000,4491,9570,34.413364,
34,8470000,5031,9570,34.31901,
35,8379300,4806,9570,34.221935,
36,8278000,4646,9570,34.12213,
37,8247400,4535,9570,34.019604,
38,8121800,4502,9570,33.91435,
39,8519300,4984,9570,33.806374,
40,8669900,5009,9570,33.69567,
41,8618000,4852,9570,33.58224,
42,8428400,4753,9570,33.466087,
43,8368300,4728,9570,33.34721,
44,8710000,4996,9570,33.22561,
45,8950600,5112,9570,33.10128,
46,8718400,4923,9570,32.974224,
47,8507500,4760,9570,32.844448,
48,8703000,5001,9570,32.711945,
49,9370700,5139,9570,32.576717,
50,8824000,4996,9570,32.438763,
51,8614300,4871,9570,32.298084,
52,8918700,5093,9570,32.154682,
53,9128400,4972,9570,32.008553,
54,8573600,4792,9570,31.8597,
