step,wall_ns,manifolds,pairs,top_y,awake
0,8716100,4495,9570,35.998295,
1,7735200,4196,9570,35.993866,
2,7584200,4142,9570,35.986713,
3,7535300,4111,9570,35.976837,
4,7524300,4100,9570,35.964233,
5,7707200,4087,9570,35.948902,
6,7611000,4079,9570,35.93085,
7,7604500,4073,9570,35.910072,
8,7548700,4066,9570,35.88657,
9,7532800,4061,9570,35.86034,
10,7630900,4053,9570,35.831387,
11,7834900,4054,9570,35.79971,
12,7483900,4056,9570,35.765305,
13,7484500,4055,9570,35.728176,
14,7514100,4060,9570,35.688324,
15,7616400,4057,9570,35.64575,
16,7488700,4055,9570,35.600445,
17,7479500,4051,9570,35.552414,
18,7473800,4049,9570,35.501663,
19,8165100,4050,9570,35.448185,
20,8414500,4829,9570,35.391983,
21,8458800,4715,9570,35.333054,
22,8429000,4565,9570,35.2714,
23,8349000,4496,9570,35.207024,
24,8089000,4419,9570,35.13992,
25,8003800,4390,9570,35.07009,
26,7993300,4353,9570,34.997536,
27,7942700,4336,9570,34.92226,
28,8874300,4982,9570,34.844257,
29,8587400,4783,9570,34.763527,
30,8454000,4670,9570,34.680073,
31,8476300,4639,9570,34.593895,
32,8311700,4573,9570,34.504993,
33,8254700,4491,9570,34.413364,
34,8759300,5031,9570,34.31901,
35,8771300,4806,9570,34.221935,
36,8802200,4646,9570,34.12213,
37,8448200,4535,9570,34.019604,
38,8784700,4502,9570,33.91435,
39,9081000,4984,9570,33.806374,
40,9055900,5009,9570,33.69567,
41,8825200,4852,9570,33.58224,
42,8706000,4753,9570,33.466087,
43,8783600,4728,9570,33.34721,
44,8995000,4996,9570,33.22561,
45,9408200,5112,9570,33.10128,
46,9020300,4923,9570,32.974224,
47,9785500,4760,9570,32.844448,
48,9049200,5001,9570,32.711945,
49,9249000,5139,9570,32.576717,
50,9154100,4996,9570,32.438763,
51,8899500,4871,9570,32.298084,
52,9147600,5093,9570,32.154682,
53,9216400,4972,9570,32.008553,
54,9162300,4792,9570,31.8597,
55,8945200,4796,9570,31.70812,
56,9088900,4911,9570,31.553818,
57,9094100,4780,9570,31.39679,
58,8969100,4734,9570,31.237036,
59,8924400,4748,9570,31.074558,
60,8959500,4704,9570,30.909355,
61,9311400,4678,9570,30.741426,
