step,wall_ns,manifolds,pairs,top_y,awake
0,3424100,4495,9570,35.998295,
1,2277900,4196,9570,35.993866,
2,2223400,4142,9570,35.986713,
3,2159500,4111,9570,35.976837,
4,2154700,4100,9570,35.964233,
5,2129800,4087,9570,35.948902,
6,2210700,4079,9570,35.93085,
7,2133000,4073,9570,35.910072,
8,2129300,4066,9570,35.88657,
9,2153800,4061,9570,35.86034,
10,2143800,4053,9570,35.831387,
11,2135200,4054,9570,35.79971,
12,2141000,4056,9570,35.765305,
13,2192900,4055,9570,35.728176,
14,2143000,4060,9570,35.688324,
15,2148000,4057,9570,35.64575,
16,2417600,4055,9570,35.600445,
17,2167100,4051,9570,35.552414,
18,2156200,4049,9570,35.501663,
19,2260900,4050,9570,35.448185,
20,2745500,4829,9570,35.391983,
21,2470200,4715,9570,35.333054,
22,2429300,4565,9570,35.2714,
23,2399000,4496,9570,35.207024,
24,2354000,4419,9570,35.13992,
25,2341600,4390,9570,35.07009,
26,2341100,4353,9570,34.997536,
27,2333000,4336,9570,34.92226,
28,2630200,4982,9570,34.844257,
29,2514600,4783,9570,34.763527,
30,2501100,4670,9570,34.680073,
31,2466300,4639,9570,34.593895,
32,2419000,4573,9570,34.504993,
33,2414300,4491,9570,34.413364,
34,2622900,5031,9570,34.31901,
35,2603900,4806,9570,34.221935,
36,2608300,4646,9570,34.12213,
37,2502800,4535,9570,34.019604,
38,2453600,4502,9570,33.91435,
39,2660200,4984,9570,33.806374,
40,2718800,5009,9570,33.69567,
41,2636700,4852,9570,33.58224,
42,2578400,4753,9570,33.466087,
43,2566200,4728,9570,33.34721,
44,2831500,4996,9570,33.22561,
45,2832500,5112,9570,33.10128,
46,2928200,4923,9570,32.974224,
47,2745300,4760,9570,32.844448,
48,2670400,5001,9570,32.711945,
49,2854300,5139,9570,32.576717,
50,2741300,4996,9570,32.438763,
51,2748800,4871,9570,32.298084,
52,2767500,5093,9570,32.154682,
53,2667900,4972,9570,32.008553,
54,2600200,4792,9570,31.8597,
55,2606200,4796,9570,31.70812,
56,2776000,4911,9570,31.553818,
57,2906100,4780,9570,31.39679,
58,2608600,4734,9570,31.237036,
59,2599300,4748,9570,31.074558,
60,2554400,4704,9570,30.909355,
61,2524100,4678,9570,30.741426,
62,2637300,4666,9570,30.570772,
63,2547000,4609,9570,30.397394,
64,2608300,4623,9570,30.22129,
65,2520600,4625,9570,30.042463,
66,2482300,4579,9570,29.860909,
67,2494700,4610,9570,29.67663,
68,2475200,4550,9570,29.489626,
69,2447200,4524,9570,29.299898,
70,2458700,4535,9570,29.107445,
71,2449000,4528,9570,28.912266,
72,2547200,4533,9570,28.714361,
73,2488100,4529,9570,28.745474,
74,2463100,4530,9570,28.77165,
75,2441600,4529,9570,28.79591,
76,2478300,4524,9570,28.816788,
77,2421500,4517,9570,28.83433,
