step,wall_ns,manifolds,pairs,top_y,awake
0,7040500,4495,9570,35.998295,
1,6319600,4196,9570,35.993866,
2,5918400,4142,9570,35.986713,
3,5774000,4111,9570,35.976837,
4,5749200,4100,9570,35.964233,
5,5803300,4087,9570,35.948902,
6,5751000,4079,9570,35.93085,
7,5760300,4073,9570,35.910072,
8,5743100,4066,9570,35.88657,
9,5955800,4061,9570,35.86034,
10,5861400,4053,9570,35.831387,
11,6110400,4054,9570,35.79971,
12,5861800,4056,9570,35.765305,
13,5861100,4055,9570,35.728176,
14,5778900,4060,9570,35.688324,
15,6108500,4057,9570,35.64575,
16,6673900,4055,9570,35.600445,
17,6716000,4051,9570,35.552414,
18,6192300,4049,9570,35.501663,
19,5999500,4050,9570,35.448185,
20,6909800,4829,9570,35.391983,
21,7131100,4715,9570,35.333054,
22,6923200,4565,9570,35.2714,
23,6696000,4496,9570,35.207024,
24,6366900,4419,9570,35.13992,
25,6274500,4390,9570,35.07009,
26,6319400,4353,9570,34.997536,
27,6238500,4336,9570,34.92226,
28,6864900,4982,9570,34.844257,
29,6799000,4783,9570,34.763527,
30,6749700,4670,9570,34.680073,
31,6828000,4639,9570,34.593895,
32,6694700,4573,9570,34.504993,
33,6635900,4491,9570,34.413364,
34,7242000,5031,9570,34.31901,
35,7256700,4806,9570,34.221935,
36,6944500,4646,9570,34.12213,
37,6770500,4535,9570,34.019604,
38,6679200,4502,9570,33.91435,
39,7262400,4984,9570,33.806374,
40,7284700,5009,9570,33.69567,
41,7585200,4852,9570,33.58224,
42,8113800,4753,9570,33.466087,
43,7464600,4728,9570,33.34721,
44,7328400,4996,9570,33.22561,
45,7536500,5112,9570,33.10128,
46,7271700,4923,9570,32.974224,
47,7112700,4760,9570,32.844448,
48,7315900,5001,9570,32.711945,
49,7649400,5139,9570,32.576717,
50,7862000,4996,9570,32.438763,
51,8829200,4871,9570,32.298084,
52,7764700,5093,9570,32.154682,
53,7398100,4972,9570,32.008553,
54,7427700,4792,9570,31.8597,
55,7283100,4796,9570,31.70812,
56,7520400,4911,9570,31.553818,
57,7203600,4780,9570,31.39679,
58,7149700,4734,9570,31.237036,
59,7199600,4748,9570,31.074558,
60,7083100,4704,9570,30.909355,
61,7063300,4678,9570,30.741426,
62,7088800,4666,9570,30.570772,
63,7004000,4609,9570,30.397394,
64,7084600,4623,9570,30.22129,
65,7009500,4625,9570,30.042463,
66,7011800,4579,9570,29.860909,
67,7035100,4610,9570,29.67663,
68,7013100,4550,9570,29.489626,
69,6935700,4524,9570,29.299898,
70,7114600,4535,9570,29.107445,
71,7187600,4528,9570,28.912266,
72,7533200,4533,9570,28.714361,
73,7267100,4529,9570,28.745474,
74,6881900,4530,9570,28.77165,
75,6858900,4529,9570,28.79591,
76,6852500,4524,9570,28.816788,
77,6905200,4517,9570,28.83433,
78,6867200,4520,9570,28.848581,
79,6921100,4514,9568,28.862343,
80,6892500,4519,9568,28.873486,
81,6850300,4518,9568,28.88324,
