step,wall_ns,manifolds,pairs,top_y,awake
0,6027100,4495,9570,35.998295,
1,4776400,4196,9570,35.993866,
2,4500000,4142,9570,35.986713,
3,4421600,4111,9570,35.976837,
4,4341600,4100,9570,35.964233,
5,4363200,4087,9570,35.948902,
6,4304700,4079,9570,35.93085,
7,4335000,4073,9570,35.910072,
8,4315200,4066,9570,35.88657,
9,4920100,4061,9570,35.86034,
10,4379300,4053,9570,35.831387,
11,4317900,4054,9570,35.79971,
12,4286100,4056,9570,35.765305,
13,4298000,4055,9570,35.728176,
14,4276800,4060,9570,35.688324,
15,4312200,4057,9570,35.64575,
16,4264700,4055,9570,35.600445,
17,4685700,4051,9570,35.552414,
18,4299600,4049,9570,35.501663,
19,4328800,4050,9570,35.448185,
20,4756800,4829,9570,35.391983,
21,4664900,4715,9570,35.333054,
22,4686600,4565,9570,35.2714,
23,4658100,4496,9570,35.207024,
24,4810900,4419,9570,35.13992,
25,5057100,4390,9570,35.07009,
26,4601600,4353,9570,34.997536,
27,4508900,4336,9570,34.92226,
28,4936100,4982,9570,34.844257,
29,4803600,4783,9570,34.763527,
30,4711600,4670,9570,34.680073,
31,4789900,4639,9570,34.593895,
32,4914300,4573,9570,34.504993,
33,4660300,4491,9570,34.413364,
34,4942900,5031,9570,34.31901,
35,4870500,4806,9570,34.221935,
36,4875000,4646,9570,34.12213,
37,4767200,4535,9570,34.019604,
38,4682700,4502,9570,33.91435,
39,5351800,4984,9570,33.806374,
40,5009600,5009,9570,33.69567,
41,4863800,4852,9570,33.58224,
42,4824200,4753,9570,33.466087,
43,4813900,4728,9570,33.34721,
44,5012200,4996,9570,33.22561,
45,5113600,5112,9570,33.10128,
46,5065700,4923,9570,32.974224,
47,5136400,4760,9570,32.844448,
48,5492700,5001,9570,32.711945,
49,5202700,5139,9570,32.576717,
50,4996100,4996,9570,32.438763,
51,5574800,4871,9570,32.298084,
52,5363900,5093,9570,32.154682,
53,5117700,4972,9570,32.008553,
54,5065300,4792,9570,31.8597,
55,4982200,4796,9570,31.70812,
56,4997200,4911,9570,31.553818,
57,4852800,4780,9570,31.39679,
58,5795500,4734,9570,31.237036,
59,5030500,4748,9570,31.074558,
60,4879400,4704,9570,30.909355,
61,4812000,4678,9570,30.741426,
62,4859700,4666,9570,30.570772,
63,5041400,4609,9570,30.397394,
64,4817600,4623,9570,30.22129,
65,5458200,4625,9570,30.042463,
66,4800500,4579,9570,29.860909,
67,4802300,4610,9570,29.67663,
68,4791500,4550,9570,29.489626,
69,4764600,4524,9570,29.299898,
