step,wall_ns,manifolds,pairs,top_y,awake
0,7383600,4495,9570,35.998295,
1,4735300,4196,9570,35.993866,
2,5720300,4142,9570,35.986713,
3,4150600,4111,9570,35.976837,
4,4702900,4100,9570,35.964233,
5,3551700,4087,9570,35.948902,
6,2860300,4079,9570,35.93085,
7,11691500,4073,9570,35.910072,
8,3206700,4066,9570,35.88657,
9,2519300,4061,9570,35.86034,
10,3384100,4053,9570,35.831387,
11,4275100,4054,9570,35.79971,
12,2834200,4056,9570,35.765305,
13,3478300,4055,9570,35.728176,
14,3467700,4060,9570,35.688324,
15,2538000,4057,9570,35.64575,
16,2345400,4055,9570,35.600445,
17,2450100,4051,9570,35.552414,
18,3091700,4049,9570,35.501663,
19,3302900,4050,9570,35.448185,
20,5042400,4829,9570,35.391983,
21,3737800,4715,9570,35.333054,
22,3622600,4565,9570,35.2714,
23,3912200,4496,9570,35.207024,
24,4288000,4419,9570,35.13992,
25,4000600,4390,9570,35.07009,
26,3219700,4353,9570,34.997536,
27,3614000,4336,9570,34.92226,
28,4530300,4982,9570,34.844257,
29,5060600,4783,9570,34.763527,
30,4162600,4670,9570,34.680073,
31,3603000,4639,9570,34.593895,
32,3351800,4573,9570,34.504993,
33,3819000,4491,9570,34.413364,
34,3783900,5031,9570,34.31901,
35,2844300,4806,9570,34.221935,
36,2756100,4646,9570,34.12213,
37,2554000,4535,9570,34.019604,
38,2507800,4502,9570,33.91435,
39,2652200,4984,9570,33.806374,
40,2830600,5009,9570,33.69567,
41,2715200,4852,9570,33.58224,
42,2663400,4753,9570,33.466087,
43,2629300,4728,9570,33.34721,
44,2729100,4996,9570,33.22561,
45,2861000,5112,9570,33.10128,
46,2746900,4923,9570,32.974224,
47,2736400,4760,9570,32.844448,
48,3199300,5001,9570,32.711945,
49,3127700,5139,9570,32.576717,
50,4619300,4996,9570,32.438763,
51,5444300,4871,9570,32.298084,
52,3970200,5093,9570,32.154682,
53,3037300,4972,9570,32.008553,
54,2750700,4792,9570,31.8597,
55,2735200,4796,9570,31.70812,
56,2884100,4911,9570,31.553818,
57,2672500,4780,9570,31.39679,
58,2691400,4734,9570,31.237036,
59,2691900,4748,9570,31.074558,
60,2645800,4704,9570,30.909355,
61,2698400,4678,9570,30.741426,
62,2820300,4666,9570,30.570772,
63,2940100,4609,9570,30.397394,
64,2782700,4623,9570,30.22129,
65,2870100,4625,9570,30.042463,
66,3485700,4579,9570,29.860909,
67,3068100,4610,9570,29.67663,
68,2968700,4550,9570,29.489626,
69,2675800,4524,9570,29.299898,
70,2858800,4535,9570,29.107445,
71,3001300,4528,9570,28.912266,
72,2737700,4533,9570,28.714361,
73,2883200,4529,9570,28.745474,
74,3121200,4530,9570,28.77165,
75,3443600,4529,9570,28.79591,
76,3622900,4524,9570,28.816788,
77,2613900,4517,9570,28.83433,
78,2753800,4520,9570,28.848581,
79,2520600,4514,9568,28.862343,
80,2527700,4519,9568,28.873486,
81,2559700,4518,9568,28.88324,
82,2596100,4518,9568,28.892859,
83,2523100,4516,9568,28.90075,
84,2884100,4517,9567,28.907646,
85,2759400,4508,9565,28.914537,
86,2572500,4519,9565,28.920815,
87,2700700,4516,9565,28.92588,
88,2928900,4518,9565,28.930962,
89,2953900,4519,9565,28.935617,
90,2887800,4514,9565,28.939785,
91,2576700,4516,9565,28.943506,
92,2782000,4512,9565,28.946703,
93,2613500,4508,9565,28.949604,
94,2589900,4522,9565,28.952375,
95,2907400,4519,9565,28.954878,
96,2701800,4521,9565,28.957104,
97,2568000,4517,9565,28.9592,
98,3047800,4515,9565,28.960983,
99,3549900,4520,9565,28.96278,
100,4016900,4521,9564,28.964386,
101,2702700,4521,9564,28.965906,
102,3295800,4521,9563,28.967402,
103,4543700,4520,9563,28.968788,
104,3056300,4522,9563,28.969984,
105,2636800,4518,9563,28.971111,
106,2841200,4521,9563,28.97221,
107,2633700,4523,9563,28.97325,
108,2576100,4515,9562,28.974203,
109,2837900,4517,9562,28.975157,
110,2533400,4516,9562,28.976004,
111,2701700,4515,9562,28.976778,
112,2723800,4519,9562,28.977486,
113,2657300,4520,9562,28.978231,
114,2844200,4520,9562,28.97893,
115,3354400,4519,9561,28.979557,
116,2854600,4526,9561,28.980162,
117,2743100,4519,9561,28.980728,
118,2629500,4521,9561,28.981266,
119,3157600,4517,9561,28.981787,
120,3235700,4523,9561,28.982262,
121,3079900,4523,9561,28.98269,
122,3563600,4521,9561,28.983118,
123,3196300,4522,9561,28.98351,
124,3341500,4518,9561,28.98387,
125,3089200,4521,9561,28.984217,
126,2758600,4521,9561,28.984558,
127,2626200,4517,9561,28.98485,
128,3338000,4522,9561,28.98514,
129,2778600,4521,9561,28.98541,
130,2757600,4519,9560,28.98568,
131,2671100,4526,9559,28.98593,
132,2680300,4524,9559,28.986149,
133,2681500,4516,9559,28.98636,
134,2562300,4520,9559,28.98657,
135,2722700,4522,9559,28.986776,
136,2590800,4519,9559,28.986969,
137,2517200,4521,9559,28.987137,
138,2830600,4521,9559,28.9873,
139,2633500,4521,9559,28.987465,
140,2807000,4518,9559,28.987623,
141,2791200,4523,9559,28.987766,
142,2826800,4524,9559,28.987892,
143,2972100,4523,9559,28.98802,
144,3721300,4520,9559,28.988153,
145,3606300,4519,9559,28.98826,
146,2613100,4520,9559,28.988363,
147,2806700,4522,9559,28.988459,
148,3457500,4517,9559,28.988543,
149,2921000,4519,9559,28.988642,
150,2620100,4522,9559,28.98874,
151,2600000,4520,9559,28.98882,
152,2707800,4523,9559,28.988888,
153,2567000,4523,9559,28.988964,
154,2679100,4524,9559,28.989048,
155,2594300,4521,9559,28.989117,
156,2637300,4520,9559,28.989172,
157,2750400,4519,9559,28.989218,
158,3218900,4519,9559,28.98927,
159,2802500,4518,9559,28.98933,
160,2836800,4519,9559,28.989386,
161,2830700,4521,9559,28.989433,
162,2798800,4518,9559,28.989477,
163,2588500,4520,9559,28.989515,
164,2703300,4520,9559,28.989552,
165,2773300,4519,9559,28.989582,
166,2650600,4516,9559,28.989613,
167,2808800,4518,9559,28.989645,
168,3149000,4518,9559,28.989676,
169,3204400,4514,9559,28.9897,
170,3556900,4515,9559,28.989725,
171,3888900,4512,9559,28.989754,
172,4277800,4513,9559,28.98977,
173,3406900,4515,9559,28.989801,
174,2782900,4515,9559,28.989834,
175,2665600,4515,9559,28.989851,
176,2666500,4514,9559,28.989864,
177,2817600,4516,9559,28.989883,
178,2857500,4515,9559,28.989906,
179,2610800,4515,9559,28.989923,
180,2549100,4515,9559,28.98993,
181,2884300,4517,9559,28.98993,
182,2536100,4517,9559,28.98994,
183,2752600,4516,9559,28.989958,
184,3223800,4516,9559,28.98997,
185,2718300,4514,9559,28.989977,
186,2745700,4515,9559,28.98999,
187,2734800,4516,9559,28.990005,
188,2767300,4519,9559,28.990013,
189,3639900,4519,9559,28.990015,
190,4049600,4519,9559,28.990025,
191,2785200,4520,9559,28.99004,
192,2783100,4522,9559,28.990047,
193,3086200,4521,9559,28.990053,
194,2754300,4522,9559,28.990055,
195,2721000,4521,9559,28.99006,
196,2600900,4522,9559,28.99006,
197,2702900,4523,9559,28.990076,
198,3220500,4523,9559,28.990084,
199,2814800,4524,9559,28.990086,
200,2832400,4522,9559,28.990088,
201,2786800,4522,9559,28.990097,
202,2746700,4521,9559,28.99011,
203,2763200,4525,9559,28.990112,
204,2682900,4526,9559,28.990108,
205,2789400,4524,9559,28.990114,
206,2635400,4523,9559,28.99012,
207,2659400,4523,9559,28.990118,
208,2626500,4523,9559,28.990112,
209,2560300,4522,9559,28.990116,
210,2765000,4522,9559,28.990122,
211,2555600,4523,9559,28.990128,
212,2629800,4523,9559,28.990124,
213,3017000,4523,9559,28.99013,
214,3711400,4524,9559,28.990137,
215,3599500,4524,9559,28.990137,
216,3056100,4526,9559,28.990137,
217,3097700,4524,9559,28.990143,
218,3325400,4525,9559,28.990149,
219,2815200,4524,9559,28.990149,
220,2589400,4523,9559,28.990152,
221,2802300,4522,9559,28.99016,
222,2788800,4522,9559,28.990164,
223,2539800,4520,9559,28.990162,
224,2937800,4521,9559,28.99016,
225,3429100,4522,9559,28.990166,
