step,wall_ns,manifolds,pairs,top_y,awake
0,10950200,8555,9570,28.99835,
1,8074400,5761,9570,28.995926,
2,8984600,6723,9570,28.994566,
3,9032800,6695,9570,28.994541,
4,9643000,6672,9570,28.994545,
5,9072200,6758,9570,28.994184,
6,9070500,6793,9570,28.993921,
7,9052100,6783,9570,28.993895,
8,9093700,6772,9570,28.993822,
9,9022500,6790,9570,28.993675,
10,8993500,6786,9570,28.993578,
11,9225400,6806,9570,28.99352,
12,9843600,6806,9570,28.993486,
13,9077000,6780,9570,28.993422,
14,9192600,6784,9570,28.99337,
15,9000900,6765,9570,28.993326,
16,8965000,6760,9570,28.993288,
17,9145900,6761,9570,28.993235,
18,9077500,6734,9570,28.99321,
19,8961400,6754,9570,28.99318,
20,8944500,6753,9570,28.99314,
21,9056400,6741,9570,28.993107,
22,9645000,6739,9570,28.993093,
23,8988800,6730,9570,28.993065,
24,8968800,6730,9570,28.993042,
25,8957500,6722,9570,28.99303,
26,9093200,6733,9570,28.993017,
27,9084400,6733,9570,28.992998,
28,9024100,6715,9570,28.992983,
29,8965000,6720,9570,28.992973,
30,9128200,6719,9570,28.99296,
31,8989800,6717,9570,28.992933,
32,9105100,6716,9570,28.992924,
33,9571000,6704,9570,28.992918,
34,8887400,6697,9570,28.992907,
35,8865700,6701,9570,28.992893,
36,9536100,6705,9570,28.992886,
37,9039100,6721,9570,28.992884,
38,8878300,6725,9570,28.99288,
39,8858100,6710,9570,28.992878,
40,8971500,6708,9570,28.992876,
41,9185500,6708,9570,28.992876,
42,8891200,6700,9570,28.99287,
43,8892600,6693,9570,28.99286,
44,9060400,6701,9570,28.992851,
45,9027900,6708,9570,28.99285,
46,9055100,6706,9570,28.992847,
47,8934900,6703,9570,28.99284,
48,9493700,6704,9570,28.99284,
49,9227800,6704,9570,28.992838,
50,9085100,6707,9570,28.99283,
51,9634900,6705,9570,28.992828,
52,9104200,6714,9570,28.992826,
53,8922100,6704,9570,28.992823,
54,8881200,6700,9570,28.992823,
55,9015200,6707,9570,28.992817,
56,8889600,6699,9570,28.992815,
57,8872800,6699,9570,28.99282,
58,8895000,6707,9570,28.99282,
59,8996800,6702,9570,28.992815,
60,8910600,6706,9570,28.99281,
61,9010600,6701,9570,28.992811,
62,8987300,6695,9570,28.992815,
63,9200600,6694,9570,28.992807,
64,9013700,6691,9570,28.992807,
65,9070200,6698,9570,28.992807,
66,9736000,6700,9570,28.992807,
67,8962900,6693,9570,28.992805,
68,10013300,6701,9570,28.992804,
69,12170200,6699,9570,28.992804,
70,10392400,6702,9570,28.992807,
71,9919400,6703,9570,28.992807,
72,9181900,6700,9570,28.992807,
73,8994600,6694,9570,28.992807,
74,8878700,6690,9570,28.992807,
75,8847500,6685,9570,28.992804,
76,8965100,6687,9570,28.992804,
77,9162400,6684,9570,28.99281,
78,8916900,6684,9570,28.99281,
79,9028300,6685,9570,28.99281,
80,9019900,6680,9570,28.99281,
81,9439700,6679,9570,28.99281,
82,8892200,6674,9570,28.99281,
83,8838000,6676,9570,28.992811,
84,9024000,6676,9570,28.992811,
85,8989900,6667,9570,28.992811,
86,8902400,6676,9570,28.992817,
87,9154100,6672,9570,28.992817,
88,9010500,6678,9570,28.992817,
89,9164700,6678,9570,28.992817,
90,8919600,6680,9570,28.992817,
91,9033800,6683,9570,28.992815,
92,8976200,6678,9570,28.992807,
93,8912600,6674,9570,28.992805,
94,9049500,6680,9570,28.9928,
95,9454100,6674,9570,28.992796,
96,8890200,6668,9570,28.992794,
97,8815900,6672,9570,28.992796,
98,8856200,6675,9570,28.992798,
99,9387500,6676,9570,28.992798,
100,8978500,6677,9570,28.992798,
101,9272500,6675,9570,28.992796,
102,8884800,6673,9570,28.992798,
103,8912900,6669,9570,28.992802,
104,8825000,6665,9570,28.992802,
105,8844100,6665,9570,28.992802,
106,9354800,6661,9570,28.992785,
107,8875200,6657,9570,28.992767,
108,8885000,6664,9570,28.992775,
109,9103700,6665,9570,28.992783,
110,8982400,6667,9570,28.992783,
111,8861600,6669,9570,28.992788,
112,8825700,6665,9570,28.992788,
113,9024400,6672,9570,28.992786,
114,8958000,6676,9570,28.992786,
115,8842200,6674,9570,28.99279,
116,9098600,6671,9570,28.99279,
117,8983000,6675,9570,28.992794,
118,9126200,6671,9570,28.992794,
119,8769200,6674,9570,28.992794,
120,8821700,6674,9570,28.992794,
121,8927500,6677,9570,28.992794,
122,9113700,6679,9570,28.992794,
123,8870400,6679,9570,28.992794,
124,8964800,6685,9570,28.992796,
125,9004200,6684,9570,28.992796,
126,8907000,6676,9570,28.992796,
127,9044200,6678,9570,28.992796,
128,9171700,6675,9570,28.992798,
129,9010000,6679,9570,28.992798,
130,8945500,6676,9570,28.992798,
131,8913000,6680,9570,28.992798,
132,9437300,6677,9570,28.992796,
133,8948600,6674,9570,28.992796,
134,8949300,6675,9570,28.992796,
135,8885500,6676,9570,28.992796,
136,8991000,6676,9570,28.992796,
137,9068300,6673,9570,28.992796,
138,8994900,6675,9570,28.992796,
139,9039000,6677,9570,28.992796,
140,9125000,6677,9570,28.992796,
141,9031000,6679,9570,28.992796,
142,9014500,6680,9570,28.992796,
143,9726100,6681,9570,28.992796,
144,9011400,6687,9570,28.992796,
145,8827500,6682,9570,28.992796,
146,8858100,6680,9570,28.992796,
147,8954100,6681,9570,28.992796,
148,8825000,6680,9570,28.992796,
149,8856000,6676,9570,28.992796,
150,9054800,6675,9570,28.992796,
151,8942700,6673,9570,28.992796,
152,8881900,6677,9570,28.992796,
153,8853500,6678,9570,28.992796,
154,9113600,6676,9570,28.992796,
155,9008100,6675,9570,28.992796,
156,8876600,6673,9570,28.992796,
157,8868600,6676,9570,28.992796,
158,9041300,6672,9570,28.992796,
159,8880600,6672,9570,28.992796,
160,8859500,6672,9570,28.992796,
161,9590200,6672,9570,28.992796,
162,9193000,6674,9570,28.992796,
163,8956900,6674,9570,28.992796,
164,8926700,6674,9570,28.992796,
165,9125600,6677,9570,28.992796,
166,8992700,6674,9570,28.992796,
167,8915900,6672,9570,28.992796,
168,8952600,6674,9570,28.992796,
169,9152600,6675,9570,28.992796,
170,9036200,6674,9570,28.992796,
171,8909500,6674,9570,28.992796,
172,9006900,6672,9570,28.992796,
173,9148800,6673,9570,28.992796,
174,9273000,6671,9570,28.992796,
175,9185800,6671,9570,28.992796,
176,8866500,6675,9570,28.992796,
177,8939400,6671,9570,28.992796,
178,8871200,6671,9570,28.992796,
179,8916600,6674,9570,28.992796,
180,9023300,6675,9570,28.992796,
181,8894400,6672,9570,28.992796,
182,8900900,6673,9570,28.992796,
183,8968100,6671,9570,28.992796,
184,11472400,6672,9570,28.992794,
185,10186700,6671,9570,28.99279,
186,10052500,6672,9570,28.992775,
187,9597300,6668,9570,28.992775,
188,9483800,6673,9570,28.99278,
189,9250500,6670,9570,28.99278,
190,8970000,6672,9570,28.992777,
191,9217600,6672,9570,28.992777,
192,8962100,6672,9570,28.992777,
193,8872100,6673,9570,28.992779,
194,8940500,6676,9570,28.99278,
195,9019100,6674,9570,28.99278,
196,8946200,6675,9570,28.992779,
197,8998400,6675,9570,28.992773,
198,9330800,6674,9570,28.992773,
199,8869400,6673,9570,28.992773,
200,8836200,6672,9570,28.99278,
201,9506300,6673,9570,28.99278,
202,8982400,6672,9570,28.99278,
203,8919900,6674,9570,28.99278,
204,8893700,6674,9570,28.99278,
205,8996400,6677,9570,28.99278,
206,8949000,6675,9570,28.99278,
207,8903700,6678,9570,28.99278,
208,8876300,6675,9570,28.992786,
209,9023100,6676,9570,28.992786,
210,9266700,6675,9570,28.992786,
211,9065900,6678,9570,28.992786,
212,8922900,6677,9570,28.992786,
213,10315400,6674,9570,28.992786,
214,9136900,6675,9570,28.992786,
215,8811600,6675,9570,28.992786,
216,8931000,6678,9570,28.992786,
217,8860100,6677,9570,28.992786,
218,8788100,6679,9570,28.992786,
219,8885500,6676,9570,28.992786,
220,9765800,6679,9570,28.992786,
221,8978000,6673,9570,28.992786,
222,8963100,6671,9570,28.992786,
223,8964400,6670,9570,28.992786,
224,9523900,6672,9570,28.992786,
225,8799700,6674,9570,28.992786,
226,8843400,6673,9570,28.992786,
227,8943300,6671,9570,28.992786,
228,8993700,6674,9570,28.992786,
229,8808300,6674,9570,28.992786,
230,9024300,6673,9570,28.992786,
231,10982700,6673,9570,28.992786,
232,9527100,6672,9570,28.992786,
