step,wall_ns,manifolds,pairs,top_y,awake
0,9172700,4495,9570,35.998295,
1,6440200,4196,9570,35.993866,
2,5599800,4142,9570,35.986713,
3,5621700,4111,9570,35.976837,
4,5492700,4100,9570,35.964233,
5,5500000,4087,9570,35.948902,
6,5538500,4079,9570,35.93085,
7,5911900,4073,9570,35.910072,
8,5890600,4066,9570,35.88657,
9,5638600,4061,9570,35.86034,
10,6027000,4053,9570,35.831387,
11,5429500,4054,9570,35.79971,
12,5852900,4056,9570,35.765305,
13,5742700,4055,9570,35.728176,
14,5473200,4060,9570,35.688324,
15,5550600,4057,9570,35.64575,
16,5413200,4055,9570,35.600445,
17,5537500,4051,9570,35.552414,
18,5485600,4049,9570,35.501663,
19,5542100,4050,9570,35.448185,
20,6103300,4829,9570,35.391983,
21,6365400,4715,9570,35.333054,
22,7084000,4565,9570,35.2714,
23,6378400,4496,9570,35.207024,
24,6368700,4419,9570,35.13992,
25,5818700,4390,9570,35.07009,
26,5740700,4353,9570,34.997536,
27,5732300,4336,9570,34.92226,
28,6499900,4982,9570,34.844257,
29,6129100,4783,9570,34.763527,
30,6041700,4670,9570,34.680073,
31,6165800,4639,9570,34.593895,
32,6699500,4573,9570,34.504993,
33,7136100,4491,9570,34.413364,
34,7611500,5031,9570,34.31901,
35,6423900,4806,9570,34.221935,
36,6180200,4646,9570,34.12213,
37,6042500,4535,9570,34.019604,
38,5979600,4502,9570,33.91435,
39,6766300,4984,9570,33.806374,
40,7062600,5009,9570,33.69567,
41,6525300,4852,9570,33.58224,
42,6384600,4753,9570,33.466087,
43,7111600,4728,9570,33.34721,
44,7245400,4996,9570,33.22561,
45,7603300,5112,9570,33.10128,
46,6846300,4923,9570,32.974224,
47,6479200,4760,9570,32.844448,
48,6735200,5001,9570,32.711945,
49,7262700,5139,9570,32.576717,
50,9252800,4996,9570,32.438763,
51,8172400,4871,9570,32.298084,
52,7424200,5093,9570,32.154682,
53,9656400,4972,9570,32.008553,
54,8518300,4792,9570,31.8597,
55,6977900,4796,9570,31.70812,
56,6896200,4911,9570,31.553818,
57,6467700,4780,9570,31.39679,
58,6385700,4734,9570,31.237036,
59,6640300,4748,9570,31.074558,
60,7129900,4704,9570,30.909355,
61,7567600,4678,9570,30.741426,
62,6665800,4666,9570,30.570772,
63,6405400,4609,9570,30.397394,
64,6334600,4623,9570,30.22129,
65,6346100,4625,9570,30.042463,
66,6348600,4579,9570,29.860909,
67,6512900,4610,9570,29.67663,
68,6490500,4550,9570,29.489626,
69,6268500,4524,9570,29.299898,
