step,wall_ns,manifolds,pairs,top_y,awake
0,6612000,8555,9570,28.99835,
1,4854800,5761,9570,28.995926,
2,5599300,6723,9570,28.994566,
3,5013800,6695,9570,28.994541,
4,4863600,6672,9570,28.994545,
5,4890300,6758,9570,28.994184,
6,5055000,6793,9570,28.993921,
7,5079800,6783,9570,28.993895,
8,5520300,6772,9570,28.993822,
9,5093900,6790,9570,28.993675,
10,4935400,6786,9570,28.993578,
11,5824300,6806,9570,28.99352,
12,5947000,6806,9570,28.993486,
13,5003200,6780,9570,28.993422,
14,4891500,6784,9570,28.99337,
15,4875200,6765,9570,28.993326,
16,5778500,6760,9570,28.993288,
17,5042700,6761,9570,28.993235,
18,5146100,6734,9570,28.99321,
19,5250300,6754,9570,28.99318,
20,4794000,6753,9570,28.99314,
21,4846700,6741,9570,28.993107,
22,4825700,6739,9570,28.993093,
23,4861900,6730,9570,28.993065,
24,5092600,6730,9570,28.993042,
25,6187700,6722,9570,28.99303,
26,5506000,6733,9570,28.993017,
27,5043900,6733,9570,28.992998,
28,4861100,6715,9570,28.992983,
29,4925800,6720,9570,28.992973,
30,4842400,6719,9570,28.99296,
31,4915800,6717,9570,28.992933,
32,5106100,6716,9570,28.992924,
33,5616800,6704,9570,28.992918,
34,4934800,6697,9570,28.992907,
35,4845500,6701,9570,28.992893,
36,7100800,6705,9570,28.992886,
37,9135200,6721,9570,28.992884,
38,6328900,6725,9570,28.99288,
39,5306300,6710,9570,28.992878,
40,4900900,6708,9570,28.992876,
41,5020400,6708,9570,28.992876,
42,4850300,6700,9570,28.99287,
43,4794700,6693,9570,28.99286,
44,4848700,6701,9570,28.992851,
45,4797100,6708,9570,28.99285,
46,6009000,6706,9570,28.992847,
47,5049900,6703,9570,28.99284,
48,4950700,6704,9570,28.99284,
49,6858400,6704,9570,28.992838,
50,6878700,6707,9570,28.99283,
51,5506300,6705,9570,28.992828,
52,5128300,6714,9570,28.992826,
53,5128500,6704,9570,28.992823,
54,5962900,6700,9570,28.992823,
55,4965300,6707,9570,28.992817,
56,4967800,6699,9570,28.992815,
57,4894900,6699,9570,28.99282,
58,4834000,6707,9570,28.99282,
59,4824200,6702,9570,28.992815,
60,4865700,6706,9570,28.99281,
61,4977700,6701,9570,28.992811,
62,6348500,6695,9570,28.992815,
63,5323000,6694,9570,28.992807,
64,5034200,6691,9570,28.992807,
65,5061500,6698,9570,28.992807,
66,5073900,6700,9570,28.992807,
67,5124900,6693,9570,28.992805,
68,5888100,6701,9570,28.992804,
69,5547000,6699,9570,28.992804,
70,5217100,6702,9570,28.992807,
71,4824000,6703,9570,28.992807,
72,4793500,6700,9570,28.992807,
73,4954300,6694,9570,28.992807,
74,6992900,6690,9570,28.992807,
75,5869800,6685,9570,28.992804,
76,5340600,6687,9570,28.992804,
77,5128700,6684,9570,28.99281,
78,5096100,6684,9570,28.99281,
79,4913100,6685,9570,28.99281,
80,4852800,6680,9570,28.99281,
81,4991800,6679,9570,28.99281,
82,5001400,6674,9570,28.99281,
83,4893200,6676,9570,28.992811,
84,5801600,6676,9570,28.992811,
85,5245700,6667,9570,28.992811,
86,5366100,6676,9570,28.992817,
87,6515900,6672,9570,28.992817,
88,5261500,6678,9570,28.992817,
89,5038300,6678,9570,28.992817,
90,4933600,6680,9570,28.992817,
91,4946400,6683,9570,28.992815,
92,5473900,6678,9570,28.992807,
93,4940100,6674,9570,28.992805,
94,4850700,6680,9570,28.9928,
95,4851000,6674,9570,28.992796,
96,4808100,6668,9570,28.992794,
97,5246700,6672,9570,28.992796,
98,5090600,6675,9570,28.992798,
99,7053600,6676,9570,28.992798,
100,5211000,6677,9570,28.992798,
101,5755200,6675,9570,28.992796,
102,5190900,6673,9570,28.992798,
103,4823800,6669,9570,28.992802,
104,4809100,6665,9570,28.992802,
105,4816300,6665,9570,28.992802,
106,5320400,6661,9570,28.992785,
107,5071000,6657,9570,28.992767,
108,4905900,6664,9570,28.992775,
109,4800000,6665,9570,28.992783,
110,4822800,6667,9570,28.992783,
111,4781800,6669,9570,28.992788,
112,5804500,6665,9570,28.992788,
113,6161900,6672,9570,28.992786,
114,5257700,6676,9570,28.992786,
115,5665700,6674,9570,28.99279,
116,4963000,6671,9570,28.99279,
117,4848200,6675,9570,28.992794,
118,4824900,6671,9570,28.992794,
119,4779300,6674,9570,28.992794,
120,4821900,6674,9570,28.992794,
121,4809400,6677,9570,28.992794,
122,4902400,6679,9570,28.992794,
123,5506300,6679,9570,28.992794,
124,4937400,6685,9570,28.992796,
125,4997500,6684,9570,28.992796,
126,5957700,6676,9570,28.992796,
127,5096800,6678,9570,28.992796,
128,5007500,6675,9570,28.992798,
129,5451100,6679,9570,28.992798,
130,5435700,6676,9570,28.992798,
131,5074900,6680,9570,28.992798,
132,5023800,6677,9570,28.992796,
133,5023100,6674,9570,28.992796,
134,4985000,6675,9570,28.992796,
135,4835700,6676,9570,28.992796,
136,4832400,6676,9570,28.992796,
137,4939200,6673,9570,28.992796,
138,6412700,6675,9570,28.992796,
139,5291500,6677,9570,28.992796,
140,5087500,6677,9570,28.992796,
141,4995400,6679,9570,28.992796,
142,4916000,6680,9570,28.992796,
143,4968000,6681,9570,28.992796,
144,4814100,6687,9570,28.992796,
145,4950000,6682,9570,28.992796,
146,5232300,6680,9570,28.992796,
147,4902900,6681,9570,28.992796,
148,4812800,6680,9570,28.992796,
149,4831100,6676,9570,28.992796,
150,5097900,6675,9570,28.992796,
151,5243900,6673,9570,28.992796,
152,6603300,6677,9570,28.992796,
153,5133000,6678,9570,28.992796,
154,5006500,6676,9570,28.992796,
155,4862200,6675,9570,28.992796,
156,4765300,6673,9570,28.992796,
157,4782700,6676,9570,28.992796,
158,4719800,6672,9570,28.992796,
159,4982900,6672,9570,28.992796,
160,4906900,6672,9570,28.992796,
161,5938000,6672,9570,28.992796,
162,5195000,6674,9570,28.992796,
163,5137600,6674,9570,28.992796,
164,5665100,6674,9570,28.992796,
165,6271500,6677,9570,28.992796,
166,5047100,6674,9570,28.992796,
167,4853500,6672,9570,28.992796,
168,4949300,6674,9570,28.992796,
169,5588800,6675,9570,28.992796,
170,4914700,6674,9570,28.992796,
171,4831000,6674,9570,28.992796,
172,4866100,6672,9570,28.992796,
173,4822200,6673,9570,28.992796,
174,5051000,6671,9570,28.992796,
175,4916200,6671,9570,28.992796,
176,4882800,6675,9570,28.992796,
177,6513200,6671,9570,28.992796,
178,5321000,6671,9570,28.992796,
179,5222200,6674,9570,28.992796,
180,5101700,6675,9570,28.992796,
181,4834600,6672,9570,28.992796,
182,4822600,6673,9570,28.992796,
183,4789400,6671,9570,28.992796,
184,4785900,6672,9570,28.992794,
185,5983500,6671,9570,28.99279,
186,5389800,6672,9570,28.992775,
187,4816100,6668,9570,28.992775,
188,4845300,6673,9570,28.99278,
189,4831900,6670,9570,28.99278,
190,5919100,6672,9570,28.992777,
191,7696700,6672,9570,28.992777,
192,5400000,6672,9570,28.992777,
193,5028000,6673,9570,28.992779,
