step,wall_ns,manifolds,pairs,top_y,awake
0,12737900,8555,9570,28.99835,
1,9211200,5761,9570,28.995926,
2,9368200,6723,9570,28.994566,
3,9160500,6695,9570,28.994541,
4,9471900,6672,9570,28.994545,
5,9654100,6758,9570,28.994184,
6,9116700,6793,9570,28.993921,
7,9145200,6783,9570,28.993895,
8,9115600,6772,9570,28.993822,
9,9106500,6790,9570,28.993675,
10,9066500,6786,9570,28.993578,
11,9205800,6806,9570,28.99352,
12,9319100,6806,9570,28.993486,
13,10590000,6780,9570,28.993422,
14,9787700,6784,9570,28.99337,
15,9249900,6765,9570,28.993326,
16,9217300,6760,9570,28.993288,
17,9102600,6761,9570,28.993235,
18,9232900,6734,9570,28.99321,
19,9117200,6754,9570,28.99318,
20,9647700,6753,9570,28.99314,
21,11434400,6741,9570,28.993107,
22,9723400,6739,9570,28.993093,
23,9874300,6730,9570,28.993065,
24,11088000,6730,9570,28.993042,
25,10479700,6722,9570,28.99303,
26,11366200,6733,9570,28.993017,
27,13237600,6733,9570,28.992998,
28,11821800,6715,9570,28.992983,
29,11804800,6720,9570,28.992973,
30,12104900,6719,9570,28.99296,
31,12157100,6717,9570,28.992933,
32,10831400,6716,9570,28.992924,
33,11910900,6704,9570,28.992918,
34,10190100,6697,9570,28.992907,
35,11212600,6701,9570,28.992893,
36,11057000,6705,9570,28.992886,
37,12827300,6721,9570,28.992884,
38,10723900,6725,9570,28.99288,
39,10645100,6710,9570,28.992878,
40,10749700,6708,9570,28.992876,
41,11205600,6708,9570,28.992876,
42,12091200,6700,9570,28.99287,
43,11962400,6693,9570,28.99286,
44,11488300,6701,9570,28.992851,
45,11215400,6708,9570,28.99285,
46,12971100,6706,9570,28.992847,
47,13258600,6703,9570,28.99284,
48,11369900,6704,9570,28.99284,
49,10929800,6704,9570,28.992838,
50,12350900,6707,9570,28.99283,
51,11760300,6705,9570,28.992828,
52,16097400,6714,9570,28.992826,
53,16988800,6704,9570,28.992823,
54,15517500,6700,9570,28.992823,
55,12822000,6707,9570,28.992817,
56,10117700,6699,9570,28.992815,
57,9721100,6699,9570,28.99282,
58,13050000,6707,9570,28.99282,
59,13769600,6702,9570,28.992815,
60,15535300,6706,9570,28.99281,
61,11825900,6701,9570,28.992811,
62,18471900,6695,9570,28.992815,
63,17066300,6694,9570,28.992807,
64,12043900,6691,9570,28.992807,
65,10846200,6698,9570,28.992807,
66,13787400,6700,9570,28.992807,
67,22182200,6693,9570,28.992805,
68,14827600,6701,9570,28.992804,
69,12415600,6699,9570,28.992804,
70,10350800,6702,9570,28.992807,
71,10194400,6703,9570,28.992807,
72,12247700,6700,9570,28.992807,
73,12160900,6694,9570,28.992807,
74,11424900,6690,9570,28.992807,
75,12411200,6685,9570,28.992804,
76,11593700,6687,9570,28.992804,
77,10617200,6684,9570,28.99281,
78,12385500,6684,9570,28.99281,
79,12827300,6685,9570,28.99281,
80,10767100,6680,9570,28.99281,
81,11524000,6679,9570,28.99281,
82,11982700,6674,9570,28.99281,
83,11585900,6676,9570,28.992811,
84,14413700,6676,9570,28.992811,
85,11241900,6667,9570,28.992811,
86,11689900,6676,9570,28.992817,
87,11909000,6672,9570,28.992817,
88,12435300,6678,9570,28.992817,
89,11957100,6678,9570,28.992817,
90,12335900,6680,9570,28.992817,
91,9659900,6683,9570,28.992815,
92,9321800,6678,9570,28.992807,
93,9002800,6674,9570,28.992805,
94,9034400,6680,9570,28.9928,
95,9223800,6674,9570,28.992796,
96,9226600,6668,9570,28.992794,
97,9229600,6672,9570,28.992796,
98,10605600,6675,9570,28.992798,
99,9641200,6676,9570,28.992798,
100,9342100,6677,9570,28.992798,
101,9086600,6675,9570,28.992796,
102,9003800,6673,9570,28.992798,
103,9994300,6669,9570,28.992802,
104,9157400,6665,9570,28.992802,
105,10149200,6665,9570,28.992802,
106,9298200,6661,9570,28.992785,
