step,wall_ns,manifolds,pairs,top_y,awake
0,6648400,4495,9570,35.998295,
1,5388400,4196,9570,35.993866,
2,5326300,4142,9570,35.986713,
3,5482800,4111,9570,35.976837,
4,5416400,4100,9570,35.964233,
5,5530900,4087,9570,35.948902,
6,5431300,4079,9570,35.93085,
7,5565800,4073,9570,35.910072,
8,5421000,4066,9570,35.88657,
9,5606400,4061,9570,35.86034,
10,5425000,4053,9570,35.831387,
11,5528900,4054,9570,35.79971,
12,5477000,4056,9570,35.765305,
13,5547500,4055,9570,35.728176,
14,5445100,4060,9570,35.688324,
15,5492100,4057,9570,35.64575,
16,5420400,4055,9570,35.600445,
17,5432000,4051,9570,35.552414,
18,5590000,4049,9570,35.501663,
19,5514800,4050,9570,35.448185,
20,5950500,4829,9570,35.391983,
21,5898600,4715,9570,35.333054,
22,5837600,4565,9570,35.2714,
23,5890900,4496,9570,35.207024,
24,5702700,4419,9570,35.13992,
25,5666400,4390,9570,35.07009,
26,5633400,4353,9570,34.997536,
27,5587900,4336,9570,34.92226,
28,6051900,4982,9570,34.844257,
29,6073900,4783,9570,34.763527,
30,5964900,4670,9570,34.680073,
31,6085400,4639,9570,34.593895,
32,6143100,4573,9570,34.504993,
33,5779900,4491,9570,34.413364,
34,6290200,5031,9570,34.31901,
35,6090000,4806,9570,34.221935,
36,6170000,4646,9570,34.12213,
37,6085600,4535,9570,34.019604,
38,5991800,4502,9570,33.91435,
39,6258600,4984,9570,33.806374,
40,6340600,5009,9570,33.69567,
41,6239400,4852,9570,33.58224,
42,6117900,4753,9570,33.466087,
43,6106200,4728,9570,33.34721,
44,6503300,4996,9570,33.22561,
45,6646900,5112,9570,33.10128,
46,6375300,4923,9570,32.974224,
47,6556300,4760,9570,32.844448,
48,6430900,5001,9570,32.711945,
49,6429400,5139,9570,32.576717,
50,6433000,4996,9570,32.438763,
51,6357100,4871,9570,32.298084,
52,6519900,5093,9570,32.154682,
53,6427500,4972,9570,32.008553,
54,6322800,4792,9570,31.8597,
55,6223000,4796,9570,31.70812,
56,6379500,4911,9570,31.553818,
57,6301600,4780,9570,31.39679,
58,6391000,4734,9570,31.237036,
59,6309700,4748,9570,31.074558,
60,6213200,4704,9570,30.909355,
61,6322900,4678,9570,30.741426,
62,6272800,4666,9570,30.570772,
63,6678200,4609,9570,30.397394,
64,6332300,4623,9570,30.22129,
65,6308200,4625,9570,30.042463,
66,6674400,4579,9570,29.860909,
67,6530800,4610,9570,29.67663,
68,6218900,4550,9570,29.489626,
69,6083400,4524,9570,29.299898,
70,6218100,4535,9570,29.107445,
71,6231300,4528,9570,28.912266,
72,6134000,4533,9570,28.714361,
73,6127500,4529,9570,28.745474,
74,6101000,4530,9570,28.77165,
75,6122200,4529,9570,28.79591,
76,6018400,4524,9570,28.816788,
77,6053600,4517,9570,28.83433,
78,6155800,4520,9570,28.848581,
79,6242800,4514,9568,28.862343,
80,6103600,4519,9568,28.873486,
81,6201400,4518,9568,28.88324,
82,6128200,4518,9568,28.892859,
83,6293800,4516,9568,28.90075,
84,6146400,4517,9567,28.907646,
85,6162000,4508,9565,28.914537,
86,6208400,4519,9565,28.920815,
87,6088500,4516,9565,28.92588,
88,6305000,4518,9565,28.930962,
89,6078700,4519,9565,28.935617,
90,6040700,4514,9565,28.939785,
91,6056200,4516,9565,28.943506,
92,6041600,4512,9565,28.946703,
93,6176400,4508,9565,28.949604,
94,6149700,4522,9565,28.952375,
95,6139500,4519,9565,28.954878,
96,6334000,4521,9565,28.957104,
97,6159100,4517,9565,28.9592,
98,6053200,4515,9565,28.960983,
99,6027900,4520,9565,28.96278,
100,6037000,4521,9564,28.964386,
101,6206000,4521,9564,28.965906,
102,6109500,4521,9563,28.967402,
103,6101100,4520,9563,28.968788,
104,6123100,4522,9563,28.969984,
105,6060900,4518,9563,28.971111,
106,6107700,4521,9563,28.97221,
107,6081000,4523,9563,28.97325,
108,6055700,4515,9562,28.974203,
109,6240400,4517,9562,28.975157,
110,6204400,4516,9562,28.976004,
111,6093100,4515,9562,28.976778,
112,6073000,4519,9562,28.977486,
113,6139800,4520,9562,28.978231,
114,6128700,4520,9562,28.97893,
115,6262100,4519,9561,28.979557,
116,6121400,4526,9561,28.980162,
117,6011100,4519,9561,28.980728,
118,6076100,4521,9561,28.981266,
119,5993300,4517,9561,28.981787,
120,5968000,4523,9561,28.982262,
121,6031200,4523,9561,28.98269,
122,6041900,4521,9561,28.983118,
123,6077400,4522,9561,28.98351,
124,6405800,4518,9561,28.98387,
125,6100100,4521,9561,28.984217,
126,6102100,4521,9561,28.984558,
127,6060800,4517,9561,28.98485,
128,6031200,4522,9561,28.98514,
129,6049400,4521,9561,28.98541,
130,6020100,4519,9560,28.98568,
131,6129700,4526,9559,28.98593,
132,6074900,4524,9559,28.986149,
133,5985100,4516,9559,28.98636,
134,6185300,4520,9559,28.98657,
135,6059500,4522,9559,28.986776,
136,6055100,4519,9559,28.986969,
137,6074000,4521,9559,28.987137,
138,6067500,4521,9559,28.9873,
139,6230800,4521,9559,28.987465,
140,6099300,4518,9559,28.987623,
141,6097700,4523,9559,28.987766,
142,6122700,4524,9559,28.987892,
143,6028900,4523,9559,28.98802,
144,6030300,4520,9559,28.988153,
145,6013900,4519,9559,28.98826,
146,6253000,4520,9559,28.988363,
147,6405100,4522,9559,28.988459,
148,6146200,4517,9559,28.988543,
149,6058500,4519,9559,28.988642,
150,6048300,4522,9559,28.98874,
151,6090900,4520,9559,28.98882,
152,6174100,4523,9559,28.988888,
153,6023400,4523,9559,28.988964,
