step,wall_ns,manifolds,pairs,top_y,awake
0,5844100,4495,9570,35.998295,
1,2475200,4196,9570,35.993866,
2,2234300,4142,9570,35.986713,
3,2399400,4111,9570,35.976837,
4,2784100,4100,9570,35.964233,
5,2232800,4087,9570,35.948902,
6,2315100,4079,9570,35.93085,
7,2908400,4073,9570,35.910072,
8,2303700,4066,9570,35.88657,
9,2229700,4061,9570,35.86034,
10,2220700,4053,9570,35.831387,
11,2203200,4054,9570,35.79971,
12,2167600,4056,9570,35.765305,
13,2173100,4055,9570,35.728176,
14,2145100,4060,9570,35.688324,
15,2140200,4057,9570,35.64575,
16,2203100,4055,9570,35.600445,
17,2137400,4051,9570,35.552414,
18,2206600,4049,9570,35.501663,
19,2151300,4050,9570,35.448185,
20,2592500,4829,9570,35.391983,
21,2580600,4715,9570,35.333054,
22,2459700,4565,9570,35.2714,
23,2396300,4496,9570,35.207024,
24,2466100,4419,9570,35.13992,
25,2376000,4390,9570,35.07009,
26,2725000,4353,9570,34.997536,
27,3458700,4336,9570,34.92226,
28,3254000,4982,9570,34.844257,
29,2808800,4783,9570,34.763527,
30,3221400,4670,9570,34.680073,
31,2574000,4639,9570,34.593895,
32,2536700,4573,9570,34.504993,
33,2466500,4491,9570,34.413364,
34,3063100,5031,9570,34.31901,
35,3025400,4806,9570,34.221935,
36,2692600,4646,9570,34.12213,
37,2591300,4535,9570,34.019604,
38,2612800,4502,9570,33.91435,
39,2640800,4984,9570,33.806374,
40,2702100,5009,9570,33.69567,
41,2640800,4852,9570,33.58224,
42,2569800,4753,9570,33.466087,
43,2577400,4728,9570,33.34721,
44,2824900,4996,9570,33.22561,
45,3202500,5112,9570,33.10128,
46,2783900,4923,9570,32.974224,
47,2657100,4760,9570,32.844448,
48,2685800,5001,9570,32.711945,
49,2924000,5139,9570,32.576717,
50,4190800,4996,9570,32.438763,
51,3538400,4871,9570,32.298084,
52,3071100,5093,9570,32.154682,
53,2848900,4972,9570,32.008553,
54,2716600,4792,9570,31.8597,
55,2752600,4796,9570,31.70812,
56,2885600,4911,9570,31.553818,
57,3222000,4780,9570,31.39679,
58,2875200,4734,9570,31.237036,
59,2665400,4748,9570,31.074558,
60,2632200,4704,9570,30.909355,
61,2541700,4678,9570,30.741426,
62,2537200,4666,9570,30.570772,
63,2536800,4609,9570,30.397394,
64,2592300,4623,9570,30.22129,
65,2524900,4625,9570,30.042463,
66,2720200,4579,9570,29.860909,
67,2530500,4610,9570,29.67663,
68,2587100,4550,9570,29.489626,
69,2935700,4524,9570,29.299898,
70,2561500,4535,9570,29.107445,
71,2580100,4528,9570,28.912266,
72,2676900,4533,9570,28.714361,
73,2535100,4529,9570,28.745474,
74,3452900,4530,9570,28.77165,
75,3283600,4529,9570,28.79591,
76,3162400,4524,9570,28.816788,
77,2936000,4517,9570,28.83433,
78,3775100,4520,9570,28.848581,
79,3001100,4514,9568,28.862343,
80,3158300,4519,9568,28.873486,
81,4060300,4518,9568,28.88324,
82,3155100,4518,9568,28.892859,
83,2959100,4516,9568,28.90075,
84,2781100,4517,9567,28.907646,
85,2649700,4508,9565,28.914537,
86,2555400,4519,9565,28.920815,
87,2640500,4516,9565,28.92588,
88,2561600,4518,9565,28.930962,
89,2539600,4519,9565,28.935617,
90,2519500,4514,9565,28.939785,
91,2428000,4516,9565,28.943506,
92,2603500,4512,9565,28.946703,
93,2941500,4508,9565,28.949604,
94,2609300,4522,9565,28.952375,
95,2920700,4519,9565,28.954878,
96,2702400,4521,9565,28.957104,
97,3410100,4517,9565,28.9592,
98,3388500,4515,9565,28.960983,
99,2819800,4520,9565,28.96278,
100,2986900,4521,9564,28.964386,
101,2949700,4521,9564,28.965906,
102,3117500,4521,9563,28.967402,
103,2742100,4520,9563,28.968788,
104,2661700,4522,9563,28.969984,
105,2509600,4518,9563,28.971111,
106,2459900,4521,9563,28.97221,
107,2470800,4523,9563,28.97325,
108,2448300,4515,9562,28.974203,
109,2434300,4517,9562,28.975157,
110,2488900,4516,9562,28.976004,
111,2427600,4515,9562,28.976778,
112,2534700,4519,9562,28.977486,
113,2445000,4520,9562,28.978231,
114,2459400,4520,9562,28.97893,
115,2495500,4519,9561,28.979557,
116,2591800,4526,9561,28.980162,
117,2484100,4519,9561,28.980728,
118,2518200,4521,9561,28.981266,
119,2595000,4517,9561,28.981787,
120,3081500,4523,9561,28.982262,
121,2603800,4523,9561,28.98269,
122,2964600,4521,9561,28.983118,
123,3549800,4522,9561,28.98351,
124,2513600,4518,9561,28.98387,
125,2570900,4521,9561,28.984217,
126,2701500,4521,9561,28.984558,
127,2889000,4517,9561,28.98485,
128,2606700,4522,9561,28.98514,
129,2924400,4521,9561,28.98541,
130,2599900,4519,9560,28.98568,
131,2499300,4526,9559,28.98593,
132,2445500,4524,9559,28.986149,
133,2461400,4516,9559,28.98636,
134,2434000,4520,9559,28.98657,
135,2411100,4522,9559,28.986776,
136,2425200,4519,9559,28.986969,
137,2458800,4521,9559,28.987137,
138,2418200,4521,9559,28.9873,
139,2524700,4521,9559,28.987465,
140,2420400,4518,9559,28.987623,
141,2430800,4523,9559,28.987766,
142,2731100,4524,9559,28.987892,
143,2873800,4523,9559,28.98802,
144,2611100,4520,9559,28.988153,
145,2748900,4519,9559,28.98826,
146,3334300,4520,9559,28.988363,
147,3388000,4522,9559,28.988459,
148,2533600,4517,9559,28.988543,
149,2572200,4519,9559,28.988642,
150,2846200,4522,9559,28.98874,
151,2752300,4520,9559,28.98882,
152,2540700,4523,9559,28.988888,
153,2520300,4523,9559,28.988964,
154,2619200,4524,9559,28.989048,
155,2927400,4521,9559,28.989117,
156,2532800,4520,9559,28.989172,
157,2649400,4519,9559,28.989218,
158,2468300,4519,9559,28.98927,
159,2498900,4518,9559,28.98933,
160,2459500,4519,9559,28.989386,
161,2440200,4521,9559,28.989433,
162,2506700,4518,9559,28.989477,
163,2477200,4520,9559,28.989515,
164,2443600,4520,9559,28.989552,
165,2590900,4519,9559,28.989582,
166,3043400,4516,9559,28.989613,
167,2487100,4518,9559,28.989645,
168,2600100,4518,9559,28.989676,
169,2460500,4514,9559,28.9897,
170,2527000,4515,9559,28.989725,
171,2768100,4512,9559,28.989754,
172,3180300,4513,9559,28.98977,
173,3710100,4515,9559,28.989801,
174,2645000,4515,9559,28.989834,
175,2646600,4515,9559,28.989851,
176,3158200,4514,9559,28.989864,
177,2851200,4516,9559,28.989883,
178,3090000,4515,9559,28.989906,
179,2585400,4515,9559,28.989923,
180,2553300,4515,9559,28.98993,
181,2506700,4517,9559,28.98993,
182,2527500,4517,9559,28.98994,
183,2453100,4516,9559,28.989958,
184,2477100,4516,9559,28.98997,
185,2498500,4514,9559,28.989977,
186,2456600,4515,9559,28.98999,
187,2435900,4516,9559,28.990005,
188,2464100,4519,9559,28.990013,
189,2431500,4519,9559,28.990015,
190,2453100,4519,9559,28.990025,
191,2455700,4520,9559,28.99004,
192,2889800,4522,9559,28.990047,
193,2445000,4521,9559,28.990053,
194,2627400,4522,9559,28.990055,
195,2447300,4521,9559,28.99006,
196,2554200,4522,9559,28.99006,
197,2676300,4523,9559,28.990076,
198,3261500,4523,9559,28.990084,
199,3345800,4524,9559,28.990086,
200,2528600,4522,9559,28.990088,
201,2590000,4522,9559,28.990097,
202,2880100,4521,9559,28.99011,
203,2858400,4525,9559,28.990112,
204,2998900,4526,9559,28.990108,
205,3023300,4524,9559,28.990114,
206,2587800,4523,9559,28.99012,
207,2516800,4523,9559,28.990118,
208,2513400,4523,9559,28.990112,
209,2468000,4522,9559,28.990116,
210,2409600,4522,9559,28.990122,
211,2420200,4523,9559,28.990128,
212,2505500,4523,9559,28.990124,
213,2414300,4523,9559,28.99013,
214,2448900,4524,9559,28.990137,
215,2549500,4524,9559,28.990137,
216,2441500,4526,9559,28.990137,
217,2517200,4524,9559,28.990143,
218,2928900,4525,9559,28.990149,
219,2660100,4524,9559,28.990149,
220,2646900,4523,9559,28.990152,
221,3304100,4522,9559,28.99016,
222,3653100,4522,9559,28.990164,
223,2662300,4520,9559,28.990162,
224,2564800,4521,9559,28.99016,
225,2600300,4522,9559,28.990166,
226,2954100,4521,9559,28.990166,
227,2607200,4522,9559,28.990166,
228,2947400,4521,9559,28.990168,
229,2482600,4519,9559,28.990175,
230,2507100,4521,9559,28.990171,
231,2465100,4522,9559,28.990166,
232,2494000,4523,9559,28.990173,
233,2467400,4527,9559,28.990175,
234,2800700,4523,9559,28.990168,
235,2646000,4525,9559,28.99017,
236,2642300,4525,9559,28.990175,
237,2481600,4526,9559,28.990175,
238,2542700,4525,9559,28.990175,
239,2474900,4524,9559,28.990175,
240,2582200,4524,9559,28.990175,
241,2679300,4521,9559,28.990175,
242,2693400,4520,9559,28.990175,
243,2565700,4520,9559,28.990175,
244,2452100,4521,9559,28.990171,
245,2452700,4520,9559,28.990164,
246,2617000,4521,9559,28.990164,
247,3224100,4521,9559,28.990164,
248,3556700,4520,9559,28.990164,
249,2686100,4522,9559,28.990164,
250,2478100,4521,9559,28.990164,
251,2863700,4522,9559,28.990164,
252,3538200,4523,9559,28.990164,
253,2597000,4523,9559,28.99017,
254,2964500,4523,9559,28.99017,
255,2574700,4521,9559,28.99017,
256,2457500,4519,9559,28.99017,
257,2466100,4519,9559,28.990171,
258,2461900,4520,9559,28.990177,
259,2441700,4520,9559,28.990177,
260,2442900,4520,9559,28.990177,
261,2467400,4519,9559,28.99018,
262,2488800,4518,9559,28.990187,
263,2432800,4518,9559,28.990187,
264,2572600,4518,9559,28.990187,
265,2440000,4518,9559,28.990187,
266,2436300,4518,9559,28.990187,
267,2593100,4518,9559,28.990187,
268,2446300,4518,9559,28.990187,
269,2480000,4518,9559,28.990187,
270,2773200,4518,9559,28.990187,
271,2528300,4518,9559,28.990187,
272,3642200,4518,9559,28.990187,
273,3535700,4518,9559,28.990187,
274,3063800,4518,9559,28.990187,
275,3038100,4518,9559,28.990187,
276,2651300,4519,9559,28.990183,
277,2503200,4518,9559,28.990183,
278,2463900,4518,9559,28.990183,
279,2561800,4519,9559,28.990183,
280,3015900,4518,9559,28.990183,
281,2521600,4520,9559,28.990183,
282,2494500,4520,9559,28.990185,
283,2454700,4518,9559,28.990185,
284,2455000,4518,9559,28.990185,
285,2437400,4519,9559,28.990185,
286,2422700,4520,9559,28.990185,
287,2475700,4519,9559,28.990185,
288,2483000,4520,9559,28.990185,
289,2436900,4518,9559,28.990185,
290,2486000,4517,9559,28.99019,
291,3099100,4517,9559,28.99019,
292,2445000,4519,9559,28.99019,
293,2503700,4517,9559,28.990187,
294,2504700,4517,9559,28.990185,
295,2625800,4516,9559,28.990192,
296,3107900,4516,9559,28.990198,
297,3722400,4515,9559,28.990198,
298,3106400,4515,9559,28.990196,
299,2841700,4515,9559,28.990194,
300,2541100,4515,9559,28.990194,
301,2468900,4515,9559,28.990194,
302,2560900,4515,9559,28.990194,
303,2817300,4516,9559,28.990194,
304,2724800,4515,9559,28.990194,
305,2624200,4517,9559,28.990194,
306,2485600,4517,9559,28.990194,
307,2442100,4517,9559,28.990194,
308,2488000,4516,9559,28.990194,
309,2428200,4516,9559,28.990194,
310,2413500,4516,9559,28.990194,
311,2584600,4516,9559,28.990194,
312,2438800,4515,9559,28.990194,
313,2492000,4515,9559,28.990194,
314,2486200,4515,9559,28.990194,
315,2437400,4517,9559,28.990194,
316,2599400,4515,9559,28.990194,
317,2864900,4517,9559,28.990194,
318,2802700,4516,9559,28.990192,
319,2554900,4516,9559,28.99019,
320,2437700,4515,9559,28.990196,
321,2482400,4515,9559,28.990198,
322,2612000,4517,9559,28.990198,
323,2832300,4517,9559,28.990198,
324,3595900,4517,9559,28.990198,
325,2670500,4516,9559,28.990194,
326,2530900,4516,9559,28.990189,
327,2604200,4516,9559,28.990189,
328,3108500,4515,9559,28.990189,
329,2533500,4514,9559,28.990189,
330,2927100,4515,9559,28.990189,
331,2522400,4513,9559,28.990189,
332,2460400,4513,9559,28.990189,
333,2481400,4512,9559,28.990185,
334,2476000,4513,9559,28.990185,
335,2403000,4514,9559,28.990185,
336,2456700,4513,9559,28.990185,
337,2433900,4516,9559,28.990185,
338,2417600,4517,9559,28.990185,
339,2407400,4518,9559,28.990185,
340,2446300,4517,9559,28.990185,
341,2437800,4517,9559,28.990185,
342,2430500,4517,9559,28.990185,
343,2598900,4517,9559,28.990185,
344,3113000,4517,9559,28.990185,
