step,wall_ns,manifolds,pairs,top_y,awake
0,8374300,8555,9570,28.99835,
1,5597700,5761,9570,28.995926,
2,5815400,6723,9570,28.994566,
3,5106900,6695,9570,28.994541,
4,4980900,6672,9570,28.994545,
5,4910700,6758,9570,28.994184,
6,5884900,6793,9570,28.993921,
7,5964300,6783,9570,28.993895,
8,7187300,6772,9570,28.993822,
9,5453700,6790,9570,28.993675,
10,5148200,6786,9570,28.993578,
11,5144600,6806,9570,28.99352,
12,5341700,6806,9570,28.993486,
13,5017400,6780,9570,28.993422,
14,5177900,6784,9570,28.99337,
15,5224300,6765,9570,28.993326,
16,7218600,6760,9570,28.993288,
17,8928000,6761,9570,28.993235,
18,6973300,6734,9570,28.99321,
19,6453000,6754,9570,28.99318,
20,6130600,6753,9570,28.99314,
21,6629600,6741,9570,28.993107,
22,6025600,6739,9570,28.993093,
23,5563900,6730,9570,28.993065,
24,5333400,6730,9570,28.993042,
25,5948400,6722,9570,28.99303,
26,5536600,6733,9570,28.993017,
27,5243300,6733,9570,28.992998,
28,5775200,6715,9570,28.992983,
29,5174300,6720,9570,28.992973,
30,5094600,6719,9570,28.99296,
31,5282800,6717,9570,28.992933,
32,5004200,6716,9570,28.992924,
33,5136500,6704,9570,28.992918,
34,5145200,6697,9570,28.992907,
35,5490900,6701,9570,28.992893,
36,5355400,6705,9570,28.992886,
37,6463500,6721,9570,28.992884,
38,5469800,6725,9570,28.99288,
39,5112600,6710,9570,28.992878,
40,5001100,6708,9570,28.992876,
41,5817000,6708,9570,28.992876,
42,5162500,6700,9570,28.99287,
43,5052100,6693,9570,28.99286,
44,5451500,6701,9570,28.992851,
45,5212700,6708,9570,28.99285,
46,5812800,6706,9570,28.992847,
47,5378200,6703,9570,28.99284,
48,4987700,6704,9570,28.99284,
49,4958300,6704,9570,28.992838,
50,5647600,6707,9570,28.99283,
51,5153800,6705,9570,28.992828,
52,4950600,6714,9570,28.992826,
53,5638300,6704,9570,28.992823,
54,6344800,6700,9570,28.992823,
55,5689200,6707,9570,28.992817,
56,5276300,6699,9570,28.992815,
57,5625300,6699,9570,28.99282,
58,5216000,6707,9570,28.99282,
59,5234200,6702,9570,28.992815,
60,5317700,6706,9570,28.99281,
61,5098900,6701,9570,28.992811,
62,5094800,6695,9570,28.992815,
63,5819100,6694,9570,28.992807,
64,5076600,6691,9570,28.992807,
65,5019900,6698,9570,28.992807,
66,5434900,6700,9570,28.992807,
67,5109000,6693,9570,28.992805,
68,5227800,6701,9570,28.992804,
69,5476600,6699,9570,28.992804,
70,4953200,6702,9570,28.992807,
71,4993100,6703,9570,28.992807,
72,5934000,6700,9570,28.992807,
73,5719000,6694,9570,28.992807,
74,5048100,6690,9570,28.992807,
75,5619600,6685,9570,28.992804,
76,5088100,6687,9570,28.992804,
77,5111000,6684,9570,28.99281,
78,5459100,6684,9570,28.99281,
79,5042200,6685,9570,28.99281,
80,4952700,6680,9570,28.99281,
81,4979800,6679,9570,28.99281,
82,5591900,6674,9570,28.99281,
83,5195300,6676,9570,28.992811,
84,6174700,6676,9570,28.992811,
85,5335500,6667,9570,28.992811,
86,5043500,6676,9570,28.992817,
87,4918100,6672,9570,28.992817,
88,5783200,6678,9570,28.992817,
89,5038600,6678,9570,28.992817,
90,5187600,6680,9570,28.992817,
91,5658900,6683,9570,28.992815,
92,5043700,6678,9570,28.992807,
93,6078800,6674,9570,28.992805,
94,5082800,6680,9570,28.9928,
95,5011200,6674,9570,28.992796,
96,5097800,6668,9570,28.992794,
97,5173200,6672,9570,28.992796,
98,5078400,6675,9570,28.992798,
99,5000300,6676,9570,28.992798,
100,5556600,6677,9570,28.992798,
101,5455800,6675,9570,28.992796,
102,4950600,6673,9570,28.992798,
103,4902600,6669,9570,28.992802,
104,5283100,6665,9570,28.992802,
105,5299500,6665,9570,28.992802,
106,6371300,6661,9570,28.992785,
107,6301100,6657,9570,28.992767,
108,5699500,6664,9570,28.992775,
109,5459700,6665,9570,28.992783,
110,5502100,6667,9570,28.992783,
111,5342100,6669,9570,28.992788,
112,5134900,6665,9570,28.992788,
113,5392900,6672,9570,28.992786,
114,5007400,6676,9570,28.992786,
115,5445200,6674,9570,28.99279,
116,5265300,6671,9570,28.99279,
117,4989400,6675,9570,28.992794,
118,4855300,6671,9570,28.992794,
119,5493300,6674,9570,28.992794,
120,5175700,6674,9570,28.992794,
121,5100200,6677,9570,28.992794,
122,5954100,6679,9570,28.992794,
123,5119100,6679,9570,28.992794,
124,5190400,6685,9570,28.992796,
125,5268000,6684,9570,28.992796,
126,5132200,6676,9570,28.992796,
127,4964400,6678,9570,28.992796,
128,5112700,6675,9570,28.992798,
129,6000100,6679,9570,28.992798,
130,4988000,6676,9570,28.992798,
131,5609900,6680,9570,28.992798,
132,5297800,6677,9570,28.992796,
133,5294500,6674,9570,28.992796,
134,5269600,6675,9570,28.992796,
135,5168700,6676,9570,28.992796,
136,5106400,6676,9570,28.992796,
137,4939600,6673,9570,28.992796,
138,5008900,6675,9570,28.992796,
139,5628200,6677,9570,28.992796,
140,5388700,6677,9570,28.992796,
141,5146400,6679,9570,28.992796,
142,4925600,6680,9570,28.992796,
143,4915700,6681,9570,28.992796,
144,5112600,6687,9570,28.992796,
145,5475200,6682,9570,28.992796,
146,5518000,6680,9570,28.992796,
147,5937500,6681,9570,28.992796,
