step,wall_ns,manifolds,pairs,top_y,awake
0,6970500,4495,9570,35.998295,
1,5878300,4196,9570,35.993866,
2,5385800,4142,9570,35.986713,
3,5527500,4111,9570,35.976837,
4,5406000,4100,9570,35.964233,
5,5482900,4087,9570,35.948902,
6,5399600,4079,9570,35.93085,
7,5641100,4073,9570,35.910072,
8,5437300,4066,9570,35.88657,
9,5457000,4061,9570,35.86034,
10,5382200,4053,9570,35.831387,
11,5658000,4054,9570,35.79971,
12,5446900,4056,9570,35.765305,
13,5381200,4055,9570,35.728176,
14,5632500,4060,9570,35.688324,
15,6430500,4057,9570,35.64575,
16,6307500,4055,9570,35.600445,
17,5815000,4051,9570,35.552414,
18,5322600,4049,9570,35.501663,
19,5362700,4050,9570,35.448185,
20,6000600,4829,9570,35.391983,
21,6062400,4715,9570,35.333054,
22,6436100,4565,9570,35.2714,
23,5787000,4496,9570,35.207024,
24,5657400,4419,9570,35.13992,
25,5857300,4390,9570,35.07009,
26,5799500,4353,9570,34.997536,
27,5698100,4336,9570,34.92226,
28,6467100,4982,9570,34.844257,
29,5997300,4783,9570,34.763527,
30,6131600,4670,9570,34.680073,
31,5885300,4639,9570,34.593895,
32,5864300,4573,9570,34.504993,
33,5900700,4491,9570,34.413364,
34,6328200,5031,9570,34.31901,
35,6117400,4806,9570,34.221935,
36,6101500,4646,9570,34.12213,
37,6070900,4535,9570,34.019604,
38,6126200,4502,9570,33.91435,
39,6666800,4984,9570,33.806374,
40,6399600,5009,9570,33.69567,
41,6405600,4852,9570,33.58224,
42,6199900,4753,9570,33.466087,
43,6165100,4728,9570,33.34721,
44,6514600,4996,9570,33.22561,
45,6515600,5112,9570,33.10128,
46,6412700,4923,9570,32.974224,
47,6370200,4760,9570,32.844448,
48,6527400,5001,9570,32.711945,
49,6935900,5139,9570,32.576717,
50,6542000,4996,9570,32.438763,
51,6352500,4871,9570,32.298084,
52,6886400,5093,9570,32.154682,
53,6614800,4972,9570,32.008553,
54,6698600,4792,9570,31.8597,
