step,wall_ns,manifolds,pairs,top_y,awake
0,7206300,4495,9570,35.998295,
1,5911900,4196,9570,35.993866,
2,6112400,4142,9570,35.986713,
3,5691600,4111,9570,35.976837,
4,5755000,4100,9570,35.964233,
5,6076900,4087,9570,35.948902,
6,5749400,4079,9570,35.93085,
7,5766000,4073,9570,35.910072,
8,5761900,4066,9570,35.88657,
9,5689200,4061,9570,35.86034,
10,5768900,4053,9570,35.831387,
11,5649100,4054,9570,35.79971,
12,5650600,4056,9570,35.765305,
13,5671000,4055,9570,35.728176,
14,5672000,4060,9570,35.688324,
15,5679300,4057,9570,35.64575,
16,5731400,4055,9570,35.600445,
17,6068800,4051,9570,35.552414,
18,5838600,4049,9570,35.501663,
19,5847400,4050,9570,35.448185,
20,6453000,4829,9570,35.391983,
21,6660600,4715,9570,35.333054,
22,6446100,4565,9570,35.2714,
23,6394900,4496,9570,35.207024,
24,6214700,4419,9570,35.13992,
25,6240500,4390,9570,35.07009,
26,6176600,4353,9570,34.997536,
27,6151600,4336,9570,34.92226,
28,6857600,4982,9570,34.844257,
29,6720900,4783,9570,34.763527,
30,6672400,4670,9570,34.680073,
31,6647400,4639,9570,34.593895,
32,6582400,4573,9570,34.504993,
33,6419600,4491,9570,34.413364,
34,6886000,5031,9570,34.31901,
35,6963300,4806,9570,34.221935,
36,6733800,4646,9570,34.12213,
37,6748400,4535,9570,34.019604,
38,6618100,4502,9570,33.91435,
39,7386900,4984,9570,33.806374,
40,7336700,5009,9570,33.69567,
41,7121500,4852,9570,33.58224,
42,7036700,4753,9570,33.466087,
43,6938300,4728,9570,33.34721,
44,7251900,4996,9570,33.22561,
45,7349900,5112,9570,33.10128,
46,7169600,4923,9570,32.974224,
47,7051000,4760,9570,32.844448,
48,7323400,5001,9570,32.711945,
49,7511400,5139,9570,32.576717,
50,7672000,4996,9570,32.438763,
51,7183200,4871,9570,32.298084,
52,7413900,5093,9570,32.154682,
53,7328300,4972,9570,32.008553,
54,7124800,4792,9570,31.8597,
55,7058100,4796,9570,31.70812,
56,7523200,4911,9570,31.553818,
57,8554500,4780,9570,31.39679,
58,7643600,4734,9570,31.237036,
59,7725300,4748,9570,31.074558,
60,7269900,4704,9570,30.909355,
61,7854200,4678,9570,30.741426,
62,7841600,4666,9570,30.570772,
63,8275400,4609,9570,30.397394,
64,7692000,4623,9570,30.22129,
65,7663300,4625,9570,30.042463,
66,8654700,4579,9570,29.860909,
67,7957800,4610,9570,29.67663,
68,6916000,4550,9570,29.489626,
69,6909400,4524,9570,29.299898,
70,6907600,4535,9570,29.107445,
71,6844000,4528,9570,28.912266,
72,6869500,4533,9570,28.714361,
73,6843700,4529,9570,28.745474,
74,6799400,4530,9570,28.77165,
75,6898600,4529,9570,28.79591,
76,6811900,4524,9570,28.816788,
77,6893200,4517,9570,28.83433,
78,7193400,4520,9570,28.848581,
79,6912600,4514,9568,28.862343,
80,6881400,4519,9568,28.873486,
81,6791300,4518,9568,28.88324,
82,6860500,4518,9568,28.892859,
83,6867000,4516,9568,28.90075,
84,6840400,4517,9567,28.907646,
85,6807800,4508,9565,28.914537,
86,6799000,4519,9565,28.920815,
87,6893000,4516,9565,28.92588,
88,6786900,4518,9565,28.930962,
89,7007000,4519,9565,28.935617,
90,6826300,4514,9565,28.939785,
91,7059700,4516,9565,28.943506,
92,7705500,4512,9565,28.946703,
93,7197500,4508,9565,28.949604,
94,7020600,4522,9565,28.952375,
95,6925400,4519,9565,28.954878,
96,6885700,4521,9565,28.957104,
97,6836700,4517,9565,28.9592,
98,6960800,4515,9565,28.960983,
99,7490500,4520,9565,28.96278,
100,6856700,4521,9564,28.964386,
101,6815200,4521,9564,28.965906,
102,6827200,4521,9563,28.967402,
103,6841300,4520,9563,28.968788,
104,6838100,4522,9563,28.969984,
105,6821300,4518,9563,28.971111,
106,6866900,4521,9563,28.97221,
107,6830900,4523,9563,28.97325,
108,7002400,4515,9562,28.974203,
109,6829900,4517,9562,28.975157,
110,6776300,4516,9562,28.976004,
111,6842100,4515,9562,28.976778,
112,7064700,4519,9562,28.977486,
113,6974700,4520,9562,28.978231,
114,6880400,4520,9562,28.97893,
115,6860900,4519,9561,28.979557,
116,6846800,4526,9561,28.980162,
117,6787400,4519,9561,28.980728,
118,6942500,4521,9561,28.981266,
119,6844500,4517,9561,28.981787,
120,6825800,4523,9561,28.982262,
