step,wall_ns,manifolds,pairs,top_y,awake
0,11421200,8555,9570,28.99835,
1,8341300,5761,9570,28.995926,
2,9729700,6723,9570,28.994566,
3,9688600,6695,9570,28.994541,
4,9361500,6672,9570,28.994545,
5,9520500,6758,9570,28.994184,
6,10626100,6793,9570,28.993921,
7,9520700,6783,9570,28.993895,
8,11542300,6772,9570,28.993822,
9,9761800,6790,9570,28.993675,
10,9489000,6786,9570,28.993578,
11,9340300,6806,9570,28.99352,
12,9274900,6806,9570,28.993486,
13,9241600,6780,9570,28.993422,
14,9408500,6784,9570,28.99337,
15,10643300,6765,9570,28.993326,
16,9898800,6760,9570,28.993288,
17,9287100,6761,9570,28.993235,
18,9218000,6734,9570,28.99321,
19,9525500,6754,9570,28.99318,
20,9820900,6753,9570,28.99314,
21,9892200,6741,9570,28.993107,
22,10506600,6739,9570,28.993093,
23,9456700,6730,9570,28.993065,
24,9227500,6730,9570,28.993042,
25,9231100,6722,9570,28.99303,
26,9459500,6733,9570,28.993017,
27,9382200,6733,9570,28.992998,
28,9288800,6715,9570,28.992983,
29,9506400,6720,9570,28.992973,
30,9191300,6719,9570,28.99296,
31,9585200,6717,9570,28.992933,
32,9581600,6716,9570,28.992924,
33,9575700,6704,9570,28.992918,
34,12933200,6697,9570,28.992907,
35,10552200,6701,9570,28.992893,
36,10669200,6705,9570,28.992886,
37,9817700,6721,9570,28.992884,
38,9579500,6725,9570,28.99288,
39,9317100,6710,9570,28.992878,
40,9375500,6708,9570,28.992876,
41,9646500,6708,9570,28.992876,
42,11602400,6700,9570,28.99287,
43,10147600,6693,9570,28.99286,
44,9475900,6701,9570,28.992851,
45,9400800,6708,9570,28.99285,
46,9539700,6706,9570,28.992847,
47,9327400,6703,9570,28.99284,
48,9365900,6704,9570,28.99284,
49,9797900,6704,9570,28.992838,
50,10222900,6707,9570,28.99283,
51,10132500,6705,9570,28.992828,
52,9523000,6714,9570,28.992826,
53,9936900,6704,9570,28.992823,
54,9460400,6700,9570,28.992823,
55,10056000,6707,9570,28.992817,
56,10046500,6699,9570,28.992815,
57,9726000,6699,9570,28.99282,
58,9738000,6707,9570,28.99282,
59,9205400,6702,9570,28.992815,
60,9274900,6706,9570,28.99281,
61,9264100,6701,9570,28.992811,
62,13398200,6695,9570,28.992815,
63,12286000,6694,9570,28.992807,
64,10422500,6691,9570,28.992807,
65,9609400,6698,9570,28.992807,
66,9450400,6700,9570,28.992807,
67,9337600,6693,9570,28.992805,
68,9304800,6701,9570,28.992804,
69,9375700,6699,9570,28.992804,
70,9679300,6702,9570,28.992807,
71,9785800,6703,9570,28.992807,
72,9795700,6700,9570,28.992807,
73,9370000,6694,9570,28.992807,
74,9408800,6690,9570,28.992807,
75,9522400,6685,9570,28.992804,
76,11248600,6687,9570,28.992804,
77,10181200,6684,9570,28.99281,
78,9699900,6684,9570,28.99281,
79,9449000,6685,9570,28.99281,
80,9306500,6680,9570,28.99281,
81,10468200,6679,9570,28.99281,
82,10408700,6674,9570,28.99281,
83,10717600,6676,9570,28.992811,
84,9651100,6676,9570,28.992811,
85,9426500,6667,9570,28.992811,
86,9192700,6676,9570,28.992817,
87,9328200,6672,9570,28.992817,
88,10455000,6678,9570,28.992817,
89,10016700,6678,9570,28.992817,
90,10132400,6680,9570,28.992817,
91,13156500,6683,9570,28.992815,
92,11980900,6678,9570,28.992807,
93,10468600,6674,9570,28.992805,
94,10328100,6680,9570,28.9928,
95,11157500,6674,9570,28.992796,
96,10283600,6668,9570,28.992794,
97,9872700,6672,9570,28.992796,
98,9512300,6675,9570,28.992798,
99,9325800,6676,9570,28.992798,
100,9512200,6677,9570,28.992798,
101,9436000,6675,9570,28.992796,
102,9934200,6673,9570,28.992798,
103,9627000,6669,9570,28.992802,
