step,wall_ns,manifolds,pairs,top_y,awake
0,7868200,8555,9570,28.99835,
1,5488100,5761,9570,28.995926,
2,5129300,6723,9570,28.994566,
3,5303000,6695,9570,28.994541,
4,5309100,6672,9570,28.994545,
5,5220200,6758,9570,28.994184,
6,5040900,6793,9570,28.993921,
7,5975500,6783,9570,28.993895,
8,5419100,6772,9570,28.993822,
9,6367200,6790,9570,28.993675,
10,5409900,6786,9570,28.993578,
11,5166100,6806,9570,28.99352,
12,5213800,6806,9570,28.993486,
13,5912100,6780,9570,28.993422,
14,5388800,6784,9570,28.99337,
15,5104800,6765,9570,28.993326,
16,5571700,6760,9570,28.993288,
17,4994100,6761,9570,28.993235,
18,4947300,6734,9570,28.99321,
19,5641700,6754,9570,28.99318,
20,5114500,6753,9570,28.99314,
21,4921700,6741,9570,28.993107,
22,4899100,6739,9570,28.993093,
23,5672000,6730,9570,28.993065,
24,5023600,6730,9570,28.993042,
25,5068500,6722,9570,28.99303,
26,4831700,6733,9570,28.993017,
27,4922600,6733,9570,28.992998,
28,4911200,6715,9570,28.992983,
29,4945700,6720,9570,28.992973,
30,5427000,6719,9570,28.99296,
31,4912600,6717,9570,28.992933,
32,5448000,6716,9570,28.992924,
33,4888800,6704,9570,28.992918,
34,4798700,6697,9570,28.992907,
35,5480300,6701,9570,28.992893,
36,5012600,6705,9570,28.992886,
37,4924500,6721,9570,28.992884,
38,5046000,6725,9570,28.99288,
39,5840400,6710,9570,28.992878,
40,5041500,6708,9570,28.992876,
41,4926700,6708,9570,28.992876,
42,5261200,6700,9570,28.99287,
43,4918600,6693,9570,28.99286,
44,4973400,6701,9570,28.992851,
45,4898900,6708,9570,28.99285,
46,5273200,6706,9570,28.992847,
47,4919400,6703,9570,28.99284,
48,5025200,6704,9570,28.99284,
49,5498800,6704,9570,28.992838,
50,5059700,6707,9570,28.99283,
51,5770900,6705,9570,28.992828,
52,4906300,6714,9570,28.992826,
53,4845000,6704,9570,28.992823,
54,4896600,6700,9570,28.992823,
55,5265000,6707,9570,28.992817,
56,5031000,6699,9570,28.992815,
57,4820800,6699,9570,28.99282,
58,5894600,6707,9570,28.99282,
59,6957700,6702,9570,28.992815,
60,5844200,6706,9570,28.99281,
61,5718200,6701,9570,28.992811,
62,5433100,6695,9570,28.992815,
