step,wall_ns,manifolds,pairs,top_y,awake
0,9044200,8555,9570,28.99835,
1,5146700,5761,9570,28.995926,
2,7954100,6723,9570,28.994566,
3,5590300,6695,9570,28.994541,
4,5017400,6672,9570,28.994545,
5,4554000,6758,9570,28.994184,
6,4055300,6793,9570,28.993921,
7,4375200,6783,9570,28.993895,
8,4271800,6772,9570,28.993822,
9,4608700,6790,9570,28.993675,
10,4045900,6786,9570,28.993578,
11,3461700,6806,9570,28.99352,
12,3672500,6806,9570,28.993486,
13,4462400,6780,9570,28.993422,
14,5728600,6784,9570,28.99337,
15,5311900,6765,9570,28.993326,
16,3734400,6760,9570,28.993288,
17,4365400,6761,9570,28.993235,
18,3568300,6734,9570,28.99321,
19,3393600,6754,9570,28.99318,
20,4313400,6753,9570,28.99314,
21,3841000,6741,9570,28.993107,
22,3627600,6739,9570,28.993093,
23,3701800,6730,9570,28.993065,
24,4636700,6730,9570,28.993042,
25,3555800,6722,9570,28.99303,
26,3426600,6733,9570,28.993017,
27,3366400,6733,9570,28.992998,
28,3330600,6715,9570,28.992983,
29,3513400,6720,9570,28.992973,
30,4200600,6719,9570,28.99296,
31,7018300,6717,9570,28.992933,
32,6178000,6716,9570,28.992924,
33,3686500,6704,9570,28.992918,
34,3405200,6697,9570,28.992907,
35,3420000,6701,9570,28.992893,
36,3874900,6705,9570,28.992886,
37,3997200,6721,9570,28.992884,
38,4303600,6725,9570,28.99288,
39,3997200,6710,9570,28.992878,
40,3522500,6708,9570,28.992876,
41,4345600,6708,9570,28.992876,
42,3406700,6700,9570,28.99287,
43,3377000,6693,9570,28.99286,
44,3409800,6701,9570,28.992851,
45,3938700,6708,9570,28.99285,
46,3570600,6706,9570,28.992847,
47,5436500,6703,9570,28.99284,
48,4166200,6704,9570,28.99284,
49,3672500,6704,9570,28.992838,
50,4836600,6707,9570,28.99283,
51,3602000,6705,9570,28.992828,
52,3349900,6714,9570,28.992826,
53,4216200,6704,9570,28.992823,
54,3597400,6700,9570,28.992823,
55,3489000,6707,9570,28.992817,
56,3376800,6699,9570,28.992815,
57,3475300,6699,9570,28.99282,
58,3736900,6707,9570,28.99282,
59,3421200,6702,9570,28.992815,
60,3338900,6706,9570,28.99281,
61,3294200,6701,9570,28.992811,
62,3265700,6695,9570,28.992815,
63,3499400,6694,9570,28.992807,
64,3225800,6691,9570,28.992807,
65,3653000,6698,9570,28.992807,
66,5202900,6700,9570,28.992807,
67,5492600,6693,9570,28.992805,
68,4903300,6701,9570,28.992804,
69,3630700,6699,9570,28.992804,
70,3462100,6702,9570,28.992807,
71,3440700,6703,9570,28.992807,
72,3859900,6700,9570,28.992807,
73,3346800,6694,9570,28.992807,
74,3478800,6690,9570,28.992807,
75,3382100,6685,9570,28.992804,
76,3707900,6687,9570,28.992804,
77,3302000,6684,9570,28.99281,
78,3275200,6684,9570,28.99281,
79,3428100,6685,9570,28.99281,
80,3717400,6680,9570,28.99281,
81,3414100,6679,9570,28.99281,
82,4877900,6674,9570,28.99281,
83,4276300,6676,9570,28.992811,
84,3652200,6676,9570,28.992811,
85,4771900,6667,9570,28.992811,
86,3719700,6676,9570,28.992817,
87,3296500,6672,9570,28.992817,
88,3338000,6678,9570,28.992817,
89,3639200,6678,9570,28.992817,
90,3327900,6680,9570,28.992817,
91,3280500,6683,9570,28.992815,
92,3304800,6678,9570,28.992807,
93,3305800,6674,9570,28.992805,
94,3417100,6680,9570,28.9928,
95,4094700,6674,9570,28.992796,
96,3446500,6668,9570,28.992794,
97,3549000,6672,9570,28.992796,
98,3417700,6675,9570,28.992798,
99,3836600,6676,9570,28.992798,
100,3728000,6677,9570,28.992798,
101,5132000,6675,9570,28.992796,
102,4226800,6673,9570,28.992798,
103,5542900,6669,9570,28.992802,
104,5845700,6665,9570,28.992802,
105,3609900,6665,9570,28.992802,
106,4496200,6661,9570,28.992785,
107,3896600,6657,9570,28.992767,
108,3460300,6664,9570,28.992775,
109,3408100,6665,9570,28.992783,
110,3610700,6667,9570,28.992783,
111,3428900,6669,9570,28.992788,
112,3329700,6665,9570,28.992788,
113,3427100,6672,9570,28.992786,
114,3340500,6676,9570,28.992786,
115,3428400,6674,9570,28.99279,
116,3987300,6671,9570,28.99279,
117,4912600,6675,9570,28.992794,
118,3795900,6671,9570,28.992794,
119,4577000,6674,9570,28.992794,
120,3952100,6674,9570,28.992794,
121,3391300,6677,9570,28.992794,
122,3490300,6679,9570,28.992794,
123,3878000,6679,9570,28.992794,
124,3377600,6685,9570,28.992796,
125,3298900,6684,9570,28.992796,
126,3462700,6676,9570,28.992796,
127,3525400,6678,9570,28.992796,
128,3518400,6675,9570,28.992798,
129,4015200,6679,9570,28.992798,
130,3372200,6676,9570,28.992798,
131,3343100,6680,9570,28.992798,
132,3432600,6677,9570,28.992796,
133,3927500,6674,9570,28.992796,
134,3550900,6675,9570,28.992796,
135,5030200,6676,9570,28.992796,
136,5589400,6676,9570,28.992796,
137,4495400,6673,9570,28.992796,
138,3528600,6675,9570,28.992796,
139,3394200,6677,9570,28.992796,
140,3297500,6677,9570,28.992796,
141,4204400,6679,9570,28.992796,
142,3463400,6680,9570,28.992796,
143,3468400,6681,9570,28.992796,
144,3392700,6687,9570,28.992796,
145,4437000,6682,9570,28.992796,
146,3397300,6680,9570,28.992796,
147,3334000,6681,9570,28.992796,
148,3328100,6680,9570,28.992796,
149,3300000,6676,9570,28.992796,
150,3373500,6675,9570,28.992796,
151,3625000,6673,9570,28.992796,
152,3479200,6677,9570,28.992796,
153,4855900,6678,9570,28.992796,
154,5226800,6676,9570,28.992796,
155,3950100,6675,9570,28.992796,
156,3385700,6673,9570,28.992796,
157,3355900,6676,9570,28.992796,
158,3364600,6672,9570,28.992796,
159,3354600,6672,9570,28.992796,
160,3845800,6672,9570,28.992796,
161,3468800,6672,9570,28.992796,
162,3571400,6674,9570,28.992796,
163,3405500,6674,9570,28.992796,
164,3594000,6674,9570,28.992796,
165,3535200,6677,9570,28.992796,
166,3503700,6674,9570,28.992796,
167,3468600,6672,9570,28.992796,
168,3459600,6674,9570,28.992796,
169,3398300,6675,9570,28.992796,
170,3495700,6674,9570,28.992796,
171,3503200,6674,9570,28.992796,
172,3279300,6672,9570,28.992796,
173,4033200,6673,9570,28.992796,
174,5996600,6671,9570,28.992796,
175,6191900,6671,9570,28.992796,
176,5296000,6675,9570,28.992796,
177,3585100,6671,9570,28.992796,
178,3806900,6671,9570,28.992796,
179,3654600,6674,9570,28.992796,
180,3406500,6675,9570,28.992796,
181,3529000,6672,9570,28.992796,
182,3749000,6673,9570,28.992796,
183,3389700,6671,9570,28.992796,
184,3482700,6672,9570,28.992794,
185,3555800,6671,9570,28.99279,
186,3835300,6672,9570,28.992775,
187,3712600,6668,9570,28.992775,
