step,wall_ns,manifolds,pairs,top_y,awake
0,10184500,4495,9570,35.998295,
1,14085800,4196,9570,35.993866,
2,14712200,4142,9570,35.986713,
3,9714300,4111,9570,35.976837,
4,7133900,4100,9570,35.964233,
5,6369300,4087,9570,35.948902,
6,6258000,4079,9570,35.93085,
7,6265200,4073,9570,35.910072,
8,6213300,4066,9570,35.88657,
9,6206400,4061,9570,35.86034,
10,8474100,4053,9570,35.831387,
11,6953200,4054,9570,35.79971,
12,7095800,4056,9570,35.765305,
13,6356600,4055,9570,35.728176,
14,6074300,4060,9570,35.688324,
15,6191100,4057,9570,35.64575,
16,6147200,4055,9570,35.600445,
17,6051400,4051,9570,35.552414,
18,6135000,4049,9570,35.501663,
19,8427600,4050,9570,35.448185,
20,8964100,4829,9570,35.391983,
21,8468500,4715,9570,35.333054,
22,7937200,4565,9570,35.2714,
23,7243200,4496,9570,35.207024,
24,7443900,4419,9570,35.13992,
25,6903400,4390,9570,35.07009,
26,7325100,4353,9570,34.997536,
27,6710600,4336,9570,34.92226,
28,8207900,4982,9570,34.844257,
29,9014200,4783,9570,34.763527,
30,7531300,4670,9570,34.680073,
31,7169400,4639,9570,34.593895,
32,6833100,4573,9570,34.504993,
33,6629500,4491,9570,34.413364,
34,7420200,5031,9570,34.31901,
35,7166200,4806,9570,34.221935,
36,7389100,4646,9570,34.12213,
37,7907700,4535,9570,34.019604,
38,7975400,4502,9570,33.91435,
39,7428800,4984,9570,33.806374,
40,7534800,5009,9570,33.69567,
41,7309900,4852,9570,33.58224,
42,7221200,4753,9570,33.466087,
43,7086200,4728,9570,33.34721,
44,7416800,4996,9570,33.22561,
45,7823500,5112,9570,33.10128,
46,9405400,4923,9570,32.974224,
47,10757700,4760,9570,32.844448,
48,9339900,5001,9570,32.711945,
49,8503500,5139,9570,32.576717,
50,8315400,4996,9570,32.438763,
51,7854100,4871,9570,32.298084,
52,7916100,5093,9570,32.154682,
53,7510700,4972,9570,32.008553,
54,7565300,4792,9570,31.8597,
55,7196600,4796,9570,31.70812,
56,7582300,4911,9570,31.553818,
57,7127200,4780,9570,31.39679,
58,7945200,4734,9570,31.237036,
59,7783900,4748,9570,31.074558,
60,7326900,4704,9570,30.909355,
61,7479400,4678,9570,30.741426,
62,8338100,4666,9570,30.570772,
63,8615800,4609,9570,30.397394,
64,7892600,4623,9570,30.22129,
65,7155000,4625,9570,30.042463,
66,7097000,4579,9570,29.860909,
67,7031300,4610,9570,29.67663,
68,7012400,4550,9570,29.489626,
69,6920900,4524,9570,29.299898,
70,6994500,4535,9570,29.107445,
71,7077300,4528,9570,28.912266,
