step,wall_ns,manifolds,pairs,top_y,awake
0,6225200,4495,9570,35.998295,
1,5847300,4196,9570,35.993866,
2,4027800,4142,9570,35.986713,
3,3919300,4111,9570,35.976837,
4,4145700,4100,9570,35.964233,
5,3851700,4087,9570,35.948902,
6,3903100,4079,9570,35.93085,
7,3775100,4073,9570,35.910072,
8,3702200,4066,9570,35.88657,
9,3772700,4061,9570,35.86034,
10,3718500,4053,9570,35.831387,
11,3753700,4054,9570,35.79971,
12,3970200,4056,9570,35.765305,
13,3834700,4055,9570,35.728176,
14,4102100,4060,9570,35.688324,
15,4398000,4057,9570,35.64575,
16,3977700,4055,9570,35.600445,
17,4591900,4051,9570,35.552414,
18,4227900,4049,9570,35.501663,
19,4508900,4050,9570,35.448185,
20,5186300,4829,9570,35.391983,
21,4145300,4715,9570,35.333054,
22,4171000,4565,9570,35.2714,
23,4452900,4496,9570,35.207024,
24,3943300,4419,9570,35.13992,
25,4028000,4390,9570,35.07009,
26,3881800,4353,9570,34.997536,
27,3905700,4336,9570,34.92226,
28,4237100,4982,9570,34.844257,
29,4136400,4783,9570,34.763527,
30,4163300,4670,9570,34.680073,
31,4334600,4639,9570,34.593895,
32,4305200,4573,9570,34.504993,
33,5354700,4491,9570,34.413364,
34,4961100,5031,9570,34.31901,
35,4338100,4806,9570,34.221935,
36,4194100,4646,9570,34.12213,
37,4088500,4535,9570,34.019604,
38,4223400,4502,9570,33.91435,
39,4769600,4984,9570,33.806374,
40,4378900,5009,9570,33.69567,
41,4302100,4852,9570,33.58224,
42,4222600,4753,9570,33.466087,
43,4280200,4728,9570,33.34721,
44,4369100,4996,9570,33.22561,
45,4576200,5112,9570,33.10128,
46,4611000,4923,9570,32.974224,
47,5366600,4760,9570,32.844448,
48,4377000,5001,9570,32.711945,
49,4895200,5139,9570,32.576717,
50,4761600,4996,9570,32.438763,
51,4300500,4871,9570,32.298084,
52,5049600,5093,9570,32.154682,
53,4478600,4972,9570,32.008553,
54,4223000,4792,9570,31.8597,
55,4295700,4796,9570,31.70812,
56,4462300,4911,9570,31.553818,
57,4240300,4780,9570,31.39679,
58,4176200,4734,9570,31.237036,
59,4145300,4748,9570,31.074558,
60,4681200,4704,9570,30.909355,
61,4706800,4678,9570,30.741426,
62,5126200,4666,9570,30.570772,
63,4628000,4609,9570,30.397394,
64,4366700,4623,9570,30.22129,
65,4300600,4625,9570,30.042463,
66,4109800,4579,9570,29.860909,
67,4126600,4610,9570,29.67663,
68,4442000,4550,9570,29.489626,
69,4115300,4524,9570,29.299898,
70,4293000,4535,9570,29.107445,
71,4076100,4528,9570,28.912266,
72,4086100,4533,9570,28.714361,
73,4061300,4529,9570,28.745474,
74,4094700,4530,9570,28.77165,
75,4071300,4529,9570,28.79591,
76,4832800,4524,9570,28.816788,
77,4289100,4517,9570,28.83433,
78,5263900,4520,9570,28.848581,
79,5011400,4514,9568,28.862343,
80,4144300,4519,9568,28.873486,
81,4072500,4518,9568,28.88324,
82,4801100,4518,9568,28.892859,
83,4116600,4516,9568,28.90075,
84,4049500,4517,9567,28.907646,
85,4110100,4508,9565,28.914537,
86,4284100,4519,9565,28.920815,
87,4267100,4516,9565,28.92588,
88,4144200,4518,9565,28.930962,
89,4012800,4519,9565,28.935617,
90,4113000,4514,9565,28.939785,
91,4536300,4516,9565,28.943506,
92,4963400,4512,9565,28.946703,
93,4873800,4508,9565,28.949604,
94,4383100,4522,9565,28.952375,
95,4118000,4519,9565,28.954878,
96,4112100,4521,9565,28.957104,
97,4100300,4517,9565,28.9592,
98,4276200,4515,9565,28.960983,
99,4276000,4520,9565,28.96278,
100,4132600,4521,9564,28.964386,
101,4161100,4521,9564,28.965906,
102,4094800,4521,9563,28.967402,
103,4078700,4520,9563,28.968788,
104,4132700,4522,9563,28.969984,
105,4104400,4518,9563,28.971111,
106,4223300,4521,9563,28.97221,
107,4324900,4523,9563,28.97325,
108,5185000,4515,9562,28.974203,
109,5350300,4517,9562,28.975157,
110,5806200,4516,9562,28.976004,
111,5684700,4515,9562,28.976778,
112,4593400,4519,9562,28.977486,
113,4495100,4520,9562,28.978231,
114,4879300,4520,9562,28.97893,
115,4318100,4519,9561,28.979557,
116,4314700,4526,9561,28.980162,
117,4287800,4519,9561,28.980728,
118,4153200,4521,9561,28.981266,
119,4111200,4517,9561,28.981787,
120,4775700,4523,9561,28.982262,
121,4362800,4523,9561,28.98269,
122,4954000,4521,9561,28.983118,
123,5057500,4522,9561,28.98351,
124,4359800,4518,9561,28.98387,
125,4123000,4521,9561,28.984217,
126,4097500,4521,9561,28.984558,
127,4317200,4517,9561,28.98485,
128,4209500,4522,9561,28.98514,
129,4160100,4521,9561,28.98541,
130,4100900,4519,9560,28.98568,
131,4113300,4526,9559,28.98593,
132,4133800,4524,9559,28.986149,
133,4126200,4516,9559,28.98636,
134,4209400,4520,9559,28.98657,
135,4100700,4522,9559,28.986776,
136,4695800,4519,9559,28.986969,
137,4499000,4521,9559,28.987137,
138,5366900,4521,9559,28.9873,
139,4519200,4521,9559,28.987465,
140,4364100,4518,9559,28.987623,
141,4546700,4523,9559,28.987766,
142,4203600,4524,9559,28.987892,
143,4283300,4523,9559,28.98802,
144,4542000,4520,9559,28.988153,
145,4160300,4519,9559,28.98826,
146,4182200,4520,9559,28.988363,
147,4134300,4522,9559,28.988459,
148,4302400,4517,9559,28.988543,
149,4417100,4519,9559,28.988642,
150,4138300,4522,9559,28.98874,
151,4187000,4520,9559,28.98882,
152,4361100,4523,9559,28.988888,
153,4360300,4523,9559,28.988964,
154,4931600,4524,9559,28.989048,
155,4679200,4521,9559,28.989117,
156,4230900,4520,9559,28.989172,
157,4114000,4519,9559,28.989218,
158,4467700,4519,9559,28.98927,
159,4155500,4518,9559,28.98933,
160,4149200,4519,9559,28.989386,
161,4148400,4521,9559,28.989433,
162,4112400,4518,9559,28.989477,
163,4134200,4520,9559,28.989515,
164,4229400,4520,9559,28.989552,
165,4178600,4519,9559,28.989582,
166,4346500,4516,9559,28.989613,
167,4609300,4518,9559,28.989645,
168,4886600,4518,9559,28.989676,
169,4561600,4514,9559,28.9897,
170,4355200,4515,9559,28.989725,
171,4127400,4512,9559,28.989754,
172,4150600,4513,9559,28.98977,
173,4149200,4515,9559,28.989801,
174,4954700,4515,9559,28.989834,
175,4441400,4515,9559,28.989851,
176,4358000,4514,9559,28.989864,
177,4105800,4516,9559,28.989883,
178,4120200,4515,9559,28.989906,
179,4163400,4515,9559,28.989923,
180,4284800,4515,9559,28.98993,
181,4241900,4517,9559,28.98993,
182,4431400,4517,9559,28.98994,
183,4328900,4516,9559,28.989958,
184,4913700,4516,9559,28.98997,
185,4767100,4514,9559,28.989977,
186,4269200,4515,9559,28.98999,
187,4125700,4516,9559,28.990005,
188,4221800,4519,9559,28.990013,
189,4096800,4519,9559,28.990015,
190,4984700,4519,9559,28.990025,
191,4388200,4520,9559,28.99004,
192,4217500,4522,9559,28.990047,
193,4095300,4521,9559,28.990053,
194,4211800,4522,9559,28.990055,
195,4164000,4521,9559,28.99006,
196,4261400,4522,9559,28.99006,
197,4503800,4523,9559,28.990076,
198,4588500,4523,9559,28.990084,
199,4833600,4524,9559,28.990086,
200,4219400,4522,9559,28.990088,
201,4676600,4522,9559,28.990097,
202,4211600,4521,9559,28.99011,
203,4155000,4525,9559,28.990112,
204,4339400,4526,9559,28.990108,
205,4279400,4524,9559,28.990114,
206,4126100,4523,9559,28.99012,
207,4139900,4523,9559,28.990118,
208,4164100,4523,9559,28.990112,
209,4139800,4522,9559,28.990116,
210,4127500,4522,9559,28.990122,
211,4101000,4523,9559,28.990128,
212,4144800,4523,9559,28.990124,
213,4220600,4523,9559,28.99013,
214,4400600,4524,9559,28.990137,
215,5058600,4524,9559,28.990137,
216,4356500,4526,9559,28.990137,
217,4192100,4524,9559,28.990143,
218,4127400,4525,9559,28.990149,
219,4210100,4524,9559,28.990149,
220,4223600,4523,9559,28.990152,
221,4216900,4522,9559,28.99016,
222,4141600,4522,9559,28.990164,
223,4111200,4520,9559,28.990162,
224,4120000,4521,9559,28.99016,
225,4164100,4522,9559,28.990166,
226,4132700,4521,9559,28.990166,
