step,wall_ns,manifolds,pairs,top_y,awake
0,7416800,4495,9570,35.998295,
1,6583100,4196,9570,35.993866,
2,7353400,4142,9570,35.986713,
3,6406800,4111,9570,35.976837,
4,6115100,4100,9570,35.964233,
5,6219700,4087,9570,35.948902,
6,5870300,4079,9570,35.93085,
7,6526900,4073,9570,35.910072,
8,5843000,4066,9570,35.88657,
9,5921100,4061,9570,35.86034,
10,5810900,4053,9570,35.831387,
11,5865900,4054,9570,35.79971,
12,5871000,4056,9570,35.765305,
13,6094600,4055,9570,35.728176,
14,5932200,4060,9570,35.688324,
15,6058300,4057,9570,35.64575,
16,6397800,4055,9570,35.600445,
17,6398000,4051,9570,35.552414,
18,6497000,4049,9570,35.501663,
19,5897300,4050,9570,35.448185,
20,6564600,4829,9570,35.391983,
21,6735900,4715,9570,35.333054,
22,6781700,4565,9570,35.2714,
23,7457200,4496,9570,35.207024,
24,6700600,4419,9570,35.13992,
25,6596600,4390,9570,35.07009,
26,6403100,4353,9570,34.997536,
27,6355600,4336,9570,34.92226,
28,7238600,4982,9570,34.844257,
29,7001100,4783,9570,34.763527,
30,6834300,4670,9570,34.680073,
31,7215500,4639,9570,34.593895,
32,6925400,4573,9570,34.504993,
33,7558100,4491,9570,34.413364,
34,7318300,5031,9570,34.31901,
35,7149200,4806,9570,34.221935,
36,6895000,4646,9570,34.12213,
37,6854100,4535,9570,34.019604,
38,6717000,4502,9570,33.91435,
39,7096900,4984,9570,33.806374,
40,7234700,5009,9570,33.69567,
41,7033400,4852,9570,33.58224,
42,7604600,4753,9570,33.466087,
43,8313300,4728,9570,33.34721,
44,7829400,4996,9570,33.22561,
45,7528300,5112,9570,33.10128,
46,7719600,4923,9570,32.974224,
47,7087900,4760,9570,32.844448,
48,7259800,5001,9570,32.711945,
49,7469600,5139,9570,32.576717,
50,7447000,4996,9570,32.438763,
51,8025300,4871,9570,32.298084,
52,7606400,5093,9570,32.154682,
53,7396200,4972,9570,32.008553,
54,7107300,4792,9570,31.8597,
55,7178000,4796,9570,31.70812,
56,7503600,4911,9570,31.553818,
57,7503900,4780,9570,31.39679,
58,7401100,4734,9570,31.237036,
59,7049400,4748,9570,31.074558,
60,8209300,4704,9570,30.909355,
61,7375700,4678,9570,30.741426,
62,7175400,4666,9570,30.570772,
63,6996000,4609,9570,30.397394,
64,6988100,4623,9570,30.22129,
65,7032900,4625,9570,30.042463,
66,6901600,4579,9570,29.860909,
67,6923900,4610,9570,29.67663,
68,6905000,4550,9570,29.489626,
69,7057000,4524,9570,29.299898,
70,7038300,4535,9570,29.107445,
71,7351000,4528,9570,28.912266,
72,7151000,4533,9570,28.714361,
73,7134900,4529,9570,28.745474,
74,7565100,4530,9570,28.77165,
75,6852300,4529,9570,28.79591,
