step,wall_ns,manifolds,pairs,top_y,awake
0,6531600,4495,9570,35.998295,
1,5654400,4196,9570,35.993866,
2,5432500,4142,9570,35.986713,
3,5409300,4111,9570,35.976837,
4,5693600,4100,9570,35.964233,
5,5403700,4087,9570,35.948902,
6,5515700,4079,9570,35.93085,
7,5391000,4073,9570,35.910072,
8,5315800,4066,9570,35.88657,
9,5341600,4061,9570,35.86034,
10,5560700,4053,9570,35.831387,
11,5521600,4054,9570,35.79971,
12,5427500,4056,9570,35.765305,
13,5453700,4055,9570,35.728176,
14,5380200,4060,9570,35.688324,
15,5409900,4057,9570,35.64575,
16,5447600,4055,9570,35.600445,
17,5445000,4051,9570,35.552414,
18,5521600,4049,9570,35.501663,
19,5341700,4050,9570,35.448185,
20,5922400,4829,9570,35.391983,
21,5800800,4715,9570,35.333054,
22,5729600,4565,9570,35.2714,
23,6659600,4496,9570,35.207024,
24,5661800,4419,9570,35.13992,
25,5554400,4390,9570,35.07009,
26,5601200,4353,9570,34.997536,
27,5555300,4336,9570,34.92226,
28,6206300,4982,9570,34.844257,
29,5930200,4783,9570,34.763527,
30,5860100,4670,9570,34.680073,
31,5861000,4639,9570,34.593895,
32,5905800,4573,9570,34.504993,
33,5874900,4491,9570,34.413364,
34,6185800,5031,9570,34.31901,
35,6142700,4806,9570,34.221935,
36,6018500,4646,9570,34.12213,
37,5912900,4535,9570,34.019604,
38,5932700,4502,9570,33.91435,
39,6523100,4984,9570,33.806374,
40,6284700,5009,9570,33.69567,
41,6147000,4852,9570,33.58224,
42,6048100,4753,9570,33.466087,
43,6048000,4728,9570,33.34721,
44,6273500,4996,9570,33.22561,
45,6472400,5112,9570,33.10128,
46,6293900,4923,9570,32.974224,
47,6216300,4760,9570,32.844448,
48,6394200,5001,9570,32.711945,
49,6624500,5139,9570,32.576717,
50,6595300,4996,9570,32.438763,
51,6328100,4871,9570,32.298084,
52,6554600,5093,9570,32.154682,
53,7096300,4972,9570,32.008553,
54,6501600,4792,9570,31.8597,
55,6312900,4796,9570,31.70812,
56,6364900,4911,9570,31.553818,
57,6189500,4780,9570,31.39679,
58,6201700,4734,9570,31.237036,
59,6229200,4748,9570,31.074558,
60,6271300,4704,9570,30.909355,
61,6622500,4678,9570,30.741426,
62,6195000,4666,9570,30.570772,
63,6127900,4609,9570,30.397394,
64,6336400,4623,9570,30.22129,
65,6592900,4625,9570,30.042463,
66,6194100,4579,9570,29.860909,
67,6336100,4610,9570,29.67663,
68,6066100,4550,9570,29.489626,
69,6074300,4524,9570,29.299898,
70,6063700,4535,9570,29.107445,
71,6299300,4528,9570,28.912266,
72,6084900,4533,9570,28.714361,
73,6034900,4529,9570,28.745474,
74,6031900,4530,9570,28.77165,
75,6043700,4529,9570,28.79591,
76,6042500,4524,9570,28.816788,
77,6086500,4517,9570,28.83433,
78,6075400,4520,9570,28.848581,
79,7339500,4514,9568,28.862343,
80,6565500,4519,9568,28.873486,
81,7038300,4518,9568,28.88324,
82,6194800,4518,9568,28.892859,
83,6006500,4516,9568,28.90075,
84,6052900,4517,9567,28.907646,
85,5944700,4508,9565,28.914537,
86,5881500,4519,9565,28.920815,
87,6111600,4516,9565,28.92588,
88,6001300,4518,9565,28.930962,
89,6054400,4519,9565,28.935617,
90,7912200,4514,9565,28.939785,
91,6277300,4516,9565,28.943506,
92,6068600,4512,9565,28.946703,
93,6085200,4508,9565,28.949604,
94,6077500,4522,9565,28.952375,
95,6057400,4519,9565,28.954878,
96,6083300,4521,9565,28.957104,
97,6107600,4517,9565,28.9592,
98,6118500,4515,9565,28.960983,
99,6145300,4520,9565,28.96278,
100,6564500,4521,9564,28.964386,
101,6289500,4521,9564,28.965906,
102,6603100,4521,9563,28.967402,
103,6198900,4520,9563,28.968788,
104,6142300,4522,9563,28.969984,
