step,wall_ns,manifolds,pairs,top_y,awake
0,4766500,4495,9570,35.998295,
1,3972900,4196,9570,35.993866,
2,4054700,4142,9570,35.986713,
3,4004300,4111,9570,35.976837,
4,3745100,4100,9570,35.964233,
5,3750200,4087,9570,35.948902,
6,3678500,4079,9570,35.93085,
7,3972400,4073,9570,35.910072,
8,3830000,4066,9570,35.88657,
9,3994800,4061,9570,35.86034,
10,3791100,4053,9570,35.831387,
11,4034200,4054,9570,35.79971,
12,3890100,4056,9570,35.765305,
13,3792600,4055,9570,35.728176,
14,3700500,4060,9570,35.688324,
15,3751000,4057,9570,35.64575,
16,3720100,4055,9570,35.600445,
17,3717600,4051,9570,35.552414,
18,3724000,4049,9570,35.501663,
19,3700500,4050,9570,35.448185,
20,4539600,4829,9570,35.391983,
21,4438300,4715,9570,35.333054,
22,4082300,4565,9570,35.2714,
23,4015000,4496,9570,35.207024,
24,3906400,4419,9570,35.13992,
25,3921000,4390,9570,35.07009,
26,3895300,4353,9570,34.997536,
27,3879700,4336,9570,34.92226,
28,4234800,4982,9570,34.844257,
29,4332600,4783,9570,34.763527,
30,4090500,4670,9570,34.680073,
31,4046200,4639,9570,34.593895,
32,4018000,4573,9570,34.504993,
33,3972400,4491,9570,34.413364,
34,4222600,5031,9570,34.31901,
35,4301200,4806,9570,34.221935,
36,4237200,4646,9570,34.12213,
37,4133000,4535,9570,34.019604,
38,4092900,4502,9570,33.91435,
39,4219200,4984,9570,33.806374,
40,4318500,5009,9570,33.69567,
41,4191900,4852,9570,33.58224,
42,4146000,4753,9570,33.466087,
43,4201100,4728,9570,33.34721,
44,4615300,4996,9570,33.22561,
45,4353400,5112,9570,33.10128,
46,4260900,4923,9570,32.974224,
47,4371100,4760,9570,32.844448,
48,4317900,5001,9570,32.711945,
49,4338600,5139,9570,32.576717,
50,4312400,4996,9570,32.438763,
51,4278500,4871,9570,32.298084,
52,4522600,5093,9570,32.154682,
53,4316600,4972,9570,32.008553,
54,4199500,4792,9570,31.8597,
55,4204400,4796,9570,31.70812,
56,4548500,4911,9570,31.553818,
57,4396600,4780,9570,31.39679,
58,4204000,4734,9570,31.237036,
59,4245200,4748,9570,31.074558,
60,4277100,4704,9570,30.909355,
61,4133800,4678,9570,30.741426,
62,4122400,4666,9570,30.570772,
63,4078900,4609,9570,30.397394,
64,4106600,4623,9570,30.22129,
65,4098400,4625,9570,30.042463,
66,4372600,4579,9570,29.860909,
67,4317300,4610,9570,29.67663,
68,4677200,4550,9570,29.489626,
69,4088100,4524,9570,29.299898,
70,4052800,4535,9570,29.107445,
71,4048600,4528,9570,28.912266,
72,4027400,4533,9570,28.714361,
73,4017900,4529,9570,28.745474,
74,4082600,4530,9570,28.77165,
75,4262800,4529,9570,28.79591,
76,4063600,4524,9570,28.816788,
77,4043200,4517,9570,28.83433,
78,4107900,4520,9570,28.848581,
79,4063900,4514,9568,28.862343,
80,4070400,4519,9568,28.873486,
81,4044500,4518,9568,28.88324,
82,4051300,4518,9568,28.892859,
83,4402400,4516,9568,28.90075,
84,4090200,4517,9567,28.907646,
85,4004600,4508,9565,28.914537,
86,3995500,4519,9565,28.920815,
87,4007400,4516,9565,28.92588,
88,4017100,4518,9565,28.930962,
89,4020900,4519,9565,28.935617,
90,3996700,4514,9565,28.939785,
91,4066500,4516,9565,28.943506,
92,4430300,4512,9565,28.946703,
93,4117700,4508,9565,28.949604,
94,4006500,4522,9565,28.952375,
95,4003900,4519,9565,28.954878,
96,3995000,4521,9565,28.957104,
97,4030900,4517,9565,28.9592,
98,4086100,4515,9565,28.960983,
99,4017000,4520,9565,28.96278,
100,4201500,4521,9564,28.964386,
101,4316600,4521,9564,28.965906,
102,4043900,4521,9563,28.967402,
103,4023200,4520,9563,28.968788,
104,4055500,4522,9563,28.969984,
105,4046200,4518,9563,28.971111,
106,4052000,4521,9563,28.97221,
107,4041000,4523,9563,28.97325,
108,4109000,4515,9562,28.974203,
109,4194700,4517,9562,28.975157,
110,4042100,4516,9562,28.976004,
111,4006300,4515,9562,28.976778,
112,4008600,4519,9562,28.977486,
113,4003700,4520,9562,28.978231,
114,4054000,4520,9562,28.97893,
115,4061100,4519,9561,28.979557,
116,4197800,4526,9561,28.980162,
117,4024800,4519,9561,28.980728,
118,4025400,4521,9561,28.981266,
119,4091900,4517,9561,28.981787,
120,4083800,4523,9561,28.982262,
121,4015500,4523,9561,28.98269,
122,4035400,4521,9561,28.983118,
123,4086300,4522,9561,28.98351,
124,4868700,4518,9561,28.98387,
125,4047700,4521,9561,28.984217,
126,4030700,4521,9561,28.984558,
127,4093900,4517,9561,28.98485,
128,4018300,4522,9561,28.98514,
129,4032000,4521,9561,28.98541,
130,4392000,4519,9560,28.98568,
131,4022400,4526,9559,28.98593,
132,4295800,4524,9559,28.986149,
133,4164300,4516,9559,28.98636,
134,4000700,4520,9559,28.98657,
135,4357500,4522,9559,28.986776,
136,4024300,4519,9559,28.986969,
137,4021900,4521,9559,28.987137,
138,4022600,4521,9559,28.9873,
139,3975200,4521,9559,28.987465,
140,3991900,4518,9559,28.987623,
141,4356800,4523,9559,28.987766,
142,4047900,4524,9559,28.987892,
143,4052000,4523,9559,28.98802,
144,3985400,4520,9559,28.988153,
145,4023800,4519,9559,28.98826,
146,4103900,4520,9559,28.988363,
147,4086900,4522,9559,28.988459,
148,4019100,4517,9559,28.988543,
149,4074100,4519,9559,28.988642,
150,4906200,4522,9559,28.98874,
151,4298400,4520,9559,28.98882,
152,4024600,4523,9559,28.988888,
153,4191800,4523,9559,28.988964,
154,3993600,4524,9559,28.989048,
155,3988400,4521,9559,28.989117,
156,4540600,4520,9559,28.989172,
157,4025700,4519,9559,28.989218,
158,4030500,4519,9559,28.98927,
159,4005500,4518,9559,28.98933,
160,4015200,4519,9559,28.989386,
161,4005700,4521,9559,28.989433,
162,4058700,4518,9559,28.989477,
163,4021900,4520,9559,28.989515,
164,4162700,4520,9559,28.989552,
165,4567900,4519,9559,28.989582,
166,4030300,4516,9559,28.989613,
167,4203900,4518,9559,28.989645,
168,4943700,4518,9559,28.989676,
169,5063200,4514,9559,28.9897,
170,4969100,4515,9559,28.989725,
171,4115800,4512,9559,28.989754,
172,5894900,4513,9559,28.98977,
173,4703600,4515,9559,28.989801,
174,4358800,4515,9559,28.989834,
175,4492200,4515,9559,28.989851,
176,4042800,4514,9559,28.989864,
177,4020100,4516,9559,28.989883,
178,3983500,4515,9559,28.989906,
179,3964400,4515,9559,28.989923,
180,4442200,4515,9559,28.98993,
181,4028800,4517,9559,28.98993,
182,4133900,4517,9559,28.98994,
183,4028000,4516,9559,28.989958,
184,4013200,4516,9559,28.98997,
185,4017300,4514,9559,28.989977,
186,4036300,4515,9559,28.98999,
187,4023400,4516,9559,28.990005,
188,4427400,4519,9559,28.990013,
