step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,19207600,4495,9570,35.998295,1240,0,9,9,108,86223,18135,5080,19121377,16,158,992,1,130331,1,361,1,2215511,1,2367453,1,143105,1,14247793,1,15830,1,577521,1,15770,4,547212,4,69143,4,4303717,4,8638284,8,12936921,108,0,0,7514,1,51699,1,3557,1,8186,1,1423,2,5631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,17000500,4196,9570,35.993866,1240,0,8,8,96,58966,2755,2876,16941534,16,146,421,1,51810,1,130,1,2569893,1,2084890,1,90304,1,12130741,1,13346,1,371975,1,7334,4,492257,4,79573,4,3750674,4,7379583,8,11127381,96,0,0,3567,1,29346,1,2785,1,4328,1,1403,2,5160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0,0,1,5075,1,4495,1
2,16110300,4142,9570,35.986713,1240,0,8,8,96,71151,1613,7254,16039149,16,146,240,1,26060,1,120,1,1941594,1,2008243,1,87298,1,11960815,1,14778,1,331147,1,8566,4,482157,4,65576,4,3715506,4,7299920,8,11008172,96,0,0,3316,1,39025,1,3026,1,4068,1,1463,2,5430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0,0,1,5157,1,4413,1
3,15970000,4111,9570,35.976837,1240,0,8,8,96,58086,1473,8186,15911914,16,146,711,1,27002,1,140,1,1959539,1,1929090,1,85124,1,11895940,1,14368,1,316599,1,8506,4,477869,4,66829,4,3697802,4,7262368,8,10951984,96,0,0,3727,1,46149,1,3517,1,3948,1,1363,2,5791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0,0,1,5389,1,4181,1
4,16044700,4100,9570,35.964233,1240,0,8,8,96,40288,1373,6122,16004412,16,146,200,1,27924,1,50,1,1944991,1,2036046,1,85605,1,11896341,1,13255,1,351065,1,7615,4,484642,4,65546,4,3694245,4,7239544,8,10927667,96,0,0,3356,1,35418,1,2785,1,4068,1,1433,2,5250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0,0,1,5440,1,4130,1
5,15941000,4087,9570,35.948902,1240,0,8,8,96,62931,1573,12074,15878069,16,146,40,1,27333,1,120,1,1943738,1,1956473,1,84643,1,11845864,1,19858,1,325706,1,12534,4,477068,4,66177,4,3689165,4,7220137,8,10897228,96,0,0,4238,1,35498,1,3166,1,4118,1,1343,2,5140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0,0,1,5459,1,4111,1
6,16359400,4079,9570,35.93085,1240,0,8,8,96,52361,1783,2805,16307039,16,146,70,1,28485,1,110,1,2190283,1,1965901,1,87378,1,12021456,1,13356,1,325175,1,9458,4,524268,4,68522,4,3725616,4,7316938,8,11039748,96,0,0,3487,1,32873,1,2755,1,4018,1,1373,2,5190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0,0,1,5474,1,4096,1
7,15966100,4073,9570,35.910072,1240,0,8,8,96,55438,1393,2805,15910662,16,146,50,1,26882,1,40,1,1955952,1,1924311,1,84302,1,11904486,1,14638,1,318002,1,9859,4,478851,4,70476,4,3703834,4,7264662,8,10965691,96,0,0,3497,1,40328,1,2926,1,3847,1,1343,2,5471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0,0,1,5484,1,4086,1
8,16193300,4066,9570,35.88657,1240,0,8,8,96,55221,1994,2485,16138079,16,146,361,1,28735,1,301,1,1955812,1,2109026,1,85595,1,11940976,1,17273,1,404418,1,9729,4,477619,4,66127,4,3692382,4,7236268,8,10926165,96,0,0,3737,1,34035,1,3036,1,4459,1,1513,2,5661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0,0,1,5493,1,4077,1
9,16048300,4061,9570,35.86034,1240,0,8,8,96,47675,2545,2635,16000625,16,146,80,1,34657,1,160,1,1968737,1,1979808,1,84342,1,11918684,1,14157,1,352678,1,9218,4,474943,4,67570,4,3689196,4,7253631,8,10940191,96,0,0,3577,1,47992,1,6042,1,4188,1,1343,2,5761,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0,0,1,5502,1,4068,1
