step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,18778800,4495,9570,35.998295,1240,0,9,9,108,127807,17484,5310,18650993,16,158,932,1,115754,1,511,1,1953718,1,2389573,1,134892,1,14026797,1,28816,1,567110,1,10801,4,544195,4,67331,4,4295419,4,8442409,8,12732518,108,0,0,8416,1,49476,1,7625,1,8587,1,1262,2,6683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,16699000,4196,9570,35.993866,1240,0,8,8,96,59527,1844,2576,16639473,16,146,441,1,58273,1,210,1,2366729,1,2053371,1,87920,1,12061126,1,11402,1,348085,1,7785,4,489018,4,67300,4,3741945,4,7351865,8,11091235,96,0,0,3346,1,32573,1,3216,1,4068,1,5040,2,5040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0,0,1,5075,1,4495,1
2,16051200,4142,9570,35.986713,1240,0,8,8,96,70805,1913,6774,15980395,16,146,170,1,26251,1,110,1,1940202,1,2019145,1,87009,1,11895856,1,11653,1,313107,1,7765,4,479510,4,65307,4,3705545,4,7279094,8,10977865,96,0,0,4779,1,24377,1,3316,1,4609,1,1393,2,5140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0,0,1,5157,1,4413,1
3,16060200,4111,9570,35.976837,1240,0,8,8,96,75997,1593,7585,15984203,16,146,1182,1,31621,1,160,1,2172262,1,1901948,1,85325,1,11780702,1,11001,1,295313,1,7495,4,474440,4,66188,4,3671469,4,7218466,8,10882350,96,0,0,2976,1,29437,1,2866,1,3797,1,1463,2,5200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0,0,1,5389,1,4181,1
4,15964900,4100,9570,35.964233,1240,0,8,8,96,53068,1503,6954,15911832,16,146,281,1,35839,1,120,1,2056948,1,1925433,1,86377,1,11795932,1,10901,1,286636,1,7615,4,477386,4,66128,4,3687460,4,7227554,8,10908060,96,0,0,2755,1,25129,1,3587,1,3938,1,1393,2,4849,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0,0,1,5440,1,4130,1
5,15846900,4087,9570,35.948902,1240,0,8,8,96,52034,2054,7084,15794866,16,146,250,1,26111,1,381,1,1945893,1,1933940,1,85356,1,11791934,1,11001,1,296926,1,7354,4,479049,4,65788,4,3682610,4,7216783,8,10892309,96,0,0,3467,1,24548,1,3166,1,3908,1,1363,2,4920,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0,0,1,5459,1,4111,1
6,15980400,4079,9570,35.93085,1240,0,8,8,96,62887,2445,2625,15917513,16,146,250,1,25970,1,190,1,1945793,1,1942005,1,84995,1,11902178,1,16131,1,331753,1,7885,4,480742,4,65737,4,3697449,4,7238726,8,10933549,96,0,0,4298,1,53444,1,6312,1,4368,1,1433,2,7585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0,0,1,5474,1,4096,1
7,16021300,4073,9570,35.910072,1240,0,8,8,96,88798,2084,2615,15932502,16,146,150,1,27804,1,802,1,1966283,1,1948528,1,86377,1,11886467,1,16091,1,297737,1,8496,4,475983,4,72541,4,3698281,4,7255638,8,10951304,96,0,0,4529,1,54215,1,5932,1,3827,1,1363,2,5841,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0,0,1,5484,1,4086,1
8,16414000,4066,9570,35.88657,1240,0,8,8,96,46354,2405,3637,16367646,16,146,250,1,28325,1,331,1,1928559,1,2133627,1,95816,1,12168113,1,12624,1,552131,1,13075,4,488858,4,69314,4,3698311,4,7273463,8,10968137,96,0,0,3587,1,47833,1,3397,1,7845,1,1633,2,6262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0,0,1,5493,1,4077,1
9,16140600,4061,9570,35.86034,1240,0,8,8,96,40212,2064,2345,16100388,16,146,210,1,28736,1,150,1,1932036,1,2120151,1,90826,1,11917007,1,11272,1,363906,1,7895,4,490591,4,65687,4,3686187,4,7252432,8,10936275,96,0,0,3417,1,30750,1,2956,1,4338,1,1373,2,5410,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0,0,1,5502,1,4068,1
