step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,18671300,4495,9570,35.998295,1240,0,9,9,108,82751,17854,5150,18588549,16,158,1002,1,112465,1,431,1,1952010,1,2337987,1,135579,1,14035790,1,13285,1,568366,1,8847,4,545232,4,71577,4,4322269,4,8438815,8,12755934,108,0,0,5581,1,39325,1,3106,1,7725,1,1333,2,5761,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,16451200,4196,9570,35.993866,1240,0,8,8,96,59579,1934,2315,16391621,16,146,271,1,44675,1,140,1,2163664,1,1990624,1,88128,1,12092967,1,11151,1,357303,1,6903,4,485658,4,66287,4,3757049,4,7363180,8,11117914,96,0,0,3276,1,35688,1,4609,1,4038,1,1393,2,5651,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0,0,1,5075,1,4495,1
2,16096600,4142,9570,35.986713,1240,0,8,8,96,54196,1353,6452,16042404,16,146,892,1,25970,1,160,1,1945688,1,2004370,1,124358,1,11930066,1,10901,1,336613,1,8196,4,478554,4,66627,4,3706763,4,7281013,8,10981323,96,0,0,3226,1,34586,1,2886,1,3958,1,1262,2,5030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0,0,1,5157,1,4413,1
3,15911700,4111,9570,35.976837,1240,0,8,8,96,41856,2204,4800,15869844,16,146,60,1,26781,1,80,1,1955326,1,1939135,1,85964,1,11851316,1,11181,1,310804,1,6973,4,478194,4,66758,4,3696824,4,7245986,8,10938010,96,0,0,2585,1,27172,1,3427,1,3938,1,1393,2,5060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0,0,1,5389,1,4181,1
4,15858800,4100,9570,35.964233,1240,0,8,8,96,40554,1272,5731,15818246,16,146,150,1,26370,1,110,1,1944455,1,1894500,1,84211,1,11857267,1,11181,1,310263,1,6763,4,475919,4,66086,4,3687797,4,7252178,8,10934243,96,0,0,3447,1,37832,1,5130,1,3887,1,1403,2,5290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0,0,1,5440,1,4130,1
5,15845600,4087,9570,35.948902,1240,0,8,8,96,37153,2014,7886,15808447,16,146,120,1,26741,1,140,1,1936450,1,1930409,1,83940,1,11819815,1,10831,1,302999,1,7735,4,481390,4,65185,4,3681795,4,7231588,8,10905498,96,0,0,2835,1,30719,1,2996,1,3917,1,1343,2,5300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0,0,1,5459,1,4111,1
6,15944100,4079,9570,35.93085,1240,0,8,8,96,43517,1292,2575,15900583,16,146,20,1,26921,1,40,1,1928856,1,1958532,1,84962,1,11890010,1,11241,1,364066,1,7184,4,474527,4,66186,4,3686424,4,7237309,8,10921158,96,0,0,2775,1,35979,1,2946,1,4138,1,1583,2,5601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0,0,1,5474,1,4096,1
7,15945900,4073,9570,35.910072,1240,0,8,8,96,64464,1112,2565,15881436,16,146,190,1,27082,1,40,1,1938244,1,1962169,1,83329,1,11856435,1,13947,1,327045,1,7334,4,474336,4,65265,4,3689790,4,7243210,8,10930436,96,0,0,2725,1,31741,1,3476,1,3948,1,1343,2,5110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0,0,1,5484,1,4086,1
8,15859600,4066,9570,35.88657,1240,0,8,8,96,58277,1032,2324,15801323,16,146,20,1,30408,1,40,1,1932753,1,1922083,1,84041,1,11821418,1,10560,1,294783,1,8707,4,474807,4,65826,4,3691804,4,7235295,8,10924775,96,0,0,2956,1,32632,1,2966,1,3897,1,1373,2,5340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0,0,1,5493,1,4077,1
9,15866200,4061,9570,35.86034,1240,0,8,8,96,51902,2054,2605,15814298,16,146,40,1,26691,1,130,1,1927102,1,1903076,1,83990,1,11859311,1,13957,1,293090,1,8095,4,475479,4,65445,4,3702976,4,7255925,8,10956295,96,0,0,7895,1,34646,1,3587,1,3877,1,1353,2,4889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0,0,1,5502,1,4068,1
